id,source,translation
1,"""Tak co, líbí se ti něco?","""Tak, lubię się czegoś?""

(Note: The translation is in the informal/familiar form, which is commonly used among friends or in informal settings. In formal situations, the formal form ""Lubisz się czegoś?"" would be more appropriate.)"
2,""" zeptal se Frodo, když viděl, jak na obrázky koukám.","""Frodo pytał, gdy zobaczył, jak na obrazki kukam."""
3,"""Všechno, "" přikývla jsem.","Wszystko, ""przykładałam.

(Note: The sentence ""Všechno, "" přikývla jsem"" is in Czech and means ""Everything, I'll take care of it"". The translation provided, ""Wszystko, ""przykładałam"" is the Polish equivalent of the sentence.)"
4,Moje obrázky vedle těch jeho vypadaly jako úplný mazanice.,Moje obrazy obok jego wyglądały jak pełny bałagan.
5,Až jsem se před ním styděla.,Aż jsem się przed nim stydęła.
6,"""Tenhle nejvíc, "" ukázala jsem na zasněženou krajinu.","""Tenhle największy, "" pokazałam na zasnieżoną krainę."
7,"""Tak si ho vezmi, jestli chceš, "" mrkl na mě Frodo, ""teda pokud mi taky jeden svůj dáš.","""Tak, tak, choćbyś mnie ten jeden dał."""
8,"""Když moje nejsou tak pěkný, "" zavrtěla jsem hlavou a nemohla jsem spustit oči z Frodovy krajiny.","Kiedy moje nie były tak piękne, zatrzasnęłam głową i nie mogłam oderwać oczu od krajobrazu Frodu."
9,"Do tý doby mě nenapadlo, že by učitel mohl taky malovat.","Przez ten czas nie przyszło mi do głowy, że nauczyciel również malować może.

(Note: ""Do tý doby"" can be translated as ""Przez ten czas"" in Polish, which means ""During that time"" or ""For that long"". ""Mě nenapadlo"" can be translated as ""Nie przyszło mi do głowy"" which means ""It didn't occur to me"". ""Učitel"" can be translated as ""nauczyciel"" which means ""teacher"". ""Taky"" can be translated as ""także"" which means ""also"" or ""as well"". ""Malovat"" can be translated as ""malować"" which means ""to paint"".)"
10,"Teda nikdy žádná učitelka na výtvarku nám neukázala žádnej obrázek, kterej dělala.","Nigdy nie była żadna nauczycielka, która nam pokazała jakiegokolwiek obrazu, który tworzyła.

(Note: The sentence structure and word order in Polish may differ from the original Czech sentence, but the meaning should be the same.)"
11,"Jen jsem přikývla a Frodo sáhl na skříň, kde měl takovou roli a v ní několik výkresů.","Tylko ja sięgnąłem i Frodo na szkrzynię, gdzie miałem taką rolę i kilka rysunków."
12,"Když je vytáhl, zavoněly z toho nějaký barvy, myslím, že to byly opravdový malířský.","Kiedy wyciągnął, zaczęły się z niego padać jakieś barwy, myślę, że to były prawdziwe malarskie.

Translation:

When he pulled it, some colors started falling off from it, I think they were real artistic."
13,"Na několika obrázcích byly různý postavy, nebo třeba jen člověk jako by si obtiskl páteř na papír, potom takový krásný domečky a několik takovejch neurčitejch krajin.","Na kilku obrazach były różne postacie, lub także człowiek, jakby zaciskał kręgosłup na papierze, potem takie piękne domki i kilka takich niedefinowanych krajobrazów."
14,"Ty se mi líbily nejvíc, protože na nich vlastně skoro nic nebylo, třeba jen jako zasněžená krajina, kde trošičku vylízala ze sněhu hlína a kousek hráze u rybníka, ale přitom to bylo úplně nejlepší.","Ciebie najbardziej lubiłem, ponieważ na nich była prawie nic, np. jak zasnieżona krajobraz, gdzie trochę gliny wylizała ze śniegu i kawałek gruntu przy stawie, ale to było zupełnie najlepsze."
15,"Sedl si ke stolku vedle mě a otevřel desky, který jsem mu dala, a začal si prohlížet obrázky jeden po druhým.","Usiedliłem się obok mnie i otworzył pliki, które mu dałem, i zaczął przechodzić przez obrazy jedno za drugim."
