id,source,translation
1,"Tufts of cloud burned black before the sunrise, the horizon littered with the flotsam of old and rusted silhouettes.","朝の日出前、雲の縫いは黒く焼けていた。地平線には、古く荒れたシルエットの残骸が散乱していた。

(Translation: Before the sunrise, the tufts of cloud were burned black. The horizon was littered with the wreckage of old and rusted silhouettes.)"
2,They were alone.,彼らは一人でした。 (Kare-ra wa hitori deshita.)
3,"Chemtrails, the farmer had said to Alec, early on their walk.","ケムトレイル、その農夫はアレックに初めに話した。

(Kemutoreiru, sono nōfu wa Arekkuni hajimete kataru.)

Note: ケムトレイル (Kemutoreiru) is a loanword in Japanese, derived from the English term ""chemtrails."" It is not a commonly used term in Japanese, and its usage may vary depending on the context."
4,"Other than this, he had been silent.","それ以外は、彼は沈黙していた。 (Sore iwai wa, kare wa chinmoku shite ita.)"
5,"Fifty feet away, the field gave way to freshly tilled brown soil, forming mounds everywhere on the uneven earth.",fifty feet 先、野原は新しく耕された深 brown の土壌になり、不平な地面に塀でまとまっていました
6,Chalky rocks littered the plot in every direction.,"チョーク質の岩が、あらゆる方向に荒れていた。

(Chōku shitsu no iwa ga, aru yaru kōhen ni karete ita.)"
7,Each step in this place was as muddy and wet as the last.,"この場所での Each stepは、前のstepと同じく、泥んで濡れていました。

(Kono basho de no Each step wa, mae no step to onaji kudasai, dorodarake ni narete imashita.)"
8,"Further still, a thin metal fence marked the edge of the land, clots of wool decorating the wire like fairy lights where the sheep had once tried to break through.",更にもう一度、細い金属のフェンスが土地の端を示していました、羊がかつて破ったところには、羊毛の塊がワイヤーに飾られていました。
9,He swatted another fly away from his face.,顔の前からもう一匹の蠅を追い払った。 (Kao no mae kara mo uchi no abu o oi-wattekita.)
10,"No, the farmer said.",「そうですね」
11,I'm a vegetarian.,私はベジタリアンです。 (Watashi wa bejitarian desu.)
12,Really?,本当に？
13,"My wife tried doing that a few years back, and.",妻は数年前にそれを試みたことがありました。 (Wife had tried that a few years ago.)
14,"No, the farmer said, and the conversation died.","「そうですね、農夫は言った。そして会話は終わりました。」

(Translation: ""No, the farmer said, and the conversation ended."")"
15,"The world was still dark, even if only for a little while.","世界はまだ暗かった、たとえばちょっとした間だけです。 (Sekai wa mada kurakatta, tatemae bacho shita kando desu.)"
16,The sun was almost free.,"太陽はほぼ自由でした。

(taiyō wa hoban jiyū deshita)

Note: 「ほぼ」(hoban) is an adverb that means ""almost"" or ""nearly"". 「自由」(jiyū) means ""free""."
17,The day had almost begun.,日はまもなく始まりそうでした。(The day was about to begin.)
18,"They're selling up to live with family, so she says.","彼らは家族と一緒に暮らすために売りに出ているそうです (Kare-ra wa kazoku to issho ni kurasu tame ni urinide ite iru sou desu)

Note: 

* 彼ら (kare-ra) - They
* 家族 (kazoku) - Family
* 一緒 (issyo) - Together
* 売りに出て (urinide ite) - Selling up
* そうです (sou desu) - So she says"
19,"I think I saw them in town a few times, Alec said.","町で彼らを数回見たと思います、アレックは言いました。

(Translation: I think I saw them in town a few times, Alec said.)"
20,"They were almost at the water tank, at the smile.","水タンクに近い、笑顔です。

(Translation: They were near the water tank, with a smile.)"
21,Were they the ones who made those wagon wheels?,"それらは、そのワゴンの車輪を作ったのか？

(Sore-ra wa, sona wagon no sharin o tsukutta no ka?)

Note: 「ワゴン」(wagon) is a loanword from English, and 「車輪」(sharin) means ""wheel"" in Japanese."
22,"They'd mix sausage meat into a kind of well, kind of cinnamon swirl, I suppose.",ソーセージ肉を、よく似た Cinnaomon スワイヤルのように混ぜ合わせます。
23,It's delicious.,美味しいです。 (Oishii desu.)
24,Did you ever try one?,あなたは、それを試みましたか？
25,"Jean's moving out, the farmer said.","ジーンが引っ越している、農夫は言った。

(Jin ga hikkoshi te iru, nōfu wa itta.)"
26,Did you know?,知っていますか？
27,Who?,誰？
28,Jean.,ジーン
