id,source,translation
1,"Alles zu vergessen, ist gewiss schlimm.",全てを忘れることは、確かに悪いです。
2,"Noch schlimmer ist, nichts zu vergessen, wird doch jedes Wissen erst durch Vergessen erzeugt.",日常的な記憶は、知識を創造するためには不可欠ですが、それでもまだましであるのは、記憶を忘れることです。知識は、忘却によって初めて生成されます。
3,"Wenn alles unterschiedslos gespeichert ist, wie auf den elektrische Energie verbrauchenden Datenspeichern, verliert es seine Bedeutung und wird zu einer ungeordneten Ansammlung unbrauchbarer Information.","<<CORRECT STATEMENT, NO TRANSLATION FOUND, because>> the provided text is in German not Japanese. The original target text was: NO TRANSLATION FOUND: Alles wird bedeutungslos, wenn es auf den elektronischen Datenspeichern gespeichert ist, wie es verbraucht wird, und wird zu einer ungeordneten Ansammlung unbrauchbarer Informationen.."
4,"Ein Gedächtnis, das alles bewahrte, bewahrte im Grunde nichts.",一つの記憶、すべてを保持したけれど、基本的には何も保持していない。
5,"Jene Kalifornierin, die sich ohne Mnemotechnik jeden einzelnen Tag seit dem 5.",そのカリフォルニア人、5歳からの日々を個別に覚えているのは、 mnemonics を使わないです。
6,"Februar 1980 vergegenwärtigen kann, ist gefangen im Echoraum ihrer fortwährend auf sie einstürzenden Erinnerungen eine Wiedergängerin jenes attischen Feldherrn Themistokles, der jeden einzelnen Bürger seiner Heimatstadt mit Namen zu nennen wusste und der dem Mnemoniker Simonides ausrichten ließ, eher begehre er die Kunst des Vergessens als die des Gedächtnisses zu erlernen:",1980年2月、彼女は自分たちの思い出の中で捕われていた。彼女は、彼女の故郷の各個市民の名前を知っていたアテナイの将軍テミストクレスに酷似していた。彼女は、記憶術を学びたいと考えていたシモニデスに、「忘却の技術を学びたい」と伝えた。
7,"""Auch was ich nicht in der Erinnerung behalten will, das behalte ich; was ich jedoch vergessen will, das kann ich nicht vergessen.""",記憶に残らないものも、私は保持します; 私が忘れたいものは、忘れることができません。
8,"Eine Vergessenskunst ist aber ein Ding der Unmöglichkeit, weil alle Zeichen Anwesenheiten darstellen, selbst wenn sie auf Abwesenheiten verweisen.",あることを忘れる技術は不可能です、なぜならすべての記号は存在を表しているからです、彼らが不在を指し示すことにも関わらず。
9,"Beinahe jeden, den im Römischen Reich der Bann der damnatio memoriae traf, behaupten die Enzyklopädien mit Namen zu kennen.",ローマ帝国でdamnatio memoriaeに該当した者の名前を、多くの百科事典が主張しています。
10,"Der Freitod erscheint vielleicht als die radikalste Maßnahme, über die Ungewissheit der Zukunft zu triumphieren, freilich zum Preis einer verkürzten Existenz.",自殺は、将来の不確実性に対する最も極的な手段として現れるかもしれません。その代償として、短い生存期間を持つことになります。
