id,source,translation
1,"Nie wyjdzie stamtąd, mówię wam powiedział pryszczaty, z przekonaniem kiwając głową.",そこから出ない、私たちに言ったように、確かに首を振って。
2,"Już godzina i ćwierć, jak tam wlazł.","<<CORRECT STATEMENT, NO TRANSLATION FOUND, because>> the provided Japanese text 'じつは、その時半ば、私たちは一緒に入った。' does not correspond to the provided Polish source text 'Już godzina i ćwierć, jak tam wlazł.'. The Japanese sentence translates to ""In fact, at that halfway point, we went in together."""
3,Już po nim.,「既に彼の後で」
4,"Mieszczanie, stłoczeni wśród ruin, milczeli wpatrzeni w ziejący w rumowisku czarny otwór, w zagruzowane wejście do podziemi.","TRUE

市民たち、 руїнахの中で混み合って、黒い穴を見つめていた。彼らは、崩れ落ちた建物の中にある、地下の入り口に注意していた。"
5,"Grubas w żółtym kubraku przestąpił z nogi na nogę, chrząknął, zdjął z głowy wymięty beret.",黄色の帽子をかぶったグルバスは、片足からもう片足に移り、グローンという音をたて、首にあった汚れたベレーを取り外した。
6,"Poczekajmy jeszcze powiedział, ocierając pot z rzadkich brwi.",「もう少し待って、珍しい眉毛に汗をぬぐいましょう」
7,Na co? prychnął pryszczaty.,"<<WRONG STATEMENT, TRANSLATION FOUND>> ""なにですか？プリシャッターが触れたのですか？"""
8,"Tam, w lochach, siedzi bazyliszek, zapomnieliście, wójcie?",そこ、茂みの中で、バジリスクが座っています、あなたたちは忘れてしまったかい？
9,"Kto tam wchodzi, ten już przepadł.",誰がそこに入っているのか、その人は既に失われています。
10,Mało to ludzi tam poginęło?,そこでは、あまり人々が亡くなりましたか？
11,Na co tedy czekać?,なにを待つのですか？
12,Umawialiśmy się przecie mruknął niepewnie grubas.,"<<CORRECT STATEMENT, NO TRANSLATION FOUND, because>> the provided Japanese text ""私たちは不安に迷いました。"" does not represent the meaning of the original Polish text ""Umawialiśmy się przecie mruknął niepewnie grubas."". The Japanese text translates to ""We wandered anxiously."" which is different from the original context."
13,Jakże tak?,"<<CORRECT STATEMENT, NO TRANSLATION FOUND, because>> the Japanese translation for ""Jakże tak?"" is not provided in the text: NO TRANSLATION FOUND 「 Jakże tak? 」."
14,"Z żywym się umawialiście, wójcie rzekł towarzysz pryszczatego, olbrzym w skórzanym, rzeźnickim fartuchu.",生き物と話をしていたのですか？偉い存在が、大きな皮のアプロンを着用していましたか？
15,"A nynie on martwy, pewne to jak słońce na niebie.",「あの人は死んでいる、確かに天にあるように」
16,"Z góry było wiadomo, że na zgubę idzie, jako i inni przed nim.",上からは、失敗することがわかっていた。彼以外の者たちと同じように。
17,"Przecie on nawet bez zwierciadła polazł, z mieczem tylko.",彼は鏡もなく、剣だけで出発した。
18,"A bez zwierciadła bazyliszka nie da się zabić, każdy to wie.",«鏡なしでバジルISHKAを殺すことはできません、誰もが知っています。»
19,"Zaoszczędziliście grosza, wójcie dodał pryszczaty.","<<WRONG STATEMENT, TRANSLATION FOUND: 節約した Grosza、副官がプリシャッと追加しました>>"
20,Bo i płacić za bazyliszka nie ma komu.,"<<CORRECT STATEMENT, NO TRANSLATION FOUND, because>> the text provided ""NO TRANSLATION FOUND: Boh i płacić za bazyliszka nie ma komu.."" is in Polish, not Japanese."
21,Idźcie tedy spokojnie do dom.,一緒に安心して家に帰りなさい。
22,"A konia i dobytek czarownika my weźmiemy, żal dać przepadać dobru.",「魔法使いの馬と財産は我々が取り戻す。善良なものを腐らせるのは惜しい」
23,Ano powiedział rzeźnik.,あの人は肉屋さんに言った。
24,"Sielna klacz, a i juki nieźle wypchane.","<<WRONG STATEMENT, TRANSLATION FOUND>>: 精液な牝馬、そして受け入れがよく詰まっている.."
