id,source,translation
1,"""Tak co, líbí se ti něco?"" zeptal se Frodo, když viděl, jak na obrázky koukám. ""Všechno,"" přikývla jsem. Moje obrázky vedle těch jeho vypadaly jako úplný mazanice. Až jsem se před ním styděla. ""Tenhle nejvíc,"" ukázala jsem na zasněženou krajinu. ""Tak si ho vezmi, jestli chceš,"" mrkl na mě Frodo, ""teda pokud mi taky jeden svůj dáš."" ""Když moje nejsou tak pěkný,"" zavrtěla jsem hlavou a nemohla jsem spustit oči z Frodovy krajiny.","""No co, podoba ci się coś?"" zapytał Frodo, widząc jak patrzę na obrazy. ""Wszystko,"" przytaknęłam. Moje obrazy obok jego wyglądały jak kompletna plama. Wstydziłam się przed nim. ""Ten najbardziej,"" pokazałam na ośnieżony krajobraz. ""Weź go sobie, jeśli chcesz,"" Mrugnął do mnie Frodo, ""to jest, jeśli dasz mi jeden swój."" ""Gdy moje nie są tak ładne,"" potrząsnęłam głową i nie mogłam oderwać oczu od krajobrazu Frodo."
2,"Do tý doby mě nenapadlo, že by učitel mohl taky malovat. Teda nikdy žádná učitelka na výtvarku nám neukázala žádnej obrázek, kterej dělala. Jen jsem přikývla a Frodo sáhl na skříň, kde měl takovou roli a v ní několik výkresů. Když je vytáhl, zavoněly z toho nějaký barvy, myslím, že to byly opravdový malířský. Na několika obrázcích byly různý postavy, nebo třeba jen člověk jako by si obtiskl páteř na papír, potom takový krásný domečky a několik takovejch neurčitejch krajin. Ty se mi líbily nejvíc, protože na nich vlastně skoro nic nebylo, třeba jen jako zasněžená krajina, kde trošičku vylízala ze sněhu hlína a kousek hráze u rybníka, ale přitom to bylo úplně nejlepší.","Do tej pory nie przyszło mi do głowy, że nauczyciel mógłby też malować. Cóż, żadna nauczycielka od plastyki nigdy nie pokazała nam żadnego obrazu, który by namalowała. Tylko kiwnęłam głową, a Frodo sięgnął do szafy, gdzie miał taką rolkę z kilkoma rysunkami w środku. Gdy je wyjął, poczuł zapach farb, myślę, że były to prawdziwe artystyczne. Na kilku obrazach były różne postacie, albo choćby tylko człowiek, jakby odbił kręgosłup na papierze, potem takie piękne domeczki i kilka takich nieokreślonych krajobrazów. Podobały mi się najbardziej, bo właściwie nic na nich nie było, może tylko jak zasnieżony krajobraz, gdzie troszkę ziemi wystawało spod śniegu i kawałek tamy przy stawie, ale to było naprawdę najlepsze."
3,"Sedl si ke stolku vedle mě a otevřel desky, který jsem mu dala, a začal si prohlížet obrázky jeden po druhým. Na některý se díval docela dlouho, úplně je zkoumal, takže mi bylo jasný, že musí vidět všechny chyby, co na nich jsou. A taky že poznal, kdy už se mi na tom obrázku nechtělo dělat a jen jsem to tak doplácala barvama. Potom vzal ten výkres s vránama a řekl, že ten se mu líbí nejvíc. A usmíval se a vypadal ještě víc jako Frodo. Všimla jsem si, že má takový krásně dlouhý prsty s kulatejma nehtama.","Usiadł przy stoliku obok mnie, otworzył książkę, którą mu dałam, i zaczął przeglądać obrazki jeden po drugim. Na niektóre patrzył dość długo, zupełnie je analizował, więc było mi jasne, że musi widzieć wszystkie błędy, które na nich są. I wiedział, kiedy już nie chciałam pracować nad tym obrazem i tylko go dokończyłam kolorami. Następnie wziął ten rysunek z krukami i powiedział, że to mu się najbardziej podoba. I uśmiechał się, wyglądając jeszcze bardziej jak Frodo. Zauważyłam, że ma takie pięknie długie palce z okrągłymi paznokciami."
4,"Po čtvrtý hodině jsem počkala, až všichni odejdou na oběd, protože holky by mohlo napadnout, že půjdou za Frodem se mnou, a já jsem s ním chtěla být sama. Jenže když jsem došla ke kabinetu a chtěla zaťukat na dveře, příšerně mi tlouklo srdce a měla jsem hroznej strach, i když nevím z čeho. Trochu jsem si vytáhla tričko pod pažema a čichla si, jestli nejsem cejtit potem, protože jsem se v matice úplně zpotila strachem.","Po czwartej godzinie poczekałam, aż wszyscy pójdą na obiad, ponieważ dziewczyny mogłyby wpadnąć na pomysł, że pójdą za Frodo ze mną, a ja chciałam być z nim sama. Ale kiedy dotarłam do gabinetu i chciałam zapukać do drzwi, serce mi strasznie biło, a ja bałam się okropnie, choć nie wiem z jakiego powodu. Trochę podciągnęłam koszulkę pod pachami i powąchałam, czy nie czuję potu, bo kompletnie się spociłam ze strachu."
5,"Tak jsem nakonec desky otevřela a začala výkresy vyrovnávat na lavici. Na hodně z nich byly různý zátiší a potom obrázky toho, co vidím z okna pokoje, protože to mě hodně baví. A taky ty vrány, který jsem zkoušela dělat temperou a pak jsem do toho ještě rozmazala suchej pastel. Děcka úplně koukaly, protože vlastně si mejch obrázků ve škole nikdy moc nevšímaly, až teď. Jasně že jsem vybrala ty nejhezčí, a nepovedený matlanice jsem nechala doma. Dokonce Marek Roseckej pořád žadonil, ať mu jeden dám, ale já řekla, že nemůžu. I když ve skutečnosti jsem spíš nechtěla, protože jsem je měla všechny pro Froda.","Więc w końcu otworzyłam płyty i zaczęłam wykroje układać na lawecie. Na wielu z nich były różne martwe natury, a potem obrazy tego, co widzę z okna pokoju, ponieważ to mnie bardzo bawi. I te kruki, które próbowałam malować temperą, a potem jeszcze rozmazałam suche pastele. Dzieci były zupełnie zdziwione, ponieważ nigdy naprawdę nie zwracały dużej uwagi na moje obrazy w szkole, dopiero teraz. Jasne, że wybrałam najpiękniejsze, a nieudane gmatwaniny zostawiłam w domu. Nawet Marek Roseckej ciągle błagał, abym mu jeden dała, ale powiedziałam, że nie mogę. Mimo, że na prawdę tego nie chciałam, ponieważ wszystko miałam dla Froda."
6,"Hned jak zazvonilo, běžela jsem do šatny, ale naštěstí tam obrázky byly. Rychle jsem desky vzala a odnesla je do třídy, i když teda holky na mě čuměly, co jako táhnu, jestli jsou to fakt ty výkresy pro Froda. Sice mně vadilo, že minulej tejden slyšely, jak mně Frodo říkal, abych mu je přinesla, ale na druhou stranu se mi líbilo, že se před nima můžu trochu pochlubit.","Gdy tylko zadzwoniło, pobiegłam do szatni, ale na szczęście tam były obrazki. Szybko wzięłam deski i zaniosłam je do klasy, chociaż dziewczyny na mnie patrzyły, zastanawiając się, co tak naprawdę przynoszę, czy to na pewno te rysunki dla Froda. Chociaż mi przeszkadzało, że w zeszłym tygodniu słyszały, jak Frodo mówił mi, żeby mu to przyniosła, z drugiej strony podobało mi się, że mogę się trochę przed nimi pochwalić."
7,"Dneska jsem šla do školy o dost dřív, protože jsem nechtěla, aby děcka ve škole viděly, že nesu desky s výkresama. Strčila jsem si je v šatně za skříňky a říkala si, že nepůjdu na oběd a vyndám je, až budu v šatně sama. Jenže potom mě v matice napadlo, že třeba bude uklízečka umývat podlahy a všimne si, že tam jsou za skříňkou nějaký desky, a někam to odnese nebo vyhodí. Celou matiku mě polívalo strašný horko, jak jsem se bála, že se to stane. A nadávala jsem si, že jsem pitomá.","Dzisiaj poszłam do szkoły dużo wcześniej, bo nie chciałam, żeby dzieci w szkole zobaczyły, że niosę płyty z rysunkami. Schowałam je w szatni za szafkami i mówiłam sobie, że nie pójdę na obiad i wyjmę je, kiedy będę w szatni sama. Ale potem przyszło mi do głowy, że sprzątaczka może myć podłogi i zauważyć, że za szafką są jakieś deski, i może to gdzieś zabrać lub wyrzucić. Całe moje ciało zalał potworny gorąc, kiedy bałam się, że to się wydarzy. A obwiniała siebie, że jestem głupia."
8,"Radši jsem zhasla lampičku a v duchu si pořád představovala, jak si můj obrázek dlouho prohlížel a pochválil mě před celou třídou. A napadlo mě, že třeba jsem pro něj výjimečná, jiná než ostatní holky. Zachumlala jsem se do peřiny a snila o tom, jak mu ukážu svoje obrázky a jemu se budou líbit. A pak spolu začneme kamarádit, i když on je o hodně starší, a budeme si povídat o různejch věcech, hlavně o kreslení, a ostatní holky mně budou závidět.","Wolałam zgasić lampkę i wciąż wyobrażałam sobie, jak długo oglądał mój obrazek i pochwalił mnie przed całą klasą. I przyszło mi do głowy, że być może jestem dla niego wyjątkowa, inna niż inne dziewczyny. Zagnęłam się w pierzynę i śniłam o tym, jak mu pokażę swoje obrazy i że mu się spodobają. A potem zaczniemy się zaprzyjaźniać, mimo że on jest dużo starszy, i będziemy rozmawiać o różnych rzeczach, przede wszystkim o rysowaniu, a inne dziewczyny będą mi zazdrościć."
9,"""Já ho asi miluju. A on mě určitě taky,"" mlela pořád dokola, až jsem jí taky chtěla něco říct. Napadlo mě, že se jí pochlubím, že se Frodovi líbily moje obrázky, jenže pak mi to přišlo pitomý. Taky proto, že by to určitě vykecala mamce, a mamka by řekla, že je to pitomost.","Chyba go kocham. A on na pewno też,"" mówiła w kółko, aż chciałam jej coś powiedzieć. Przyszło mi do głowy, że pochwalę się jej, że Frodo podobały się moje obrazy, ale potem wydawało mi się to głupie. Dlatego też, bo na pewno by to wygadała mamie, a mama by powiedziała, że to głupota."
10,"""Je to fakt dobrý,"" řekl mi Frodo, když se na můj výkres koukal. A skoro to vypadalo, že je z toho obrázku překvapenej. Pak se ptal, jestli maluju i doma, tak jsem odpověděla, že jo. Nejradši bych mu řekla i to, že chci být malířkou, ale mamka pořád opakuje, že je to blbost, že člověk musí dělat něco pořádnýho, jako třeba ona dělá knihovnici v knihovně, tak jsem raději mlčela, aby si nemyslel, že mám blbý nápady. Chvíli na výkres ještě koukal a otáčel ho ze všech stran a pak šel dál a koukal na obrázek Lindy, která nakreslila takový docela pěkný jabko.","""To jest naprawdę dobre,"" powiedział mi Frodo, patrząc na mój rysunek. A wyglądało na to, że jest zaskoczony tym obrazem. Potem zapytał, czy maluję również w domu, na co odpowiedziałam, że tak. Najchętniej powiedziałabym mu również, że chcę zostać malarką, ale mama ciągle powtarza, że to głupota i że człowiek musi robić coś prawdziwego, na przykład ona jest bibliotekarką w bibliotece, więc wolałam milczeć, aby nie myślał, że mam głupie pomysły. Na rysunek popatrzył jeszcze chwilę, kręcił go ze wszystkich stron, a potem poszedł dalej i patrzył na obrazek Lindy, która narysowała całkiem ładne jabłko."
