id,source,translation
1,"""Was ist denn?"", fragte ich. ""Nichts"", flötete Selma, öffnete den Kühlschrank, holte ein Paket Schnittkäse und eine Leberwurst heraus und schwenkte beides durch die Luft. ""Was darf’s denn heute aufs Schulbrot sein?"", flötete sie. ""Mäuselchen"", flötete sie noch hinterher, und Flöten und Mäuselchen waren nun wirklich alarmierend. ""Käse, bitte"", sagte ich, ""was hast du denn""? ""Nichts"", flötete Selma, ""hab ich doch gesagt"". Sie strich Butter auf eine Scheibe Brot, und weil sie immer noch herumschlackerte, schubste sie dabei den Käse mit dem Handgelenk von der Anrichte. Selma hielt jetzt still und schaute hinab auf die Käsepackung, als sei sie etwas Kostbares, das in tausend Teile zersprungen war.","""Co się dzieje?"", zapytałem. ""Nic"", zaśpiewała Selma, otworzyła lodówkę, wyjęła paczkę sera do krojenia i pasztet z wątróbki, a potem pomachała oboma przez powietrze. ""Co dziś ma być na kanapkę do szkoły?"", zasłyszałam jej melodyjny głos. ""Myszką"", fletniała za nim, a flety i myszki były naprawdę alarmujące. ""Ser, proszę"", powiedziałem, ""co tam masz""? ""Nic"", zaśpiewała Selma, ""przecież mówiłam"". Rozsmarowywała masło na kromce chleba, a ponieważ ciągle się wierciła, strąciła ser z blatu za pomocą nadgarstka. Selma teraz stała nieruchomo, patrząc na opakowanie sera, jakby była to cenna rzecz, która rozpadła się na tysiąc kawałków."
2,"Selma hatte in ihrem Leben dreimal von einem Okapi geträumt, und jedes Mal war danach jemand gestorben, deshalb waren wir überzeugt, dass der Traum von einem Okapi und der Tod unbedingt miteinander verbunden waren. Unser Verstand funktioniert so. Er kann innerhalb kürzester Zeit dafür sorgen, dass die einander abwegigsten Dinge fest zusammengehören. Kaffeekannen und Schnürsenkel beispielsweise, oder Pfandflaschen und Tannenbäume.","Selma trzy razy w swoim życiu śniła o okapi, a za każdym razem ktoś potem umierał, dlatego byliśmy przekonani, że sen o okapi i śmierć są nierozerwalnie ze sobą powiązane. Nasz umysł działa w ten sposób. Może w bardzo krótkim czasie sprawić, że najbardziej niepasujące do siebie rzeczy będą ze sobą ściśle powiązane. Dzbanki do kawy i sznurówki na przykład, lub butelki zwrotne i choinki."
3,"""Was soll es denn sonst gewesen sein"", sagte Selma, und dass man ein Okapi ja nur schwerlich mit einem anderen Tier verwechseln könne. ""Doch"", sagte ich, es könne ja auch ein verwachsenes Rind gewesen sein, eine falsch zusammengesetzte Giraffe, eine Laune der Natur, und die Streifen und das Rostrote, das könne man doch alles nicht so genau erkennen in der Nacht, da sei schließlich alles sehr verschwommen. ""Das ist doch Quatsch"", sagte Selma und rieb sich die Stirn, ""das ist doch leider Quatsch, Luise"". Sie legte eine Scheibe Käse auf das Brot, klappte es zusammen und legte es in meine Butterbrotdose. ""Weißt du, wann genau du das geträumt hast""? ""Gegen drei Uhr"", sagte Selma. Sie war hochgeschreckt, nachdem das Bild vom Okapi sich zurückgezogen hatte, aufrecht im Bett sitzend war sie aufgewacht und hatte auf ihr Nachthemd gestarrt, in dem sie eben noch im Traum auf der Uhlheck gestanden hatte, und dann auf den Wecker. Drei Uhr. ""Wir sollten das wahrscheinlich nicht so ernst nehmen"", sagte Selma, aber sie sagte es wie ein Fernsehkommissar, der ein anonymes Schreiben nicht so ernst nimmt.","""Co to miałoby być, jeśli nie to?"" - powiedziała Selma, dodała także, że trudno by było pomylić okapi z jakimś innym zwierzęciem. ""Tak"", powiedziałem, mogło to przecież być zdeformowane bydle, źle poskładana żyrafa, kaprys natury, a paski i ta rdzawa czerwień, przecież tego wszystkiego nie można dostrzec tak dokładnie w nocy, kiedy w końcu wszystko jest bardzo nieostry."" ""To przecież bzdura"", powiedziała Selma, pocierając czoło, ""to jest niestety bzdura, Luise"". Położyła plaster sera na chleb, złożyła go na pół i włożyła do mojego pojemnika na kanapki. Czy wiesz, kiedy dokładnie to śniłeś? ""Około trzeciej"", powiedziała Selma. Przestraszyła się, po tym jak obraz okapi zniknął, siedząc prosto w łóżku obudziła się i wpatrywała się w swoją koszulę nocną, w której właśnie stała na Uhlheck we śnie, a potem na budzik. Trzy godziny. ""Prawdopodobnie nie powinniśmy tego traktować tak poważnie"" - powiedziała Selma, ale mówiła to jak komisarz telewizyjny, który nie traktuje anonimowego listu zbyt poważnie."
4,"Die Zugfahrt dauerte fünfzehn Minuten, einen Zwischenhalt gab es nicht. Seit unserer ersten Zugfahrt spielten wir immer dasselbe: Wir stellten uns mit dem Rücken zu den Fenstern an die gegenüberliegenden Zugtüren, Martin machte die Augen zu, ich sah aus dem Fenster der Zugtür, die Martin im Rücken hatte. In der ersten Klasse hatte ich Martin aufgezählt, was ich während der Fahrt sah, und Martin versuchte, alles auswendig zu lernen. Das gelang sehr gut, sodass ich im zweiten Schuljahr nichts mehr aufzählte und Martin, mit dem Rücken zum Fenster und geschlossenen Augen, fast alles aufsagen konnte, was ich durch das beschlagene Zugfenster gerade sah: ""Drahtfabrik"", sagte er, genau in dem Moment, als wir an der Drahtfabrik vorbeifuhren. ""Jetzt Feld. Weide. Das Gehöft vom verrückten Hassel. Hochsitz eins. Feld. Weide, Weide. Dorf. Weide. Feld. Hochsitz zwei. Hof. Feld. Hochsitz drei. Dorf.""","Podróż pociągiem trwała piętnaście minut, bez żadnego postoju. Od naszej pierwszej podróży pociągiem zawsze graliśmy w to samo: stawaliśmy plecami do okien przy przeciwległych drzwiach pociągu, Martin zamykał oczy, a ja patrzyłem przez okno drzwi pociągu, które Martin miał za plecami. W pierwszej klasie opowiadałem Martinowi, co widziałem podczas podróży, a Martin próbował zapamiętać wszystko. To poszło bardzo dobrze, do tego stopnia, że w drugim roku szkolnym już nic nie wyliczałem, a Martin, z tyłem do okna i zamkniętymi oczami, mógł prawie wszystko powiedzieć, co właśnie widziałem przez zaparowane okno pociągu: ""Fabryka drutu"", powiedział, dokładnie w momencie, kiedy minęliśmy fabrykę drutu. Teraz pole. Pastwisko. Gospodarstwo szalonego Hassela. Las. Ambona pierwsza. Pole. Las. Łąka. Pastwisko, pastwisko. Wieś. Pastwisko. Pole. Ambona dwa. Dwór. Pole. Las. Podwyższone stanowisko trzy. Wioska."
5,"Bauer Häubel war der festen Überzeugung, dass der Tod höflich sein würde, so wie Bauer Häubel selbst es sein Leben lang gewesen war. Er war sicher, dass der Tod ihm das Leben nicht entreißen, sondern behutsam aus der Hand nehmen würde. Er stellte sich vor, wie der Tod vorsichtig anklopfte, die Tür nur einen Spalt öffnete und ""Darf ich""? fragte, was Bauer Häubel natürlich bejahen würde. ""Selbstverständlich"", würde Bauer Häubel sagen, ""treten Sie doch ein"", und der Tod würde eintreten. Er würde sich an Bauer Häubels Bett stellen und fragen: ""Passt es Ihnen jetzt? Ich kann sonst auch zu einem späteren Zeitpunkt vorbeikommen"". Bauer Häubel würde sich aufrichten und ""Nein, nein, es passt mir gerade sehr gut"" sagen, ""lassen Sie es uns besser nicht noch einmal verschieben, wer weiß, wann Sie es wieder einrichten können"", und der Tod würde sich auf den schon bereitgestellten Stuhl am Kopfende setzen. Er würde sich im Vorhinein für die Kälte seiner Hände entschuldigen, die, das wusste Bauer Häubel, ihm überhaupt nichts ausmachen würde, und dann eine Hand auf Bauer Häubels Augen legen.","Rolnik Häubel był przekonany, że śmierć będzie uprzejma, tak jak sam rolhik Häubel był przez całe swoje życie. Był pewien, że śmierć nie wyrwie mu życia, lecz delikatnie weźmie je z jego ręki. Wyobrażał sobie, jak śmierć ostrożnie puka, otwiera drzwi tylko na szparę i pyta ""Czy mogę?"", na co Bauer Häubel oczywiście odpowiedziałby twierdząco. ""Oczywiście"", powiedziałby rolnik Häubel, ""proszę wejść"", a śmierć by weszła. Stanąłby przy łóżku farmera Häubla i zapytał: ""Czy pasuje Panu teraz?"" Mogę też przyjść w późniejszym terminie. Rolnik Häubel podniósłby się i powiedział: ""Nie, nie, pasuje mi to bardzo"", ""lepiej nie przekładajmy tego znowu, kto wie kiedy będziesz mógł to znowu zrobić"", a śmierć usiadłaby na już przygotowanym krześle u główki stołu. Przepraszaliby z góry za zimno swoich rąk, co, jak wiedział Bauer Häubel, wcale by mu nie przeszkadzało, a potem położyłby rękę na oczach Bauera Häubela."
6,"Das stimmte. Der Hund war schneematschfarben, er war verwaschen grau und zottelig wie ein ausschließlicher Irischer Wolfhund ohne etwas anderes drin. Sein Körper war noch klein, aber seine Pfoten waren groß wie Bärentatzen, und wir wussten alle, was das bedeutete. Selma stand immer noch erhoben vor der Küchenbank. Sie schaute lange auf den Hund. Dann sah sie meinen Vater an, als sei er ein Geschenkideengeschäft.","To prawda. Pies był koloru brudnego śniegu, wyblakły na szaro i kudłaty jak czystej krwi irlandzki wilczarz, bez domieszki innej rasy. Jego ciało było jeszcze małe, ale jego łapy były wielkie jak łapy niedźwiedzia, a wszyscy wiedzieliśmy, co to oznacza. Selma wciąż stała wyprostowana przed kuchenną ławką. Długo patrzyła na psa. Potem spojrzała na mojego ojca, jakby był sklepem z pomysłami na prezenty."
7,"""Klappe halten"", sagte der Optiker noch einmal lauter und ging schneller, ""Selma findet nur sehr selten etwas bedrohlich oder unansehnlich"". Damit hatte er völlig recht, und damit hatte er leider mehr gesagt, als er den Stimmen eigentlich hätte antworten sollen. Aber die Liebe fände sie womöglich ausgerechnet doch unansehnlich, zischelten die Stimmen, es habe ja einen Grund, sagten sie, dass die Wahrheit so lange verborgen wurde. ""Feigheit war das"", sagte der Optiker und schob die Ledertasche auf die andere Hüfte, weil das Rempeln der Tasche und das Rempeln der Stimmen langsam begannen wehzutun. ""Besonnenheit war das"", sagten die Stimmen, ""Angst ist ja manchmal doch ein guter Ratgeber"", sagten sie und summten die Titelmelodie der Vorabendserie. Der Optiker wurde jetzt langsamer. Der Weg zu Selmas Haus, der eigentlich zehn Minuten dauerte, kam ihm plötzlich vor wie eine Tagesreise, eine Tagesreise mit sehr, sehr viel Gepäck.","""Zamknij się"", powiedział optyk jeszcze głośniej i przyspieszył, ""Selma rzadko kiedy uznaje coś za groźne lub nieprzyjemne"". Miał całkowitą rację, a niestety powiedział więcej, niż powinien odpowiedzieć na te głosy. Ale miłość mogłaby ją jednak uznać za brzydką, szeptały głosy, musiał być jakiś powód, mówiły, że prawda była tak długo ukrywana. ""To była tchórzostwo"", powiedział optyk, przesuwając skórzaną torbę na drugi bok, ponieważ pchanie torby i dźwięki głosów zaczęły go boleć. ""Rozsądek to było"", mówiły głosy, ""strach jest czasami dobrym doradcą"", mówili i nucili motyw przewodni serialu emitowanego wieczorem. Optyk teraz zwolnił. Droga do domu Selmy, która zazwyczaj trwała dziesięć minut, nagle wydała mu się jak podróż całodzienna, podróż z bardzo, bardzo dużym bagażem."
8,"Auch das Schwimmen hatten Selma und der Optiker uns beigebracht, sie hatten im Nichtschwimmerbecken gestanden, beide bis zum Bauchnabel im Wasser, Selma trug eine große violette Rüschen-Badehaube, die aussah wie eine Hortensie und die sie sich von Elsbeth geliehen hatte, damit Rudi Carrells Frisur nichts geschah. Ich lag mit dem Bauch auf Selmas Händen, Martin auf den Händen des Optikers. ""Wir lassen nicht los"", sagten Selma und der Optiker, und irgendwann: ""Wir lassen jetzt los"", und Martin und ich schwammen, erst zappelig und mit vor Panik und Stolz weit aufgerissenen Augen, dann immer sicherer. Selma fiel dem Optiker jubelnd in die Arme, und dem Optiker traten die Tränen in die Augen.","Również pływanie Selma i optyk nauczyli nas, stali w basenie dla niemowląt, obydwoje do pępka w wodzie, Selma nosiła dużą fioletową czepek z falbanami, która wyglądała jak hortensja i którą pożyczyła od Elsbeth, aby nic się nie stało fryzurze Rudi Carrella. Leżałem na rękach Selmy brzuchem do dołu, Martin zaś na rękach optyka. ""Nie odpuścimy"", powiedzieli Selma i optyk, a w końcu: ""Teraz odpuścimy"", a Martin i ja pływaliśmy, najpierw nerwowo i z oczami szeroko otwartymi ze strachu i dumy, a potem coraz pewniej. Selma rzuciła się okuliście z radości w ramiona, a okulistę opanowały łzy."
9,"Er ging an weiteren Häusern vorbei, Häusern voller verschwiegener Wahrheiten, die ans Licht wollten, und er fuhr jetzt alles auf, was er je an Sinnsprüchen über Mut gelesen hatte. Das war eine Menge. Immer, wenn er mit Selma in die Kreisstadt fuhr, weil Selma ihren Wochenendeinkauf erledigen wollte, wartete der Optiker vor einem abgelegenen Geschenkideengeschäft auf sie, denn dort konnte man gut heimlich rauchen, dort wurde man von Selma bestimmt nicht erwischt, nirgends war man vor ihr so sicher wie vor einem Geschenkideengeschäft. Während Selma einkaufte, hatte der Optiker mittlerweile den ganzen immerhin 96-fächrigen Postkartenständer vor dem Geschenkideengeschäft gelesen und vollgequalmt. Auf jeder Postkarte war eine Landschaft abgebildet, die mit der Kreisstadt nicht das Geringste zu tun hatte, nämlich eine mit Meer, Wasserfall oder Wüste, und dazu jeweils ein Sinnspruch, der mit dem Optiker nicht das Geringste zu tun hatte. Jetzt, da er merkte, dass die Stimmen immer kraftvoller und er immer kraftloser wurde, sagte er sich die Sprüche auf, laut und schon kurz vor Selmas Haus.","Przeszedł obok kolejnych domów, domów pełnych skrywanych prawd, które chciały wyjść na światło dzienne, i teraz wykorzystywał wszystko, co kiedykolwiek przeczytał o odwadze w sentencjach. To było dużo. Zawsze, gdy jechał z Selmą do miasta powiatowego, bo Selma chciała zrobić zakupy na weekend, optyk czekał na nich przed odległym sklepem z pomysłami na prezenty, ponieważ tam można było dobrze palić w ukryciu, tam Selma na pewno go nie złapie, nigdzie nie byli tak bezpieczni przed nią jak przed sklepem z pomysłami na prezenty. Podczas gdy Selma robiła zakupy, optyk w międzyczasie przeczytał i zatruł dymem cały stojak na kartki pocztowe z aż 96 przegrodami przed sklepem z pomysłami na prezenty. Na każdej pocztówce przedstawiono krajobraz, który nie miał nic wspólnego z miastem powiatowym, a mianowicie jeden z morzem, wodospadem lub pustynią, a do tego każdy z nich zawierał sentencję, która nie miała nic wspólnego z optykiem. Teraz, kiedy zauważył, że głosy stawały się coraz silniejsze, a on coraz słabszy, powtarzał głośno zaklęcia, już tuż przed domem Selmy."
10,"Wenn ich unten bei Selma schlief, erzählte sie mir am Bettrand Geschichten mit guten Enden. Als ich kleiner war, hatte ich nach den Geschichten immer ihr Handgelenk umfasst, meinen Daumen auf ihren Puls gelegt und mir vorgestellt, dass die ganze Welt alles im Rhythmus von Selmas Herzschlag tat. Ich stellte mir vor, wie der Optiker Linsen schliff, Martin ein Gewicht stemmte, Elsbeth ihre Hecke schnitt, wie der Einzelhändler Safttüten einräumte, meine Mutter Tannenzweige aufeinanderschichtete, mein Vater Rezepte stempelte, und alle taten das genau in Selmas Herzrhythmus. Darüber war ich immer verlässlich eingeschlafen, aber jetzt, mit zehn Jahren, fand Selma, sei ich zu alt dafür.","Kiedy spałem na dole u Selmy, opowiadała mi przy krawędzi łóżka historie o dobrych zakończeniach. Kiedy byłem młodszy, zawsze po opowieściach chwytałem ją za nadgarstek, kładąc kciuk na jej pulsie i wyobrażając sobie, że cały świat działa w rytmie tętna Selmy. Wyobrażałem sobie, jak optyk szlifuje soczewki, Martin podnosi ciężar, Elsbeth przycina żywopłot, jak detalista ustawia soki na półkach, moja matka układała na sobie gałązki świerku, mój ojciec stemplował recepty, a wszyscy robili to dokładnie w rytmie serca Selmy. Zawsze zasypiałam na tym niezawodnie, ale teraz, mając dziesięć lat, Selma uznała, że jestem na to za stara."
