id,source,target
1,"Ils embrayaient par comparaison sur la guerre d'avant, la Grande, celle de 14, gagnée, elle, dans le sang et la gloire, une guerre d'hommes que les femmes de la table écoutaient avec respect. Ils parlaient du Chemin des Dames et de Verdun, des gazés, des cloches du 11 novembre 1918. Ils nommaient des villages dont pas un enfant parti au front n'était revenu. Ils opposaient les soldats dans la boue des tranchées aux prisonniers de 40, au chaud et à l'abri pendant cinq ans, qui n'avaient même pas reçu de bombes sur la tête. Ils se disputaient l'héroïsme et le malheur.","Porównali to z poprzednią wojną, Wielką, tą z 1914, którą wygrano w krwi i chwale, wojną mężczyzn, której kobiety przy stole słuchały z szacunkiem. Rozmawiali o Chemin des Dames i Verdun, o gazowanych, dzwonach 11 listopada 1918 roku. Nazywali wsie, z których żadne dziecko wysłane na front nie wróciło. Sprzeciwiali się żołnierzom walczącym w błocie okopów wobec więźniów z 40 roku, którzy przez pięć lat byli na ciepło i w bezpiecznym miejscu, na które nie spadały nawet bomby. Kłócili się o bohaterstwo i nieszczęście."
2,"Mais ils ne parlaient que de ce qu'ils avaient vu, qui pouvait se revivre en mangeant et buvant. Ils n'avaient pas assez de talent ou de conviction pour parler de ce qu'ils savaient mais qu'ils n'avaient pas vu. Donc ni des enfants juifs montant dans des trains pour Auschwitz, ni des morts de faim ramassés au matin dans le ghetto de Varsovie, ni des 10 000 degrés à Hiroshima. D'où cette impression que les cours d'histoire, les documentaires et les films, plus tard, ne dissiperaient pas : ni les fours crématoires ni la bombe atomique ne se situaient dans la même époque que le beurre au marché noir, les alertes et les descentes à la cave.","Ale rozmawiali tylko o tym, co widzieli, co mogło powrócić jedząc i pijąc. Nie mieli wystarczająco dużo talentu lub przekonania, aby mówić o tym, co wiedzieli, ale czego nie widzieli. Więc ani żydowskie dzieci wsiadające do pociągów do Auschwitz, ani umierający z głodu zbierani rankiem w getcie warszawskim, ani 10 000 stopni w Hiroszimie. Stąd to wrażenie, które nie rozpłynęło się nawet po lekcjach historii, dokumentach i filmach oglądanych później: ani krematoria, ani bomba atomowa nie były częścią tej samej epoki co masło na czarnym rynku, alarmy i schodzenie do piwnicy."
3,"Sous l'immuabilité, les affiches du cirque de l'année dernière avec la photo de Roger Lanzac, les images de première communion distribuées aux camarades, le Club des Chansonniers sur Radio Luxembourg, les jours se remplissaient de désirs nouveaux. Le dimanche après-midi, on s'agglutinait à la vitrine du magasin d'électricité générale devant la télévision. Des cafés investissaient dans l'achat d'un poste pour attirer la clientèle. Au flanc des collines serpentaient des pistes de motocross et l'on regardait monter et descendre les engins assourdissants la journée entière. L'impatience grandissante du commerce avec ses nouveaux mots d'ordre, « initiative », « dynamisme », secouait le train-train des villes. Entre la fête foraine et la kermesse, la Quinzaine commerciale s'installait comme rite de printemps. Dans les rues du centre, les haut-parleurs beuglaient des incitations à acheter, entrecoupées de chansons d'Annie Cordy et d'Eddie Constantine, pour gagner la Simca ou la salle à manger. Sur le podium, place de la Mairie, un animateur local faisait rire avec les blagues de Roger Nicolas et de Jean Richard, rameutait des candidats pour le Crochet ou Quitte ou double, comme à la radio. Assise dans un coin du podium trônait sous sa couronne la Reine du Commerce. La marchandise avançait sous les couleurs de la fête. Les gens disaient « ça change » ou « il ne faut pas s'encroûter, on s'abrutit à rester chez soi ».","Pod niezmiennymi, plakaty z zeszłorocznego cyrku ze zdjęciem Rogera Lanzaca, obrazy z pierwszej komunii rozdawane kolegom, Klub Piosenkarzy w Radio Luxembourg, dni wypełniały się nowymi pragnieniami. W niedzielę po południu tłoczyliśmy się przy witrynie sklepu z elektrycznością, patrząc na telewizor. Kawiarnie inwestowały w zakup radia, aby przyciągnąć klientów. Na zboczach wzgórz wijące się trasy motocrossowe obserwowaliśmy cały dzień, jak hałasujące maszyny wspinały się i schodziły. Rosnąca niecierpliwość handlu ze swoimi nowymi hasłami, ""inicjatywa"", ""dynamika"", wstrząsała monotonnością miast. Między festynem a kiermaszem, Targi Handlowe stawały się jak rytuał wiosenny. Na ulicach centrum z głośników dobiegały zachęty do zakupów, przerywane piosenkami Annie Cordy i Eddiego Constantine'a, aby wygrać Simcę lub jadalnię. Na podiumie, na placu ratusza, lokalny animator rozbawiał publiczność dowcipami od Rogera Nicolasa i Jean Richarda, zbierając kandydatów do gry Crochet lub Podwójne albo nic, jak w radiu. Siedząca w kącie podium pod swoją koroną królowa handlu. Towar posuwał się naprzód pod barwami święta. Ludzie mówili ""to się zmienia"" lub ""nie wolno nam zasiedzieć się, głupieje się zostając w domu""."
4,"De main en main passaient des photos brunies au dos taché par tous les doigts qui les avaient tenues dans d'autres repas, mélange de café et de graisse fondu en une couleur indéfinissable. Dans les mariés raides et graves, les invités de la noce s'étageant sur plusieurs rangs le long d'un mur, on ne reconnaissait ni ses parents ni personne. Ce n'était pas soi non plus qu'on voyait dans le bébé de sexe indistinct à demi nu sur un coussin mais quelqu'un d'autre, une créature appartenant à un temps muet et inaccessible.","Z ręki do ręki przechodziły zdjecia o przyciemnionym tle, poplamionym od wszystkich palców, które je trzymały podczas innych posiłków, mieszanką kawy i tłuszczu stopionych w niezdefiniowany kolor. Wśród poważnych i surowych małżonków, goście weselni, rozmieszczeni na kilku rzędach wzdłuż ściany, nie rozpoznawali ani swoich rodziców, ani nikogo innego. To nie było również to, co widzieliśmy w niemowlęciu o nieokreślonej płci, na wpół nagim na poduszce, ale ktoś inny, istota należąca do cichego i niedostępnego czasu."
5,"Récit familial et récit social c'est tout un. Les voix des convives délimitaient les espaces de la jeunesse : la campagne et les fermes où, de mémoire perdue, les hommes avaient été commis et les filles servantes, l'usine où tous s'étaient rencontrés, fréquentés et mariés, les petits commerces où avaient accédé les plus ambitieux. Elles dessinaient des histoires sans événements personnels autres que les naissances, les mariages et les deuils, sans voyages en dehors du régiment dans une lointaine ville de garnison, des existences occupées par le travail, sa dureté et son usure, les menaces de la boisson. L'école était un arrière-fond mythique, un bref âge d'or dont l'Instituteur avait été le dieu rude avec sa règle en fer pour taper sur les doigts.","Rodzinna historia i historia społeczna to jedno. Głosy uczestników wyznaczały przestrzenie młodości: wieś i farmy, gdzie z dawno utraconych wspomnień mężczyźni zostali skierowani, a dziewczyny służące, fabryka, w której wszyscy się spotkali, poznali i ożenili oraz małe sklepy, do których dostęp mieli najbardziej ambitni. Rysowały historie bez osobistych wydarzeń, poza narodzinami, ślubami i żałobami, bez podróży poza regiment do dalekiego garnizonu, istnienia zdominowane przez pracę, jej ciężkość i zużycie, groźby alkoholu. Szkoła była mitycznym tłem, krótkim złotym wiekiem, w którym nauczyciel był surowym bogiem ze swoją żelazną linijką do bicia po palcach."
6,"La frénésie qui avait suivi la Libération s'estompait. Alors les gens ne pensaient qu'à sortir et le monde était plein de désirs à satisfaire sur-le-champ. Tout ce qui constituait la première fois depuis la guerre provoquait la ruée, les bananes, les billets de la Loterie nationale, le feu d'artifice. Par quartiers entiers, de la grand-mère soutenue par ses filles au nourrisson en landau, les gens se précipitaient à la fête foraine, à la retraite aux flambeaux, au cirque Bouglione où ils manquaient être piétinés dans la bousculade. Ils se portaient en foule priante et chantante sur la route pour accueillir la statue de Notre-Dame de Boulogne et la reconduire le lendemain sur des kilomètres. Profane ou religieuse, toute occasion leur était bonne d'être au-dehors ensemble, comme s'ils voulaient continuer de vivre collectivement. Le dimanche soir, les cars revenaient de la mer avec de grands jeunes gens en short qui chantaient à tue-tête, grimpés sur le toit à bagages. Les chiens se promenaient en liberté et s'accouplaient au milieu de la rue.","Szał, który nastąpił po Wyzwoleniu, zaczął ustępować. Więc ludzie myśleli tylko o wyjściu, a świat był pełen pragnień do natychmiastowego zaspokojenia. Wszystko, co stanowiło pierwszy raz od wojny, wywoływało szturm, banany, bilety do Loterii Narodowej, fajerwerki. Całymi dzielnicami, od babci podtrzymywanej przez córki po niemowlę w wózku, ludzie pędzili na jarmark, do pochodu z pochodniami, do cyrku Bouglione, gdzie omal nie zostali stratowani w tłoku. Gromadzili się tłumnie, modląc się i śpiewając na drodze, aby powitać figurę Matki Bożej z Boulogne i następnego dnia odprowadzić ją kilometrami. Świecka czy religijna, każda okazja była dla nich dobra, aby być na zewnątrz razem, jakby chcieli kontynuować wspólne życie. W niedzielne wieczory, autobusy wracały z morza z wielkimi młodymi ludźmi w szortach, którzy krzycząc na całe gardło śpiewali, wtargnąwszy na dach bagażowy. Psy spacerowały swobodnie i łączyły się w środku ulicy."
7,"Les enfants n'écoutaient pas et se dépêchaient de quitter la table dès qu'ils en avaient reçu la permission, profitant de la bienveillance générale des jours de fête pour se livrer aux jeux interdits, sauter sur les lits et faire de la balançoire la tête en bas. Mais ils retenaient tout. À côté du temps fabuleux dont ils n'ordonneraient pas avant longtemps les épisodes, la Débâcle, l'Exode, l'Occupation, le Débarquement, la Victoire ils trouvaient terne celui, sans nom, où ils grandissaient. Ils regrettaient de ne pas avoir été nés, ou à peine, quand il fallait partir en cohorte sur les routes et dormir sur la paille comme des bohémiens. De ce temps non vécu ils garderaient le regret tenace. La mémoire des autres leur refilait une nostalgie secrète pour cette époque qu'ils avaient manquée de si peu et l'espérance de la vivre un jour.","Dzieci nie słuchały i spieszyły się opuścić stół, jak tylko otrzymały pozwolenie, korzystając z ogólnej dobroduszności świątecznych dni, aby oddać się zabawom zakazanym, skakać na łóżkach i huśtać się do góry nogami. Ale oni wszystko zapamiętywali. Obok niezwykłych czasów, których odcinki nie zostaną uszeregowane na długo, Upadek, Eksodus, Okupacja, Lądowanie, Zwycięstwo - uważali za mdłe te bezimiennne czasy, w których dorastali. Żałowali, że nie urodzili się, albo dopiero co się narodzili, kiedy trzeba było wyruszać w grupie na drogi i spać na słomie jak cyganie. Z tego niewykorzystanego czasu będę trzymać żałosny żal. Pamięć innych przekazywała im tajemniczą nostalgia za tym okresem, którego tak niewiele im zabrakło, i nadzieję na przeżycie go kiedyś."
8,"Les garçons étaient fiers de partir au régiment et on les trouvait beaux en soldats. Le soir du conseil de révision, ils faisaient la tournée des cafés pour célébrer la gloire d'être reconnus comme de vrais hommes. Avant le régiment, ils étaient encore des gamins et ne valaient rien sur le marché du travail et du mariage. Après, ils pourraient avoir une femme et des enfants. L'uniforme qu'ils promenaient dans le quartier lors des permissions les enveloppait de beauté patriotique et de sacrifice virtuel. L'ombre des combattants vainqueurs, des GI, flottait autour d'eux. Le drap rêche de la vareuse, effleurée quand on se hissait sur la pointe des pieds pour les embrasser, matérialisait la coupure absolue entre l'univers des hommes et celui des femmes. À les voir on éprouvait un sentiment d'héroïsme.","Chłopcy byli dumni, że mogą iść do regimentu, a wszyscy uważali ich za przystojnych w mundurach. Wieczorem po zebraniu komisji rewizyjnej, obchodzili bary, aby świętować chwałę bycia uznawanym za prawdziwych mężczyzn. Przed służbą w pułku byli jeszcze dzieciakami i nie mieli żadnej wartości na rynku pracy czy małżeńskim. Potem mogą mieć żonę i dzieci. Mundur, który paradują po dzielnicy podczas przepustek, otaczał ich pięknem patriotyzmu i wirtualnym poświęceniem. Cień zwycięskich wojowników, żołnierzy GI, unosił się wokół nich. Szorstki materiał bluzy, dotykany podczas wspinania się na palcach, aby ich pocałować, uosabiał absolutne rozdzielenie świata mężczyzn od świata kobiet. Na ich widok, odczuwano uczucie heroizmu."
9,"Une autre photo, signée du même photographe mais le papier du livret est plus ordinaire et le liseré d'or a disparu —, sans doute vouée à la même distribution familiale, montre une petite fille d'environ quatre ans, sérieuse, presque triste malgré une bonne bouille rebondie sous des cheveux courts, séparés par une raie au milieu et tirés en arrière par des barrettes auxquelles sont attachés des rubans, comme des papillons. La main gauche repose sur la même table sculptée, entièrement visible, de style Louis XVI. Elle apparaît boudinée dans son corsage, sa jupe à bretelles remonte par-devant à cause d'un ventre proéminent, peut-être signe de rachitisme (1944, environ).","Inne zdjęcie, podpisane przez tego samego fotografa, ale papier broszury jest bardziej zwyczajny i złote obramowanie zniknęło - najprawdopodobniej przeznaczone do tego samego rodzinnego dystrybucji, pokazuje małą dziewczynkę w wieku około czterech lat, poważną, niemal smutną pomimo uroczej pyzatej twarzy, pod krótkimi włosami podzielonymi na środku i zaczesanymi do tyłu za pomocą spinek do których przypięte są wstążki, jak motyle. Lewa ręka spoczywa na tej samej rzeźbionej tabeli, w pełni widocznej, w stylu Ludwika XVI. Ona wydaje się być zapchana w swoim gorsecie, jej spódnica z ramiączkami podnosi się z przodu z powodu wydatnego brzucha, być może to znak krzywicy (około 1944 roku)."
10,"Deux autres petites photos à bords dentelés, datant vraisemblablement de la même année, montrent la même enfant, mais plus menue, dans une robe à volants et manches ballon. Sur la première, elle se blottit de façon espiègle contre une femme au corps massif, d'un seul tenant dans une robe à larges rayures, les cheveux relevés en gros rouleaux. Sur l'autre, elle lève le poing gauche, le droit est retenu par la main d'un homme, grand, en veste claire et pantalon à pinces, à la posture nonchalante. Les deux photos ont été prises le même jour devant un muret surmonté d'une bordure de fleurs, dans une cour pavée. Au-dessus des têtes passe une corde à linge sur laquelle une épingle est restée accrochée.","Dwie kolejne małe fotografie o poszarpanych brzegach, prawdopodobnie z tego samego roku, ukazują to samo dziecko, ale szczuplejsze, w sukience z falbanami i balonowymi rękawami. Na pierwszym zdjęciu, figlarnie przylega do kobiety o masywnej sylwetce, ubranej w szeroko paskowaną sukienkę, ze włosami podniesionymi w grubych wałkach. Na drugim zdjęciu podnosi lewą pięść, prawą rękę trzyma dłoń mężczyzny, wysokiego, w jasnej kurtce i spodniach z kantem, o nonszalanckiej postawie. Obie zdjęcia zostały zrobione tego samego dnia przed murem zwieńczonym obrzeżem kwiatów, na brukowanym dziedzińcu. Nad głowami przechodzi linka do prania, na której została przyczepiona jedna klamerka."
