Source,GoogleTranslate,human1,human2
Et comme la jeune femme souriait :,And as the young woman smiled:,"When Renée smiled, Mme Sidonie went on: “I know, you don’t believe me either.","As the younger woman smiled, she went on:"
"Et, ayant couronné la butte par un morceau de braise pointu, il croisa les mains sur les pincettes en regardant fixement sa femme.","And, having crowned the mound with a sharp piece of ember, he folded his hands on the tweezers, staring fixedly at his wife.","And having placed a sharp-pointed ember atop the pile, he folded his hands over the tongs and fixed his wife with a stare.","Having crowned his great construction with a pointed cinder, he crossed his hands over the tongs and stared at his wife."
"Alors, on applaudit discrètement, et les conversations reprirent. Un grand souffle d’amour, de désir contenu, était venu des nudités de l’estrade, courait le salon, où les femmes s’alanguissaient davantage sur leurs sièges, tandis que les hommes, à l’oreille, se parlaient bas, avec des sourires. C’était un chuchotement d’alcôve, un demi-silence de bonne compagnie, un souhait de volupté à peine formulé par un frémissement de lèvres ; et, dans les regards muets, se rencontrant au milieu de ce ravissement de bon ton, il y avait la hardiesse brutale d’amours offertes et acceptées d’un coup d’œil.","So, we applauded discreetly, and the conversations resumed. A great breath of love, of restrained desire, had come from the nudity of the platform, ran through the living room, where the women were more languid in their seats, while the men, in their ears, spoke to each other in low tones. smiles. It was an alcove whisper, a semi-silence of good company, a wish for pleasure scarcely expressed by a quivering of the lips; and in the mute looks, meeting in the midst of this fashionable rapture, there was the brutal boldness of loves offered and accepted at a glance.","The audience applauded discreetly, and conversation resumed. An amorous breeze, a current of suppressed desire, had proceeded from the simulated nudity on the stage into the drawing room, where the women lay back a bit deeper in their chairs and the men exchanged smiles and whispered in one another’s ears. It was the sound of pillow talk, the tasteful hush of refined people whose lips quivered with scarcely formulated desires, and in the mute looks exchanged amidst all this decorous delectation one sensed the shameless frankness of love offered and accepted at a glance.","The audience applauded discreetly, and the conversations were resumed. A great breath of love, of restrained desire, had come from the nude figures on the stage and passed through the drawing room, where the women leaned more languidly in their seats, while the men murmured in each others’ ears, smiling. There was whispering as in an alcove, a well-bred hush, a barely formulated longing for voluptuousness; and in the mute looks exchanged amid this decorous rapture there was the frank boldness of pleasure offered and accepted with a glance."
Aristide prit le parti de rire.,Aristide decided to laugh.,Aristide thought it best to laugh.,", we’re quite alone, we can say what we like…’ Aristide thought it best to laugh."
"Puis ils trouvèrent un fiacre, rue de Charonne, et ils s’en allèrent, crottés jusqu’aux genoux, satisfaits de leur promenade comme d’une partie de campagne. Dans le fiacre, la conversation tourna, ils parlèrent politique, ils dirent que l’empereur faisait de grandes choses. On n’avait jamais rien vu de pareil à ce qu’ils venaient de voir. Cette grande rue toute droite serait superbe, quand on aurait bâti des maisons.","Then they found a cab in the Rue de Charonne, and they drove off, muddy to their knees, satisfied with their walk as if they were out in the country. In the cab the conversation turned, they talked politics, they said that the Emperor was doing great things. We had never seen anything like what they had just seen. This wide, straight street would be superb when houses had been built.","Then they found a cab on the rue de Charonne and drove off, spattered with filth up to the knees and as pleased with their outing as if they’d been to a picnic in the country. In the cab the conversation turned to politics; they agreed that the Emperor was doing great things. No one had ever seen anything like what they had just seen. This big straight boulevard would be superb once houses were built along it.","Then they found a cab in the Rue de Charonne, and drove off, splashed up to their knees, but as satisfied with their walk as if they had had a day in the country. In the cab the conversation changed, they talked politics, they said that the Emperor was doing great things. No one had ever seen the like of what they had just seen. That great, long, straight street would be splendid when the houses were built."
"Saccard admira le sang-froid de ce malheureux. À un moment, l’agent d’expropriation s’élança de son fauteuil comme pour le battre ; et il se contenta de reculer d’un pas, en louchant avec plus d’humilité.","Saccard admired the coolness of this unfortunate man. At one moment the expropriation agent sprang from his chair as if to beat him; and he contented himself with stepping back, squinting more humbly.","Saccard admired the wretched fellow’s sangfroid. At one point, the expropriation agent leapt from his chair as if to strike him, and he merely retreated a step and narrowed his eyes a bit more in a gesture of humility.","Saccard admired the wretch’s coolness. At one moment the expropriation agent flew from his chair as if to strike him; and he simply took a step backwards, squinting with greater humility."
"— C’est ça, reprit-elle, nous sommes chez nous, au moins.","""That's it,"" she went on, ""we're at home, at least.","“That’s that,” she replied. “Now at least we can make ourselves at home.”","‘That’s it,’ she rejoined, ‘we’re alone at last.’"
"Elle resta un moment les yeux grands ouverts, pleins de cette apparition, qui lui rappelait une autre heure de sa vie. Il lui semblait que l’empereur, en se mêlant à la file des voitures, venait d’y mettre le dernier rayon nécessaire, et de donner un sens à ce défilé triomphal. Maintenant, c’était une gloire. Toutes ces roues, tous ces hommes décorés, toutes ces femmes étalées languissamment, s’en allaient dans l’éclair et le roulement du landau impérial. Cette sensation devint si aiguë et si douloureuse, que la jeune femme éprouva l’impérieux besoin d’échapper à ce triomphe, à ce cri de Saccard qui lui sonnait encore aux oreilles, à cette vue du père et du fils, les bras unis, causant et marchant à petits pas. Elle chercha, les mains sur la poitrine, comme brûlée par un feu intérieur ; et ce fut avec une soudaine espérance de soulagement, de fraîcheur salutaire, qu’elle se pencha et dit au cocher :","She remained for a moment with her eyes wide open, full of this apparition, which reminded her of another hour of her life. It seemed to him that the Emperor, by mingling with the line of carriages, had just put the last necessary ray there, and gave meaning to this triumphal procession. Now that was a glory. All these wheels, all these decorated men, all these women languidly spread out, went away in the flash and the rolling of the imperial landau. This sensation became so acute and so painful that the young woman felt the imperious need to escape this triumph, this cry of Saccard which still rang in her ears, this sight of father and son, arms united, talking and walking with small steps. She searched, her hands on her chest, as if burned by an inner fire; and it was with a sudden hope of relief, of salutary freshness, that she bent down and said to the coachman:","She sat a moment with her eyes wide open, full of what she had just seen, which reminded her of another time in her life. To her it seemed that the Emperor, by inserting himself into the line of carriages, had just added the last essential radiance to this triumphal procession and given it meaning. Now it was a glory to behold. All those wheels, all those decorated men, all those women lounging listlessly in their carriages vanished with the flash and rumble of the imperial landau. This sensation became so acute and painful that the young woman felt an imperious need to escape from this triumph, from Saccard’s shout, still ringing in her ears, and from the sight of the father and the son, arms linked, chatting as they ambled along. Looking for a way out, she brought her hands up to her chest, as if seared by a flame within.","She remained for a moment with wide-open eyes, full of this vision, which reminded her of another moment in her life. It seemed to her as if the Emperor, by mingling with the line of carriages, had just set in it the last necessary ray, and given a clear meaning to this triumphal procession. Now it was a glorification. All these wheels, all these men with decorations, all these women languidly reclining, vanished into the flash and the rumble of the Imperial landau. This sensation became so acute and so painful that Renée felt a compelling need to escape from this triumph, from Saccard’s cry, still ringing in her ears, from the sight of the father and son sauntering along arm-in-arm. She looked round, her hands folded on her breast, as if burnt with an internal fire; and it was with sudden hope of relief, of healing coolness, that she leant forward and said to the coachman:"
"Et il lui conta ce qu’il avait entendu chez Laure, lâchement, sournoisement, goûtant une secrète joie à descendre dans ces infamies. Il lui semblait qu’il se vengeait d’une injure vague qu’on venait de lui faire. Son tempérament de fille s’attardait béatement à cette dénonciation, à ce bavardage cruel, surpris derrière une porte. Il n’épargna rien à Renée, ni l’argent que son mari lui avait prêté à usure, ni celui qu’il comptait lui voler, à l’aide d’histoires ridicules, bonnes à endormir les enfants. La jeune femme l’écoutait, très pâle, les lèvres serrées. Debout devant la cheminée, elle baissait un peu la tête, elle regardait le feu. Sa toilette de nuit, cette chemise que Maxime avait fait chauffer, s’écartait, laissait voir des blancheurs immobiles de statue.","And he related to her what he had heard at Laure's, cowardly, slyly, tasting a secret joy in descending into such infamies. It seemed to him that he was avenging himself for a vague insult that had just been done to him. Her girlish temperament lingered blissfully over this denunciation, this cruel chatter, overheard behind a door. He spared Renée nothing, neither the money which her husband had loaned her for usury, nor the money which he intended to steal from her, with the aid of ridiculous stories, good for putting children to sleep. The young woman listened to him, very pale, her lips tight. Standing in front of the fireplace, she lowered her head a little, she looked at the fire. Her night dress, that nightgown that Maxime had warmed up, parted, revealing the motionless whiteness of a statue.","Then he told her in his cowardly, cunning way what he had heard at Laure’s, taking secret pleasure at wallowing in such vileness. In his eyes he was inflicting revenge for whatever vague insult he had suffered. His crass character took rapturous delight in slander of this sort, in cruel gossip overheard from behind a curtain. He spared Renée nothing: neither the money her husband had lent her at usurious rates nor the sum he intended to steal from her with the help of ridiculous fairy tales fit only for putting children to sleep. Renée listened, looking quite livid, her lips pinched. Standing in front of the fireplace, she bowed her head slightly and gazed at the fire. Her night-dress, the chemise that Maxime had warmed at the hearth, fell open, revealing a whiteness as motionless as a statue.","He told her what he had heard at Laure’s, taking a secret delight in dwelling on these infamies. It seemed to him that he was taking his revenge for a vague insult he had received. His courtesan’s temperament lingered over this denunciation, over this cruel gossip about what he had heard behind a door. He spared Renée no detail, neither the money her husband had lent her nor what he meant to steal from her with the help of a few ridiculous fairy-tales. Renée listened, very pale. Standing before the fireplace, she lowered her head a little as she gazed into the fire. Her nightdress, which Maxime had warmed for her, opened out, revealing the motionless whiteness of a statue."
"Il était bonhomme, ce matin-là. Il finit par sourire et par murmurer en clignant les yeux :","He was a good man that morning. He ends up smiling and murmuring, blinking his eyes:","He was in a good mood that morning. He ended with a smile and a wink, whispering, “My dear, we speculators are like pretty women.",He was in a genial mood that morning. He ended by smiling and murmuring with a wink:
