Source,GoogleTranslate,human1,human2
- E a me la scuola mi fa venire i dolori di corpo. Ma da oggi in poi voglio mutar vita.,- And school gives me body aches. But from now on I want to change my life.,“And school gives me a stomachache. But from now on I’m going to change my life.”,". . ."" ""And school gives me pain all over my body. But from to-day I will change my life."""
Capitolo XXXIV,Chapter XXXIV,34,CHAPTER XXXIV
"Mangiate o, per dir meglio, divorate le tre pere, Pinocchio fece un lunghissimo sbadiglio e disse piagnucolando:","Eat or, to put it better, devour the three pears, Pinocchio gave a very long yawn and said whimpering:","Having eaten, or to put it a better way, devoured the three pears, Pinocchio yawned widely and said with a whine, “I’m still hungry!”","Having eaten, or rather having devoured the three pears, Pinocchio yawned tremendously, and then said in a fretful tone:"
"Pinocchio ci pensò un poco, e poi disse risolutamente:","Pinocchio thought for a while, and then said resolutely:","Pinocchio thought on this for a moment before replying firmly, “No, I don’t want to come.","Pinocchio reflected a moment, and then he said resolutely:"
- Conosco bene il tuo babbo.,- I know your dad well.,“I know your father well.”,"""I know your father well."""
Indovinate un po' di che cosa si accòrse?,Guess what he noticed?,"Well, can you guess what he noticed?",. . . Can you guess in the least what he discovered?
- Ma dunque - soggiunse Pinocchio - tu sei veramente sicuro che in quel paese non ci sono punte scuole?...,"`` So then, '' added Pinocchio, `` are you really sure that there are no schools in that country? ...","“But tell me,” Pinocchio said, “are you really sure that in that country there are no schools at all?”","""But now,"" continued Pinocchio, are you really certain that there are no schools in that country?"
- Sarà effetto dell'acqua del mare. Il mare ne fa di questi scherzi.,- It will be the effect of the sea water. The sea makes these jokes.,“The salt water must have done it. The sea plays funny tricks.”,"""It must have been the effect of sea-water. The sea makes extraordinary changes."""
- Deliziose queste sogliole!...,- These sole are delicious! ...,"Delectable, these sole!","""These soles are delicious! . . . """
Figuratevi la risatona impertinente e sgangherata di tutti quei ragazzi presenti alla scena.,Imagine the cheeky and rickety laugh of all those guys present at the scene.,"Imagine the mischievous, boisterous laughter of all those kids who were watching.",You can imagine the impertinent and immoderate laughter of all the boys who witnessed this scene.
"Pinocchio ha fame e cerca un uovo per farsi una frittata; ma sul più bello, la frittata gli vola via dalla finestra.","Pinocchio is hungry and looks for an egg to make an omelette; but at the best, the omelette flies out of the window.","MEANWHILE darkness had begun to fall, and Pinocchio, who hadn’t had a thing to eat, noticed a faint grumbling in his stomach, which felt exactly like appetite.",Pinocchio Is Hungry Pinocchio is hungry and searches for an egg to make himself an omelet; but just at the most interesting moment the omelet flies out of the window.
- Era in maniche di camicia e tremava dal freddo.,He was in shirt sleeves and shivering from the cold.,“He was in shirtsleeves and was shivering from the cold.”,"""He was in his shirt sleeves and shivering with cold."""
- Felicità! - disse Pinocchio.,- Happiness! said Pinocchio.,“Bless you!” said Pinocchio.,"""Bless you!"" said Pinocchio."
- E io l'ho provato! - disse Pinocchio. - Ma ora non ci ricasco più!,- And I've tried it! said Pinocchio. - But now I'm not going to do it again!,“As I know from experience!” said Pinocchio. “But I’ll never be guilty of such folly again!”,"""I have experienced that,"" said Pinocchio. ""But I shall never make that mistake again."""
"Giunto dinanzi a casa, trovò l'uscio di strada socchiuso. Lo spinse, entrò dentro, e appena ebbe messo tanto di paletto, si gettò a sedere per terra, lasciando andare un gran sospirone di contentezza.","Arriving in front of the house, he found the street door ajar. He pushed it, went inside, and as soon as he had put so much of the stake, he threw himself down on the ground, letting go a great sigh of contentment.","When he got back home, the front door was ajar. He pushed it open and went inside, and as soon as he had bolted the door behind him, he plopped down onto the floor with a great sigh of satisfaction.","Having arrived at the house he found the street door ajar. He pushed it open, went in, and having secured the latch threw himself seated on the ground and gave a great sigh of satisfaction."
"Dopo poco tornò: e quando tornò, aveva in mano l'Abbecedario per il figliuolo, ma la casacca non l'aveva più. Il pover'uomo era in maniche di camicia, e fuori nevicava.","After a while he returned: and when he returned, he was holding the Abbecedario for his son, but he no longer had the coat. The poor man was in shirt sleeves, and it was snowing outside.","He soon returned, and when he came in the door he had his son’s spelling book in his hands, but no coat. The poor man was in shirtsleeves, though it was snowing outside.","He returned shortly, holding in his hand a Spelling-book for Pinocchio, but the old coat was gone. The poor man was in his shirt sleeves, and out of doors it was snowing."
