id,source,translation
1,"Tufts of cloud burned black before the sunrise, the horizon littered with the flotsam of old and rusted silhouettes. They were alone. Chemtrails, the farmer had said to Alec, early on their walk. Other than this, he had been silent.",日の出前には黒く燃える雲の房があり、地平線には古く錆びついたシルエットの漂流物が散らばっていた。 彼らは一人きりだった。 ケムトレイル、農場主はアレックに言った、彼らの散歩の初めに。 これ以外は、彼は黙っていた。
2,"Fifty feet away, the field gave way to freshly tilled brown soil, forming mounds everywhere on the uneven earth. Chalky rocks littered the plot in every direction. Each step in this place was as muddy and wet as the last. Further still, a thin metal fence marked the edge of the land, clots of wool decorating the wire like fairy lights where the sheep had once tried to break through.",五十フィート先では、畑は新しく耕された茶色の土地に変わり、不均一な地面にあちこちに丘が形成された。 チョーク岩があらゆる方向に散らばっていた。 この場所の一歩一歩は、最後のものと同じくらいどろどろで濡れていた。 さらに、薄い金属製のフェンスがその土地の境界を示しており、羊たちがかつて破ろうとした場所には羊毛の塊が飾られたワイヤーがある。
3,"He swatted another fly away from his face. No, the farmer said. I'm a vegetarian. Really? My wife tried doing that a few years back, and. No, the farmer said, and the conversation died. The world was still dark, even if only for a little while. The sun was almost free. The day had almost begun.",彼はもう一匹のハエを顔から払った。 いいえ、農夫は言った。 私はベジタリアンです。 本当に？ 私の妻は数年前にそれを試みましたが、 いいえ、農場主は言った。そして会話は途絶えた。 世界はまだ暗かった、たとえそれがわずかな時間だけでも。 太陽はほぼ自由だった。 日はほぼ始まったところだった。
4,"They're selling up to live with family, so she says. I think I saw them in town a few times, Alec said. They were almost at the water tank, at the smile. Were they the ones who made those wagon wheels? They'd mix sausage meat into a kind of well, kind of cinnamon swirl, I suppose. It's delicious. Did you ever try one?",彼らは家族と一緒に暮らすために売り払っていると言います。 町で何度か見た気がする、アレックは言った。 彼らは水槽のほとり、微笑みの先にいた。 それらは、その荷車の車輪を作ったのですか？ 彼らはソーセージの肉を一種のウェル、一種のシナモンスワールに混ぜるだろうと思います。 おいしいです。 試したことがありますか？
5,"Jean's moving out, the farmer said. Did you know? Who? Jean. The lady who lives down the lane, the farmer said, frowning. She's moving out, selling up her farm. Oh yes, Jean. His voice drifted. I saw the sign. Alec had driven past it on the way here, a farm twice the size of this one, its animals and land and people in far better condition. He had not known the name. He knew few out here. One more reminder that he did not belong, he supposed.",ジャンは引っ越すんだ、農場主は言った。 知っていましたか？ 誰？ ジャン。 その畦道に住む女性、農夫が眉をひそめて言った。 彼女は引っ越して、農場を売り払うつもりだ。 ええ、ジャン。 彼の声が遠ざかった。 その標識を見ました。 アレックはここへ来る途中でそれを通り過ぎた。この農場の2倍の広さがあり、そこにいる動物や土地、人々ははるかに良好な状態だった。 彼はその名前を知らなかった。 彼はここでほとんど知り合いがいなかった。 自分がそこに属していないということを思い知らされる一つのリマインダーだろう、彼は考えた。
6,"He gestured past a large, half-empty water tank around two hundred feet away, its translucent plastic grown stained with time, the smear of a smile where fluid had lapped within. We found them near there. His face fell. Alec checked his watch. 7.06 a.m. The sun would soon rise. They kept on, the silence drowned out by the buzzing of the flies and the distant hellos of scraggly sheep out there in the semi-darkness.",彼は、約200フィート先にある大きな、半分しか水の入っていない水槽を指差した。その半透明のプラスチックは時間とともに汚れがついており、液体が触れた部分に微笑みの跡が残っていた。 私たちは近くでそれらを見つけました。 彼の顔は沈んだ。 アレックは時計を確認した。 7時06分。 もうすぐ太陽が昇るだろう。 彼らは続けた、沈黙はハエの羽音や、遠くの薄暗いところで羊たちが発するかすれた声にかき消されていた。
7,"Alec grimaced. He stepped back, tensing before rushing over the ditch. He came down with a thud, right into the thick and gelatinous mud. He splattered his black trouser legs and the farmer's jeans. The other man tutted, smiling. What have we come to, eh? Alec brushed at the muck around his ankles, but this only spread it further. His palms grew filthy. The farmer walked on.",アレックはしかめっ面をした。 彼は後ろに下がり、溝を飛び越える前に身構えた。 彼はドシンと音を立てて、厚くてゼラチン質の泥の中に直接落ちた。 彼は自分の黒いズボン脚と農家のジーンズを汚してしまった。 もう一人の男は舌打ちをして笑った。 我々はいったい何になってしまったんだ？ アレックは足首周りの汚れを払おうとしたが、それはかえって広がるだけであった。 彼の手は汚れてきた。 農場主は歩いて進んだ。
8,"Alec stared at the mud, and the farmer grinned, his cheeks ruddy beneath his dirty white beard. With that thick wax coat and that gut and that voice, he could have been a lunatic Santa Claus. You won't fall, he said. Not afraid of a little dirt, are you, Sergeant Nichols? No. Yes. I just hope you aren't wasting my time. And these flies. Alec swatted one away from his rolled-up sleeve, a great bulbous thing that had nestled on the hairs of his forearm. He was food for this whole place. Try covering up next time, the farmer said.",アレックは泥を見つめ、農夫はにっこり笑いながら、汚れた白いひげの下で赤らんだ頬をしていた。 その分厚い蝋のコートとおなか、そして声を持っている彼は、気違いサンタクロースかもしれない。 落ちないよ、と彼は言った。 少しの汚れなんて怖くないですよね、ニコルズ軍曹？ いいえ。 はい。 私はただ、あなたが私の時間を無駄にしていないことを願っています。 そしてこれらのハエ。 アレックは腕を丸めた袖から片手で叩き、腕の毛にぴったりくっついていた巨大な球状のものを払った。 彼はこの場所全体の食糧であった。 次回は隠れてみて。農場主が言った。
9,"Where are they? Alec asked, shivering. It was 6.55 a.m. He'd left his jacket in his patrol car. There weren't any sheep over here, the farmer said, ignoring the question. He leapt over the bank, his boots slipping slightly on the incline. They normally love coming over here.",彼らはどこにいますか？ アレックは震えながら尋ねた。 午前6時55分でした。 彼はパトカーにジャケットを忘れてきていた。 こちらには羊はいません、農場主は質問を無視して言った。 彼は土手を飛び越え、傾斜で少し滑りながらブーツを履いた。 彼らは普通、ここに来るのが大好きだ。
10,"And now their torches revealed the edge of a bank, right before the crest of a shallow stream that cut through the farmer's reclaimed marshland. Along its muddy edge and all around, the reeds sang with flies and crickets and buntings.",そして今、彼らのトーチは銀行の縁を明らかにし、農夫が回収した湿地を横切っていた浅い川の丘のすぐ手前だとわかった。 その泥だらけの縁と周囲では、葦がハエやコオロギ、そしてナナの鳴き声で歌っていた。
