id,source,translation
1,"Celui qui est sous ma joue est un manuscrit d'amour : c'est l'histoire d'un mec qui rencontre une fille mais il est marié et elle a un copain. J'en ai lu sept pages et je le connais déjà par cœur. Rien ne pourra me surprendre. Depuis des lunes, je ne lis plus, je relis. La même vieille bouillie dont on fait des « nouveautés », des saisons, des rentrées « littéraires », des succès, des bides, des bides. Du papier qu'on recycle, des camions qui partent le matin et qui rentrent le soir, bourrés de nouveautés déjà hors d'âge.",私の頬の下にあるものは愛の手稿です：それは既婚者である男が女性と出会う物語、しかしその女性には彼氏がいました。 7ページ読んだだけで、すでに心の中に刻まれています。 何も私を驚かせることはできません。 何ヶ月も前から、私はもう読むことがなく、再読している。 「新作」や「シーズン」、「文学の秋」、「大ヒット」、「フロップ」、「フロップ」といったものを作るのに使う、いつも同じ古いグチャグチャ。 リサイクルされる紙、朝出発し夕方には帰ってくるトラック、それらは既に時代遅れの新製品で一杯です。
2,"Depuis combien d'années ai-je arrêté de sauter de joie à l'idée que j'allais découvrir un chef-d'œuvre et rentrer au bureau le lundi en étant un homme neuf? Vingt ans? Trente ans? Je n'aime pas tenir ce genre de compte qui sent la mort. Si je ferme les yeux je vois la lueur jaune uniforme de la lampe de Perzel à travers mes paupières et puis des formes noires l'envahissent, construisant des ruines mouvantes, des dessins de Victor Hugo. Mon souffle ralentit, mon cœur se calme un peu, je pourrais m'endormir, mourir. Mourir à l'attache. On dirait : « Il est mort comme il a vécu, parmi les livres, en lisant! » et, en vérité, je serais mort en rêvant à rien. Il y a bien bien longtemps que je ne lis plus vraiment. Est-ce que je sais seulement encore lire ce qui s'appelle lire? En suis-je seulement capable? Si je tourne la tête sur le côté, mon cœur cogne davantage et fait trembler le bois.",何年も前に、私は新たな傑作を発見する喜びや、月曜日に新しい人間としてオフィスに戻るという思いで飛び上がることを止めてしまったのか？ 二十歳？ 30歳ですか？ 私は死を感じさせるこの種の記録を保つのが好きではありません。 目を閉じると、まず均一な黄色い光が見える、それはペルゼルのランプの光だ。そして黒い形がその光を侵食し、動く廃墟を作り出したり、ヴィクトール・ユーゴーのスケッチを作り出したりする。 息がゆっくりとなり、心臓の鼓動も少し落ち着いてきた。私は眠ることができる、死ぬことさえできる。 繋がれたまま死ぬ。 「彼は読書に生き、本の中で息を引き取った」なんて言われるだろう。しかし、本当に言うと、私は何も考えずに死んでいただろう。 もうかなり長い間、私は本当に読書をしていません。 もはや私が読むことを「読む」と言えるのだろうか？ 私にそれができるのでしょうか？ 頭を横に向けると、心臓の鼓動が強くなり、木材が震える。
3,"La maison est plongée tout entière dans un silence de vieux papier. Comme la neige, les livres mangent les bruits. Mon métier a son odeur et ses étouffements. Je le respire encore mieux dans ce silence. Retourner au bruit du monde est toujours une épreuve.",家全体が古い紙のような静寂に包まれている。 雪のように、本は音を飲み込む。 私の仕事には特有の匂いと息苦しさがあります。 この静寂の中でさらにはっきりと彼の存在を感じる。 世界の騒音に戻ることは常に試練です。
4,"Qui peut bien frapper? Je ne reconnais pas cette frappe légère, petite, discrète. Petite main. Entrez. Elle entre. Je ne l'ai jamais vue. J'ai aussitôt une bouffée de nostalgie, la nostalgie du temps où la maison était encore si petite que je reconnaissais toutes les filles par leurs mollets dans les couloirs. Elle a une bonne tête. Vu son regard étonné, la mienne doit être un rien froissée. Des marques rouges de la manche de ma veste sur ma joue, sans doute.",誰がドアを叩いているのだろう？ この軽く、小さく、控えめな打撃は認識できません。 小さな手。 入ってください。 彼女が入ってくる。 彼女を見たことがありません。 その瞬間、私は懐かしさに心を奪われた。家がまだ小さく、廊下で女の子たちのすねを見ただけで誰だか分かるような日々に思いを馳せたのだ。 彼女は良い顔立ちをしています。 彼の驚いた顔を見て、私の表情は少し不機嫌に見えたに違いない。 多分、私の頬にはジャケットの袖からついた赤い跡があるんだ。
5,"Je vous dérange? Je survivrai à votre passage, Mademoiselle. Qui êtes-vous? Ben, je suis la stagiaire! Dans quel service? On ne me l'a pas dit. Vous savez, nous les stagiaires, on abat tellement de boulot qu'on a intérêt à être polyvalents. Vous voulez une augmentation? Non, je ne gagne rien.",邪魔していますか？ あなたが去った後も生きていくでしょう、お嬢さん。 あなたは誰ですか？ ええ、私はインターンです！ どの部門でしょうか？ 私には言われていません。 あなたが知っている通り、私たちインターンは仕事をやり遂げるために多才であることが求められます。 昇給を望んでいますか？ いいえ、私は何も得ていません。
6,"Elle est assez décoiffée, me semble-t-il, trouée au jean, colorée du reste. Elle est petite, elle a le regard noir, elle est sympathique, mais je serais bien en peine de dire si elle est jolie. Je ne sais plus lire ces filles-là non plus. Elle est vive. Normale Sup? Métiers du livre la machine à fabriquer mille Gaston Gallimard par an pour mieux les broyer ensuite?",彼女はかなり髪が乱れているように見えますね、ジーンズも破れていて、他の部分もカラフルです。 彼女は小柄で、黒い眼差しを持っています。親しみやすいが、彼女が美しいかどうかを私が言うのは難しいです。 もう、そういう女の子たちを理解できない。 彼女は活発です。 ノルマルシュプリウール？ 本の仕事は、毎年1000冊のギャストン・ガリマールを製造し、その後で更に精錬するための機械なのか？
7,"Alors qu'est-ce que vous faites ici? J'aime bien les livres aussi! Et puis il y avait une place. On doit faire un stage en entreprise. Obligatoire. Et qu'est-ce que vous faites dans mon bureau, si ce n'est pas indiscret? C'est monsieur Meunier, le grand patron, qui m'a dit de. Le grand patron? Meunier? Vous ne le connaissez pas? Trop bien.",それでは、あなたはここで何をしているのですか？ 私も本が大好きです！ そして、そこには広場があった。 私たちは企業でのインターンシップをする必要があります。 義務的な。 それは失礼でなければ、あなたが私のオフィスで何をしているのですか？ それはムニエ氏、大物のボス、が私に言ったのです。 大ボス？ミュニエ？ あなた、彼のことを知らないのですか？ 良すぎます。
8,"Non, gestion d'entreprises culturelles. Vraiment? Et vous voulez gérer l'édition? Je vous souhaite bonne chance. Je préférerais organiser des concerts. Asseyez-vous. Il faut que j'y aille, c'est vendredi. Il est tard. Cinq minutes. Vous voulez organiser des concerts? Oui, c'est bien, la musique.",いえ、それは文化事業の運営です。 本当ですか？そして、あなたは版を管理したいですか？ 幸運を祈ります。 コンサートを主催する方がいいです。 座ってください。 私は行かなければなりません、今日は金曜日です。 遅いです。 五分。 コンサートを開催したいのですか？ はい、音楽は素晴らしいですね。
9,"Longtemps j'ai croisé les pieds dessus pour un peu de détente, d'élévation, pour un peu plus de sang au cerveau, maintenant, il m'arrive de plus en plus souvent d'y poser la tête, surtout le soir, surtout le vendredi soir. Je croise les bras sur le manuscrit ouvert et je pose ma tête dessus, le front sur l'avant-bras et la joue sur le texte frais. Le bois du bureau amplifie les battements de mon cœur. Le vieux mobilier Art déco conduit bien les émotions et les fatigues. Ruhlman? Leleu? Il en a tant vu. J'écoute mon cœur, mon vieux cœur du vendredi, mon vieux cœur dans le silence de la maison. À cette heure, tout le monde est parti, je reste seul à bord, rincé, parce que je n'ai pas le courage de dresser la tour des manuscrits que je dois emporter pour le week-end. Comme chaque vendredi.",長い間、私はその上で足を組み、少しのリラクゼーションや心地よさを求め、脳への血流を増やすために使ってきました。しかし最近では、頻繁に頭を寝かせることがあります。特に夜間や金曜日の夕方などです。 開かれた原稿に腕を交差させ、その上に頭を置く。前腕に額をつけて、ほぼ新鮮なテキストのうえに頬を置く。 机の木が私の心臓の鼓動を増幅させている。 古いアールデコ調の家具は、感情や疲労をうまく伝えます。 ルールマン？ ルル？ 彼はたくさんのことを見てきました。 私は自分の心、金曜日の古い心、家の静けさの中でうなる古い心を聞く。 この時間になるとみんな帰ってしまい、私だけが船に残ります。それは週末を過ごすために持って行くべき手稿の山を立てる勇気がないからです。 毎週金曜日のように。
10,"Alors vous savez. C'est lui qui m'a dit de vous apporter ça. Et qu'est-ce que c'est, ça? Ben, c'est une liseuse, un eBook, un iPad, je ne sais pas, moi. Il m'a dit qu'il avait mis tous vos manuscrits dedans pour le week-end et que ça vous ferait moins lourd. Vous voulez que je vous explique? Regardez, c'est comme un écran avec tous vos manuscrits dessus. Ils sont sur l'étagère virtuelle en faux-vrai bois. Vous les touchez et ils s'ouvrent. Il y en a un paquet. Vous n'allez jamais lire tout ça en deux jours! Regardez, le texte s'ouvre.",それならあなたは知っています。 彼が私にこれをあなたに渡すように言ったんです。 それは何ですか？ それは、電子書籍リーダーだよ、電子書籍だったり、iPadだったり。わからないけどさ。 彼は、週末の間、あなたのすべての原稿をそこに入れ、それがあなたを少し軽くするだろうと言っていました。 説明しましょうか？ 見てください、それはあなたの全ての原稿が表示されるスクリーンのようなものです。 彼らは仮想の棚、偽の本物の木にいます。 あなたがそれらに触れると、それらは開きます。 一パックあります。 あなたがそれ全てを２日間で読み終えるなんてあり得ません！ 見てください、テキストが開きます。
