id,source,translation
1,"– Nie wyjdzie stamtąd, mówię wam – powiedział pryszczaty, z przekonaniem kiwając głową. – Już godzina i ćwierć, jak tam wlazł. Już po nim. Mieszczanie, stłoczeni wśród ruin, milczeli wpatrzeni w ziejący w rumowisku czarny otwór, w zagruzowane wejście do podziemi. Grubas w żółtym kubraku przestąpił z nogi na nogę, chrząknął, zdjął z głowy wymięty beret.",「もう出てきそうにないな、どう見ても」あばた顔の男が確信に満ちた顔で首を振った。「やつがあそこに下りてから一時間と十五分。終わったな」 廃墟のなかで町の人々が肩を寄せ合い、残骸のなかにぼっかり空いた黒い穴一がれきが散らばる開口部一を無言で見ていた。黄色い袖なし胴着を着た太った男が左右に足踏みしながら咳払いし、しわくちゃの法冠を脱いで、まばらな眉の汗をぬぐった。
2,"– Poczekajmy jeszcze – powiedział, ocierając pot z rzadkich brwi. – Na co? – prychnął pryszczaty. – Tam, w lochach, siedzi bazyliszek, zapomnieliście, wójcie? Kto tam wchodzi, ten już przepadł. Mało to ludzi tam poginęło? Na co tedy czekać? – Umawialiśmy się przecie – mruknął niepewnie grubas. – Jakże tak? – Z żywym się umawialiście, wójcie – rzekł towarzysz pryszczatego, olbrzym w skórzanym, rzeźnickim fartuchu. – A nynie on martwy, pewne to jak słońce na niebie. Z góry było wiadomo, że na zgubę idzie, jako i inni przed nim. Przecie on nawet bez zwierciadła polazł, z mieczem tylko. A bez zwierciadła bazyliszka nie da się zabić, każdy to wie.",「もう少し待とう」 「なんのために?」あばた顔の男がうなるように言った。「忘れたか、町議よ、バシリスクがあそこの地下牢にひそんでるってことを。あそこに行って戻ってきた者はいない。まだ犠牲者が足りないか？何を待っことがある？」 「だが、われわれは契約を結んだ」太った町議はあきらめ悪くつぶやいた。「勝手に放棄するわけにはいかん」 「おれたちゃ、生きた人間と契約したんだ」あばた男の連れで、肉屋の革の前掛けをした大男が言った。「で、やつが死んだのは卵が卵であるくらいあきらかだ。あの男が、ほかのやつらと同じように死にに行ったのは最初からわかってた。しかもあいつは鏡も持たず、剣だけを持って。鏡がなけりやバシリスクは殺せない、誰だって知ってる」
3,"– Zaoszczędziliście grosza, wójcie – dodał pryszczaty. – Bo i płacić za bazyliszka nie ma komu. Idźcie tedy spokojnie do dom. A konia i dobytek czarownika my weźmiemy, żal dać przepadać dobru. – Ano – powiedział rzeźnik. – Sielna klacz, a i juki nieźle wypchane. Zajrzyjmy, co w środku. – Jakże tak? Coście? – Milczcie, wójcie, i nie mieszajcie się, bo guza złapiecie – ostrzegł pryszczaty. – Sielna klacz – powtórzył rzeźnik. – Zostaw tego konia w spokoju, kochasiu. Rzeźnik odwrócił się wolno w stronę obcego przybysza, który wyszedł zza załomu muru, zza pleców ludzi, zgromadzonych dookoła wejścia do lochu.",「一シリングも出さずにすんだな、町議」あばた男が言った。なににしろバシリスク代を払う相手はいない。だから安心して家に帰りやいい魔法使いの馬と荷物はもらっておくか。このまま捨ておくのはもったいない」 「まったくだ」肉屋が言った。 「がっしりした雌馬で、鞍袋もばんばんにふくらんでる。なかを見てみよう」 「それはだめだ。おまえたち、何をしている？」 「黙れ、町議、なぐられたくなかったらロ出しするな」あばた男がおどすように言った。 「がっしりした雌馬だ」肉屋が繰り返した。 「その馬に手を出すな」 その声に、肉屋は壁の奥から現れた男をゆっくり振り返り、人々が地下牢の人口のまわりに集まった。
4,"Obcy miał kędzierzawe, gęste, kasztanowate włosy, brunatną tunikę na watowanym kaftanie, wysokie, jeździeckie buty. I żadnej broni. – Odejdź od konia – powtórzył, uśmiechając się zjadliwie. – Jakże to? Cudzy koń, cudze juki, cudza własność, a ty podnosisz na nie swoje kaprawe oczka, wyciągasz ku nim parszywą łapę? Godzi się tak? Pryszczaty, powoli wsuwając rękę za pazuchę kurty, spojrzał na rzeźnika. Rzeźnik kiwnął głową, skinął w stronę grupy, z której wyszło jeszcze dwu, krępych, krótko ostrzyżonych. Obaj mieli pałki, takie, jakimi w rzeźni głuszy się zwierzęta.",見知らぬ男は豊かな栗色の巻き毛で、綿の入った上着に焦げ茶色のチュニックを重ね、長い乗馬プーツをはいていた。見たところ武器は持っていない。 「馬から離れよ」男はすごみのある笑みを浮かべて言った。「これはどういうことだ？きみたちは他人の馬、鞍袋、所持品からそのうるんだ小さい目を離せず、汚れた手袋で触れるのが待ちきれないようだな。それがしかるべき振る舞いか？」 あばた男が上着の下でゆっくり片手をすべらせ、肉屋に目配せした。肉屋がうなずき、人だかりのほうに合図すると、髪を短く刈りこんだ屈強そうな男が二人、前に出た。家畜を気絶させるときに使う、棍棒のようなものを持っている。
5,"– Ktoście to niby – spytał pryszczaty, nie wyjmując ręki zza pazuchy – żeby nam prawic, co się godzi, a co nie? – Nic ci do tego, kochasiu. – Broni nie nosicie. – Prawda – obcy uśmiechnął się jeszcze zjadliwiej. – Nie nosze. – To niedobrze – pryszczaty wyjął rękę zza pazuchy, razem z długim nożem. – To bardzo niedobrze, że nie nosicie. Rzeźnik też wyciągnął nóż, długi jak kordelas. Tamci dwaj postąpili do przodu, unosząc pałki. – Nie muszę nosić – rzekł obcy, nie ruszając się z miejsca. – Moja broń chodzi za mną.",「誰だ？」あばた男が片手を上着に入れたままたずねた。「おれたちに善悪を説いてきかせるのは」 「きみには関係ない」 「武器は持っていないようだな」 「いかにも」見知らぬ男の笑みがますますすごみを帯びた。「持っていない」 「それは気の毒だ」あばた男が上着から一長いナイフを握った一片手を出した。「武器がないとはじつに運が悪い」 肉屋も短剣ほどの長さのナイフを取り出した。屈強そうな二人が棍棒を構えて進み出た。 「わたしには必要ない」男はその場に立ったまま言った。「武器はあとからついてくル」
6,"Zza ruin wyszły, stąpając miękkim, pewnym krokiem, dwie młode dziewczyny. Tłumek natychmiast rozstąpił się, cofnął, przerzedził. Obie dziewczyny uśmiechały się, błyskając zębami, mrużąc oczy, od kącików których biegły ku uszom szerokie, sine pasy tatuażu. Mięśnie grały na mocnych udach widocznych spod rysich skór otaczających biodra, na nagich, krągłych ramionach powyżej rękawic z kolczej siatki. Sponad barków, też osłoniętych kolczugą, sterczały rękojeści szabel.",がれきの後ろから二人の若い女が柔らかい、確かな足取りで現れた。人だかりがさっと分かれ、あとずさり、まばらになった。 二人の女は歯をちらっと見せてにこと笑い、目を細めた。目じりから耳に走る、太い入れ墨。腰に巻いたヤマネコの皮の下からのぞく、筋肉質の力強い太もも。剥き出しのしなやかな腕には鎖かたびらの手袋をつけ、同じく鎖かたびらでおおわれた肩からはサーベルの柄が突き出ている。
7,"Pryszczaty wolno, wolniutko zgiął kolana, upuścił nóż na ziemie. Z dziury w rumowisku rozległ się grzechot kamieni, chrobot, po czym z ciemności wynurzyły się dłonie wczepione w poszczerbiony skraj muru. Za dłońmi pojawiły się kolejno – głowa o białych, przyprószonych ceglanym miałem włosach, blada twarz, rękojeść miecza, wystająca znad ramienia. Tłum zaszemrał.",あばた男はゆっくりと、とてもゆっくりと膝を曲げて地面にナイフを落とした。 がれきのあいだの穴から、石がぶつかり、こすれる音が響き、暗がりからぎざぎざの壁の縁にしがみつくふたつの手が現れた。両手に続いて、レンガ粉の筋が入った白髪の頭、青白い顔、肩から突き出た剣の柄が順に現れ、人だかりからつぶやきが洩れた。
8,"Białowłosy, garbiąc się, wytaszczył z dziury dziwaczny kształt, cudaczne cielsko, utytłane w pyle przesiąkniętym krwią. Dzierżąc stwora za długi, jaszczurczy ogon, rzucił go bez słowa pod nogi grubego wójta. Wójt odskoczył, potknął się o zwalony fragment muru, patrząc na zakrzywiony, ptasi dziób, błoniaste skrzydła i sierpowate szpony na pokrytych łuskami łapach. Na wydęte podgardle, kiedyś karminowe, obecnie brudnorude. Na szkliste, wpadnięte oczy.",白髪の男は下に手を伸ばし、穴から醜悪なもの一血染めの砂塵にまみれた不気味な塊一を引っぱりあげると、その長い爬虫類の尾をつかみ、太った町議の足もとに無言で放り投げた。町議は崩れた壁の破片につまずきながら飛びすさり、鳥のように湾曲したくちばしと、水かきのような膜のある翼と、鱗におおわれた足の曲がった鉤爪を見た。かっては深紅で、いまは薄汚れた茶褐色のふくらんだ喉袋を。くばんだ、うつろな目を。
9,"– Oto bazyliszek – rzekł białowłosy, otrzepując spodnie z kurzu. – Zgodnie z umową. Moje dwieście lintarów, jeśli łaska. Uczciwych lintarów, mało oberżniętych. Sprawdzę, uprzedzam. Wójt drżącymi dłońmi wysupłał sakiewkę. Białowłosy rozejrzał się, na moment zatrzymał wzrok na pryszczatym, na leżącym koło jego stopy nożu. Popatrzył na mężczyznę w brunatnej tunice, na dziewczyny w rysich skórach.",「頼まれたバシリスクだ」白髪の男はそう言ってズボンから土ぼこりをはたいた。 「約束どおり。報酬は二百リンター。欠けたのではなく、まともなリンター硬貨で頼む。ちゃんと確かめるからな」 町議は震える手で金袋を取り出した。白髪の男はあたりを見まわし、あばた男と、その足もとに横たわるナイフに一瞬、目をとめた。それから焦げ茶色のチュニックの男と、ヤマネコの皮をまとった二人の若い女を見た。
10,"– Jak zwykle – powiedział, wyjmując trzos z rozdygotanych rąk wójta. – Nadstawiam dla was karku za marny pieniądz, a wy tymczasem dobieracie się do moich rzeczy. Nigdy się, zaraza z wami, nie zmienicie. – Nie ruszone – zamamrotał rzeźnik, cofając się. Tamci z pałkami już dawno wtopili się w tłum. – Nie ruszone wasze rzeczy, panie. – Wielcem rad – białowłosy uśmiechnął się. Na widok tego uśmiechu, kwitnącego na bladej twarzy jak pękająca rana, tłumek zaczął się szybko rozpraszać. – I dlatego, bratku, ty też nie będziesz ruszony. Odejdź w pokoju. Ale odejdź prędko.",「いつものことだが」白髪の男は町議の震える手から袋を受け取り、「おれがわずかな報酬で命を懸けているあいだ、おまえたちは人の物に手をつけようとする。相も変わらずろくでなしばかりだ」 「まださわっちゃいない」肉屋があとずさりながらつぶやいた。棍棒を持った男二人はとうに人ごみにまぎれこんでいた。「誰もあんたの物に手をつけちゃいない、だんな」 「それはよかった」白髪の男がほほえんだ。青白い顔に傷口のような笑みが広がるのを見て、わずかな人だかりはたちまちちりぢりになった。「それならば、友よ、あんたも触れられずにすむ。安心しろ。だが、急いだほうが身のためだ」
