id,source,translation
1,ミホとサツキは地元で頻繁に会っているせいか、そっくりな表情と喋り方をしている。特にお菓子の食べ方が似ていて、二人ともネイルを施した手でクッキーを小さく割りながら口に運んでいる。前からそうだったろうか、と思いだそうとするが、記憶が曖昧だ。前に会ったときの二人の小さな癖や仕草は、もうどこかへ流れ出て行ってしまったのかもしれないとも思う。,"Miho and Satsuki frequently meet in the local area, which seems to have led them to have similar expressions and ways of speaking. Both of them eat sweets in a similar way, breaking cookies into small pieces with manicured nails and putting them in their mouths. I try to recall if it had been like that from the start, but my memory is vague. The small quirks and gestures of the two of us from when we met before might have already washed away somewhere."
2,ミホは、今では結婚して地元に中古の一戸建てを買っていて、そこに友達がよく集まっている。明日もアルバイトなので億劫に思う時もあるが、コンビニ以外の世界との唯一の接点であり、同い年の「普通の三十代女性」と交流する貴重な機会なので、ミホの誘いにはなるべく応じるようにしている。今日も、ミホと、まだ小さい子供を連れたユカリ、結婚しているが子供はまだのサツキと私、というメンバーで、ミホの家にケーキを持ち寄ってお茶をしていた。,"Miho, who is now married, has bought a second-hand detached house in her hometown, where her friends often gather. I have part-time work again tomorrow, so there are times when I feel reluctant. However, it is the only contact I have with the world outside of convenience stores and a valuable opportunity to interact with women of my age group, so I try to accept Miho's invitations as much as possible. Today as well, with Miho, Yukari who had her small child with her, Setsuki who is married but doesn't have children yet, and myself, we gathered at Miho's house bringing a cake and had tea."
3,そのとき、私は、初めて、世界の部品になることができたのだった。私は、今、自分が生まれたと思った。世界の正常な部品としての私が、この日、確かに誕生したのだった。,"At that moment, for the first time, I was able to be a part of the world. I now felt as if I had been born. On this day, a truly normal part of the world was born in me."
4,オープンまでの二週間、二人組になったり、社員を相手にしながら、架空の客に向かって、ひたすら練習が続いた。「お客様」の目を見て微笑んで一礼すること、生理用品は紙袋に入れること、温かい物は冷たい物と分けて入れること、ファーストフードを頼まれたら手をアルコールで消毒すること。お金に慣れるためにとレジの中には本物のお金が入っていたが、レシートには「トレーニング」と大きく印字されていたし、相手は同じ制服を着たアルバイト仲間だし、なんとなくお買いものごっこをしているようだった。,"For the two weeks leading up to the opening, we formed pairs, practiced earnestly facing imaginary customers, and interacted with our colleagues. Making eye contact with the customer, smiling, and bowing, putting sanitary products in a paper bag, separating warm items from cold items, disinfecting hands with alcohol if asked to handle fast food. In order to get accustomed to handling money, there was real money in the cash register, but on the receipt, ""Training"" was printed prominently. The person on the other side was a part-time job colleague in the same uniform, so it felt like we were just playing at shopping."
5,二つ年下の妹は、私と違って、「普通」の子どもだった、かといって私を敬遠するわけでもなく、むしろ慕ってくれていた。妹が私と異なり普通のことで母に叱られているとき、母に私は近づいて「どうして怒っているの？」と理由を尋ねた。私が母に質問したせいでお説教が終わると、庇かばわれたと思うのか、妹はいつも私に「ありがとう」と言った。お菓子や玩具にあまり興味がなかった私は、それらを妹にあげることも多かった。そのため、妹はいつも私についてまわっていた。,"My younger sister, two years younger than me, was a ""normal"" child unlike me. Not that she avoided me or anything, rather she adored me. When my sister was being scolded by our mother for something normal unlike me, I approached my mother and asked, ""Why are you angry?"" to find out the reason. After the sermon ended, because of my questioning, my sister always said ""thank you"" to me as if she felt protected. I, who wasn't very interested in sweets or toys, often gave them to my younger sister. Because of that, my younger sister was always following me around."
6,「お父さん、焼き鳥好きだから、今日、これを焼いて食べよう」 良く聞こえなかったのだろうかと、はっきりとした発音で繰り返すと、母はぎょっとし、隣にいた他の子のお母さんも驚いたのか、目と鼻の穴と口が一斉にがばりと開いた。変な顔だったので笑いそうになったが、その人が私の手元を凝視しているのを見て、そうか、一羽じゃ足りないなと思った。 「もっととってきたほうがいい？」 近くで二、三羽並んで歩いている雀にちらりと視線をやると、やっと我に返った母が、「恵子！」ととがめるような声で、必死に叫んだ。 「小鳥さんはね、お墓をつくって埋めてあげよう。ほら、皆も泣いてるよ。お友達が死んじゃって寂しいね。ね、かわいそうでしょう？」 「なんで？ せっかく死んでるのに」 私の疑問に、母は絶句した。,"""Dad, since you like yakitori, let's grill and eat this today."" Perhaps she didn't hear well, so I repeated it clearly. My mother was startled, and the other mother next to us seemed surprised too - her eyes, nose holes, and mouth all opened wide at once."" Their strange face made me almost burst out laughing, but when I saw them staring closely at my hands, I realized, ""Oh, one bird alone won't be enough."" ""Do you think we should get more?"" Glancing at the sparrows walking in pairs nearby, my mother finally came to her senses and desperately shouted, ""Keiko!"" in a reprimanding tone. ""The little bird will make a grave and bury it."" Look, everyone is crying too. Your friend passed away and it must be lonely. ""Isn't it pitiful?"" ""Why? Even though he went through the trouble of dying,"" my mother was speechless at my question."
7,缶コーヒーと煙草とアメリカンドックを手早くＳサイズの袋に入れる。その間、ポケットの中の小銭を鳴らしていた男性が、ふと思いついたように胸ポケットに手を入れる。その仕草から、電子マネーで支払をするのだなと咄嗟に判断する。,"I quickly put canned coffee, cigarettes, and an American hot dog into a small-sized bag. During that time, the man who had been jingling the coins in his pocket suddenly put his hand in his chest pocket as if struck by a thought. I instantly recognized from that gesture that they intended to pay using electronic money."
8,「いらっしゃいませ、おはようございます！」 軽い会釈をして、男性客が差し出した缶コーヒーを受け取る。 「あー、あと煙草の５番を一つ」 「かしこまりました」 すばやくマルボロライトメンソールを抜き取り、レジでスキャンする。 「年齢確認のタッチをお願いします」 画面をタッチしながら、男性の目線がファーストフードが並んだショーケースにすっと移ったのを見て、指の動きを止める。「何かおとりしますか？」と声をかけてもいいが、客が買うかどうか悩んでいるように見えるときは、一歩引いて待つことにしている。,"""Welcome, good morning!"" With a slight bow, the male customer accepted the canned coffee offered to him. ""Oh, and also one pack of number 5 cigarettes."" ""Certainly."" The cashier briskly took out the Marlboro Light Menthol pack and scanned it at the register. ""Please touch for age verification."" While touching the screen, he saw the male gaze smoothly shift to the showcase lined with fast food, and stopped his fingers from moving. ""May I assist you with something?"" It's okay to ask, but when the customer seems to be hesitant about making a purchase, I take a step back and wait."
9,チャリ、という微かな小銭の音に反応して振り向き、レジのほうへと視線をやる。掌やポケットの中で小銭を鳴らしている人は、煙草か新聞をさっと買って帰ろうとしている人が多いので、お金の音には敏感だ。案の定、缶コーヒーを片手に持ち、もう片方の手をポケットに突っ込んだままレジに近付いている男性がいた。素早く店内を移動してレジカウンターの中に身体をすべりこませ、客を待たせないように中に立って待機する。,"Turning at the faint sound of coins jangling, I glanced towards the cash register. People who jingle coins in their palms or pockets are often sensitive to the sound of money, as they are likely to be individuals who are quickly buying cigarettes or newspapers and heading home. As expected, there was a man approaching the cash register with a can of coffee in one hand and the other hand in his pocket. I move quickly inside the shop, slide my body into the cashier counter area, and stand inside to wait without keeping customers waiting."
10,コンビニエンスストアは、音で満ちている。客が入ってくるチャイムの音に、店内を流れる有線放送で新商品を宣伝するアイドルの声。店員の掛け声に、バーコードをスキャンする音。かごに物を入れる音、パンの袋が握られる音に、店内を歩き回るヒールの音。全てが混ざり合い、「コンビニの音」になって、私の鼓膜にずっと触れている。,"The convenience store is filled with noise. The sound of the chime as customers entered, along with the voice of an idol promoting new products on the background music playing in the shop. The sound of the barcode being scanned in response to the shop assistant's call. Sound of items being placed in baskets, the rustle of a bread bag being grabbed, and the click-clack of heels moving around inside the store. Everything mixes together and becomes the ""sound of the convenience store,"" continuously touching my eardrums."
