id,source,translation,alignments
1,"Celui qui est sous ma joue est un manuscrit d’amour : c’est l’histoire d’un mec qui rencontre une fille mais il est marié et elle a un copain… J’en ai lu sept pages et je le connais déjà par cœur. Rien ne pourra me surprendre. Depuis des lunes, je ne lis plus, je relis. La même vieille bouillie dont on fait des « nouveautés », des saisons, des rentrées « littéraires », des succès, des bides, des bides. Du papier qu’on recycle, des camions qui partent le matin et qui rentrent le soir, bourrés de nouveautés déjà hors d’âge.",私の下頬の下にあるのは、愛の物語の手書き原稿だ。それは、男が女に出会う物語だが、彼は既に結婚していて、彼女も彼氏がいる……。私はその七ページを読んだが、もう心から覚えている。何も驚かせるものはない。月日が経つうちに、私はもう新しいものを読むのではなく、古いものを改めて読んでいる。「新しいもの」として、季節や新学期、文学的な「成功」や「失敗」として、何度も何度も取り上げられる古いものだ。朝に出て、夜に帰ってくるトラックは、すでに時代遅れの「新しいもの」でいっぱいだ。,3-5 4-1 5-3 6-4 7-7 9-16 10-10 12-9 14-19 19-26 23-21 25-25 27-23 28-28 29-29 31-31 33-33 34-34 35-37 37-36 40-40 44-45 45-42 46-43 47-47 51-30 53-49 54-53 55-54 60-57 61-60 64-61 65-67 66-68 68-72 70-69 71-74 74-79 78-107 87-93 88-81 89-82 90-95 93-86 95-90 97-89 100-91 102-92 106-94 115-109 125-118 134-116 135-117 136-115 137-114 141-130 144-127 145-121 147-124 149-122 150-132
2,"Depuis combien d’années ai-je arrêté de sauter de joie à l’idée que j’allais découvrir un chef-d’œuvre et rentrer au bureau le lundi en étant un homme neuf ? Vingt ans ? Trente ans ? Je n’aime pas tenir ce genre de compte qui sent la mort. Si je ferme les yeux je vois la lueur jaune uniforme de la lampe de Perzel à travers mes paupières et puis des formes noires l’envahissent, construisant des ruines mouvantes, des dessins de Victor Hugo. Mon souffle ralentit, mon cœur se calme un peu, je pourrais m’endormir, mourir. Mourir à l’attache. On dirait : « Il est mort comme il a vécu, parmi les livres, en lisant ! » et, en vérité, je serais mort en rêvant à rien. Il y a bien bien longtemps que je ne lis plus vraiment. Est-ce que je sais seulement encore lire – ce qui s’appelle lire ? En suis-je seulement capable ? Si je tourne la tête sur le côté, mon cœur cogne davantage et fait trembler le bois…",何年前からだろう、私は素晴らしい作品を発見して、月曜日に新しい人間としてオフィスに戻るという考えによって喜びを跳ね上げることをやめてしまったのだろうか。二十年か三十年か。死を感じさせるようなこのような計算をしたくはない。目を閉じると、パーゼルの灯りの黄色い均一な光が瞼を通して見え、そして黒い形がそれを侵食し、動く廃墟やヴィクトル・ユーゴーの絵を築きあげる。息が落ち着き、心臓が少し落ち着いて、私は眠り込むことができ、死ぬことができる。縛られて死ぬ。「彼は本を読みながら、本の中で生きて死んだ」と言われるだろう。実際には、何も考えずに眠りについて死んだのだ。私は本当に本を読んでいるのか、ということをもう知らない。もう読むことができるのか、ということを知っているのか。首を横に振ると、心臓がより強く鼓動して、木を震わせる……,0-3 1-1 4-2 8-6 10-32 11-9 13-21 15-25 19-23 25-10 28-92 32-11 33-20 35-19 41-17 42-16 44-36 46-37 48-39 50-40 53-51 57-49 58-47 61-48 63-44 65-43 66-52 69-54 71-53 73-72 81-60 82-61 83-95 85-58 88-71 92-70 93-74 96-77 97-75 99-79 102-81 104-83 105-99 108-86 115-97 118-89 120-102 122-103 124-114 125-115 126-108 128-110 130-105 132-112 133-116 134-117 135-125 145-126 152-159 154-144 157-131 158-132 160-156 164-140 166-139 168-162 169-137 171-171 172-154 174-143 178-147 179-149 180-160 188-150 202-161 211-170 230-183 234-180 235-182 236-181 237-185 240-192 242-189 243-193 245-197 248-195 249-200
3,"La maison est plongée tout entière dans un silence de vieux papier. Comme la neige, les livres mangent les bruits. Mon métier a son odeur et ses étouffements. Je le respire encore mieux dans ce silence. Retourner au bruit du monde est toujours une épreuve.",家はいっせいに古い紙の静けさに包まれている。雪のように、本は音を食べてしまう。私の仕事には香りと窒息がある。この静けさの中で、それをより深く感じることができる。世界の騒音に戻るのはいつも試練である。,1-1 3-13 5-15 9-12 11-9 13-6 14-7 15-16 16-18 19-17 20-19 22-20 23-23 24-24 26-22 27-8 28-25 29-26 30-27 34-29 35-30 38-31 40-32 41-34 43-41 45-44 46-42 48-39 49-35 51-46 52-51 54-52 56-50 57-48 58-47 59-56 60-53 62-54 63-55 64-57
4,"Qui peut bien frapper ? Je ne reconnais pas cette frappe légère, petite, discrète. Petite main. – Entrez. Elle entre. Je ne l’ai jamais vue. J’ai aussitôt une bouffée de nostalgie, la nostalgie du temps où la maison était encore si petite que je reconnaissais toutes les filles par leurs mollets dans les couloirs. Elle a une bonne tête. Vu son regard étonné, la mienne doit être un rien froissée. Des marques rouges de la manche de ma veste sur ma joue, sans doute.",誰が鳴りをかけてきたのだろう？軽くて、小さくて、そして控えめな鳴りをかけてきたのは誰なのか、わからない。小さな手だ。 「入ってください」 彼女が入ってきた。今まで見たことがない。その瞬間、懐かしい気持ちがわき上がった。あの頃、家がまだ小さくて、コロリから誰が来たかわかるほどだった時代を懐かしむ気持ちだ。彼女はいい顔をしている。彼女が驚いているのは、私の顔が少しぼやけているからだろう。ジャケットの袖の跡が頬に残っているのだろう。,0-1 4-4 5-8 8-27 11-19 12-20 14-11 15-12 19-17 20-28 21-29 22-18 23-30 24-32 25-33 26-34 27-36 29-39 37-43 38-44 39-46 43-47 51-50 52-52 58-81 61-64 63-66 65-67 68-78 74-73 76-70 85-89 86-90 87-93 89-91 91-94 94-102 104-104 106-105 107-106 109-108 110-111 112-118 116-117 117-116 119-101 120-114 124-121 127-124 128-125
5,"– Je vous dérange ? – Je survivrai à votre passage, Mademoiselle. Qui êtes-vous ? – Ben, je suis la stagiaire ! – Dans quel service ? – On ne me l’a pas dit. Vous savez, nous les stagiaires, on abat tellement de boulot qu’on a intérêt à être polyvalents. – Vous voulez une augmentation ? – Non, je ne gagne rien.",「お邪魔してもよろしいでしょうか？」 「あなたの訪問には耐えられますよ、ミス。あなたは誰なのですか？」 「うーん、私はインターン生です！」 「どの部署ですか？」 「私には教えてもらっていません。私たちインターン生は、多芸なことが役立つほど仕事をこなさなければならないんですから。」 「増給をお願いしたいのですか？」 「いいえ、私は何も稼いでいません」,0-0 3-4 5-8 6-9 10-15 11-12 12-10 13-11 14-17 18-19 19-21 22-20 23-24 24-25 25-28 26-29 27-30 30-31 32-33 33-35 34-36 36-37 37-38 38-40 39-41 46-46 47-44 48-47 52-48 54-49 56-51 57-53 61-60 63-61 76-68 78-73 80-71 82-76 83-77 84-79 85-80 86-81 88-83 89-84 90-82
6,"Elle est assez décoiffée, me semble-t-il, trouée au jean, colorée du reste. Elle est petite, elle a le regard noir, elle est sympathique, mais je serais bien en peine de dire si elle est jolie. Je ne sais plus lire ces filles-là non plus. Elle est vive. Normale Sup ? Métiers du livre – la machine à fabriquer mille Gaston Gallimard par an pour mieux les broyer ensuite ?",彼女はかなり髪型が乱れているように思える。ジーンズの上に穴があり、その他の色もある。彼女は小柄で、黒い目をしていて、魅力的だが、きっと彼女が可愛いかどうかは言えないだろう。私はもうこういう子供たちを読み取ることもできない。彼女は活発である。ノルマル・スープ？出版業界？一年間に一千人のガストン・ガリマールを生産するためのマシン？そしてそれらを次々と破壊するためのもの？,0-1 2-2 3-4 5-7 14-17 16-16 17-12 18-14 19-19 20-21 22-15 23-20 24-23 25-24 28-28 33-29 34-33 38-37 42-46 46-43 47-44 49-39 51-41 52-47 53-48 55-57 56-49 57-53 58-50 59-51 64-58 65-59 67-60 68-63 72-71 73-89 75-73 77-72 80-90 82-87 84-77 86-80 87-79 89-70 91-75 94-93 96-98 97-95 98-100
7,"– Alors qu’est-ce que vous faites ici ? – J’aime bien les livres aussi ! Et puis il y avait une place. On doit faire un stage en entreprise. Obligatoire. – Et qu’est-ce que vous faites dans mon bureau, si ce n’est pas indiscret ? – C’est monsieur Meunier, le grand patron, qui m’a dit de… – Le grand patron ? Meunier ? – Vous ne le connaissez pas ? – Trop bien.",「じゃあ、あなたは何をしに来たの？」 「本も好きなんです！それに今回は空きがあったんです。企業でインターンをする義務があるんですよ。」 「それなら、お話ししてもいいですか？あなたは私のオフィスで何をしているの？」 「大先輩のミュニエさんが私に……」 「大先輩？ミュニエ？」 「あなたは知らないの？」 「ああ、よく知っているよ。」,0-0 1-1 2-5 8-4 10-18 11-10 12-11 15-14 18-12 19-13 20-16 22-17 25-21 28-23 30-30 31-28 33-27 35-24 41-33 43-47 49-43 50-48 51-46 52-44 53-45 54-36 64-50 65-51 73-54 83-62 84-64 86-65 88-67 89-68 90-71 91-72 92-73 93-74 96-75 101-78 103-82
8,"– Non, gestion d’entreprises culturelles. – Vraiment ? Et vous voulez gérer l’édition ? Je vous souhaite bonne chance. – Je préférerais organiser des concerts. – Asseyez-vous. – Il faut que j’y aille, c’est vendredi. Il est tard. – Cinq minutes. Vous voulez organiser des concerts ? – Oui, c’est bien, la musique.",「いいえ、文化事業の管理です」 「本当ですか？そして、出版を管理したいのですか？お祈りしますよ」 「コンサートを企画することを好みます」 「座ってください」 「行かなければなりません、今日は金曜日です。もう遅いです」 「５分だけ。コンサートを企画したいのですか？」 「はい、音楽はいいですね」,0-0 2-3 3-7 6-5 7-6 8-4 11-10 12-11 15-14 16-15 18-20 19-19 23-17 24-23 25-24 27-27 31-30 33-35 36-33 38-31 39-32 42-39 44-41 48-43 49-56 56-44 57-47 61-51 62-53 64-54 65-55 67-59 68-60 70-61 71-63 73-67 74-66 76-64 77-65 78-70 79-71 80-72 81-73 85-76 88-74
9,"Longtemps j’ai croisé les pieds dessus pour un peu de détente, d’élévation, pour un peu plus de sang au cerveau, maintenant, il m’arrive de plus en plus souvent d’y poser la tête, surtout le soir, surtout le vendredi soir. Je croise les bras sur le manuscrit ouvert et je pose ma tête dessus, le front sur l’avant-bras et la joue sur le texte frais. Le bois du bureau amplifie les battements de mon cœur. Le vieux mobilier Art déco conduit bien les émotions et les fatigues. Ruhlman ? Leleu ? Il en a tant vu. J’écoute mon cœur, mon vieux cœur du vendredi, mon vieux cœur dans le silence de la maison. À cette heure, tout le monde est parti, je reste seul à bord, rincé, parce que je n’ai pas le courage de dresser la tour des manuscrits que je dois emporter pour le week-end. Comme chaque vendredi.",長い間、少しの休息や揺さぶりを得るために、脳みそに血液を多く送るために、足を組んで座っていた。しかし、最近は夜、特に金曜日の夜になると、頭を机の上に置くことが多くなってきた。手紙を開いたまま、腕を組んで頭を置く。前腕の上に額を、新しいテキストの上に頬を置く。机の木材が私の心臓の鼓動を増幅している。古いアール・デコ家具は感情や疲労をうまく導いてくれる。ルールマン？レルー？彼らはそんなに多くを見てきた。私は自分の心臓を聞く、金曜日の古い心臓を、家の静寂の中で。今夜はみんな出て行ってしまった、私だけが残された、週末に持って行かなくてはならない手紙の山を立てる勇気がないから疲れきっている。毎週の金曜日のように。,0-1 6-26 7-29 8-25 9-24 13-4 15-6 22-13 23-12 26-20 28-18 29-17 30-14 33-32 37-52 41-51 42-50 46-48 47-44 48-43 52-34 53-35 54-36 56-37 57-40 58-53 60-63 61-68 62-62 63-61 66-55 67-57 70-83 72-65 76-74 77-80 78-72 81-104 82-71 86-84 89-78 91-85 92-87 93-88 95-86 96-97 97-99 98-93 101-95 103-90 104-91 105-100 106-108 107-101 112-114 113-113 116-109 117-112 118-110 120-111 122-117 123-118 125-120 126-121 129-123 130-124 133-126 134-128 135-130 136-131 138-136 139-132 140-133 143-141 144-143 146-138 147-137 151-149 153-148 156-146 157-150 159-151 164-154 166-157 167-158 168-159 170-160 176-164 185-179 187-177 188-178 190-176 192-174 193-175 196-170 197-167 201-188 205-185 207-186 208-191 209-193
10,"– Alors vous savez. C’est lui qui m’a dit de vous apporter ça. – Et qu’est-ce que c’est, ça ? – Ben, c’est une liseuse, un eBook, un iPad, je ne sais pas, moi. Il m’a dit qu’il avait mis tous vos manuscrits dedans pour le week-end et que ça vous ferait moins lourd. Vous voulez que je vous explique ? Regardez, c’est comme un écran avec tous vos manuscrits dessus. Ils sont sur l’étagère virtuelle en faux-vrai bois. Vous les touchez et ils s’ouvrent. Il y en a un paquet. Vous n’allez jamais lire tout ça en deux jours ! Regardez, le texte s’ouvre.",「そうですね。彼が私にあなたに持っていくように言ったのです。」 「それは何ですか？」 「ええと、リーダーです。eBookです。iPadです。私にはわかりません。彼はあなたが週末に持ち歩くのが重くならないように、あなたのすべてのマニュスクリプトを入れたと言っていました。解説しましょうか？見てください。これは、あなたのマニュスクリプトが入ったスクリーンのようなものです。仮想の木製の棚に入っています。触れると開きます。たくさんありますよ。二日間で全部読むことはないでしょう！見てください、テキストが開きます。」,0-0 1-1 4-3 8-4 10-6 13-12 15-8 16-10 19-15 21-17 31-16 32-19 33-20 34-21 35-24 38-26 44-28 45-29 46-31 48-32 54-50 55-35 56-38 57-39 65-63 67-52 68-51 70-59 76-41 86-88 87-64 93-65 94-68 95-69 96-70 97-120 98-72 102-93 103-87 111-109 113-99 127-94 128-100 131-101 154-114 157-112 158-110 159-111 160-117 165-121
