id,source,translation
1,"""Klappe halten"", sagte der Optiker noch einmal lauter und ging schneller, ""Selma findet nur sehr selten etwas bedrohlich oder unansehnlich"". Damit hatte er völlig recht, und damit hatte er leider mehr gesagt, als er den Stimmen eigentlich hätte antworten sollen. Aber die Liebe fände sie womöglich ausgerechnet doch unansehnlich, zischelten die Stimmen, es habe ja einen Grund, sagten sie, dass die Wahrheit so lange verborgen wurde. ""Feigheit war das"", sagte der Optiker und schob die Ledertasche auf die andere Hüfte, weil das Rempeln der Tasche und das Rempeln der Stimmen langsam begannen wehzutun. ""Besonnenheit war das"", sagten die Stimmen, ""Angst ist ja manchmal doch ein guter Ratgeber"", sagten sie und summten die Titelmelodie der Vorabendserie. Der Optiker wurde jetzt langsamer. Der Weg zu Selmas Haus, der eigentlich zehn Minuten dauerte, kam ihm plötzlich vor wie eine Tagesreise, eine Tagesreise mit sehr, sehr viel Gepäck.","""Shut up,"" the optician said again, louder this time, and walked faster. ""Selma rarely finds anything threatening or unattractive."" And he was absolutely right, unfortunately he had said more than he should have to the voices. But love might actually find it unattractive after all, the voices whispered. There must be a reason why the truth was hidden for so long. ""It was cowardice,"" said the optician, shifting his leather bag to his other hip because the jostling of the bag and the jostling of the voices were starting to hurt. ""It was prudence,"" said the voices. ""Fear is sometimes a good counselor,"" they said, humming the theme song from a popular TV series. The optician now slowed down. The way to Selma's house that usually took ten minutes suddenly felt like a day's journey—a day's journey with very, very heavy baggage."
2,"Das stimmte. Der Hund war schneematschfarben, er war verwaschen grau und zottelig wie ein ausschließlicher Irischer Wolfhund ohne etwas anderes drin. Sein Körper war noch klein, aber seine Pfoten waren groß wie Bärentatzen, und wir wussten alle, was das bedeutete. Selma stand immer noch erhoben vor der Küchenbank. Sie schaute lange auf den Hund. Dann sah sie meinen Vater an, als sei er ein Geschenkideengeschäft.","That was correct. The dog was the color of slush, it was a washed-out gray and shaggy like an Irish Wolfhound without anything else inside. Its body was still small, but its paws were as big as bear claws, and we all knew what that meant. Selma still stood hunched over in front of the kitchen counter. She stared at the dog for a long time. Then she looked at my father as if he were a gift shop for ideas."
3,"Bauer Häubel war der festen Überzeugung, dass der Tod höflich sein würde, so wie Bauer Häubel selbst es sein Leben lang gewesen war. Er war sicher, dass der Tod ihm das Leben nicht entreißen, sondern behutsam aus der Hand nehmen würde. Er stellte sich vor, wie der Tod vorsichtig anklopfte, die Tür nur einen Spalt öffnete und ""Darf ich""? fragte, was Bauer Häubel natürlich bejahen würde. ""Selbstverständlich"", würde Bauer Häubel sagen, ""treten Sie doch ein"", und der Tod würde eintreten. Er würde sich an Bauer Häubels Bett stellen und fragen: ""Passt es Ihnen jetzt? Ich kann sonst auch zu einem späteren Zeitpunkt vorbeikommen"". Bauer Häubel würde sich aufrichten und ""Nein, nein, es passt mir gerade sehr gut"" sagen, ""lassen Sie es uns besser nicht noch einmal verschieben, wer weiß, wann Sie es wieder einrichten können"", und der Tod würde sich auf den schon bereitgestellten Stuhl am Kopfende setzen. Er würde sich im Vorhinein für die Kälte seiner Hände entschuldigen, die, das wusste Bauer Häubel, ihm überhaupt nichts ausmachen würde, und dann eine Hand auf Bauer Häubels Augen legen.","Farmer Häubel was firmly convinced that death would be polite, just as he had been throughout his life. He was certain that death would not snatch his life away, but gently take it from his hand. He imagined how death would knock cautiously, open the door only a crack and ask, ""May I come in?"" which Farmer Häubel would naturally affirm. ""Of course,"" Farmer Häubel would say, ""please come in,"" and death would enter. He would stand at Farmer Häubel's bedside and ask, ""Is now a convenient time? I can also come back at a later date."" Farmer Häubel would sit up and say, ""No, no, now is perfect for me,"" ""let's not postpone it again; who knows when you will be able to make arrangements again?"" And death would sit on the chair already prepared at the head of the bed. In advance he would apologize for the coldness of his hands which didn't bother Farmer Häubel at all and then place one hand on farmer Haeubl’s eyes.]"
4,"Die Leute im Dorf waren beunruhigt, man sah es ihnen an, auch wenn sie größtenteils versuchten, sich nichts anmerken zu lassen. Heute Morgen, wenige Stunden nach Selmas Traum, bewegten sich die Leute im Dorf, als habe sich auf allen Wegen Blitzeis gebildet, nicht nur draußen, sondern auch in den Häusern, Blitzeis in den Küchen und Wohnzimmern. Sie bewegten sich, als seien ihnen die eigenen Körper ganz fremd, als seien all ihre Gelenke entzündet und auch die Gegenstände, mit denen sie hantierten, hochentzündlich. Den ganzen Tag lang beargwöhnten sie ihr Leben und, soweit möglich, das aller anderen. Immer wieder schauten sie hinter sich, um zu überprüfen, ob da jemand angesprungen käme mit Mordlust, jemand, der den Verstand verloren und deshalb nichts Nennenswertes mehr zu verlieren hatte, und sie schauten rasch wieder nach vorne, weil jemand ohne Verstand schließlich auch frontal angreifen konnte. Sie schauten nach oben, um herabfallende Dachziegel, Äste oder schwere Lampenschirme auszuschließen. Sie mieden alle Tiere, weil es aus denen, glaubten sie, schneller herausbrechen konnte als aus Menschen. Sie machten einen Bogen um die gutartigen Kühe, die heute womöglich austreten würden, sie mieden die Hunde, auch die ganz alten, die kaum noch stehen konnten, ihnen aber heute vielleicht trotzdem an die Gurgel gehen würden. An solchen Tagen war alles möglich, da konnten einem auch vergreiste Dackel die Kehle durchbeißen, viel abwegiger als ein Okapi war das schließlich nicht.","The people in the village were worried, it was evident in their faces even though most of them tried not to show it. This morning, a few hours after Selma's dream, the people in the village moved as if there was black ice on all the roads, not just outside but inside their homes as well - black ice in kitchens and living rooms. They moved as if their bodies were alien to them, as if all their joints were inflamed and even the objects they handled were highly flammable. All day long they distrusted their own lives and, as far as possible, those of others too. They kept looking behind them to check whether someone would spring up with murderous intent: someone who had lost his mind and therefore had nothing worth losing anymore. And they looked ahead quickly because someone without reason could also attack head-on. They looked up to ensure there were no falling roof tiles, branches or heavy lampshades. They avoided all animals because – they believed – those could go berserk faster than humans. They avoided friendly cows that might kick today; they shunned dogs even old ones that could barely stand but nonetheless might go for one's throat today of all days. On days like these anything was possible; elderly dachshunds biting one's throat open wasn't much more absurd than an okapi after all."
5,"Bis auf Selmas Schwägerin Elsbeth waren die Leute im Dorf meistens nicht abergläubisch. Sie machten unbekümmert all das, was man bei Aberglauben nicht machen darf: Sie saßen gelassen unter Wanduhren, obwohl man bei Aberglauben daran sterben kann, sie schliefen mit dem Kopf zur Tür hin, obwohl das bei Aberglauben bedeutet, dass man durch genau die Tür bald mit den Füßen zuerst hinausgetragen wird. Sie hängten zwischen Weihnachten und Neujahr Wäsche auf, was, wie Elsbeth warnte, bei Aberglauben einem Suizid oder einer Beihilfe zum Mord gleichkommt. Sie erschraken nicht, wenn nachts das Käuzchen rief, wenn ein Pferd im Stall stark schwitzte, wenn ein Hund nachts jaulte, mit gesenktem Kopf.","Except for Selma's sister-in-law Elsbeth, the people in the village were mostly not superstitious. They did carefree things that you're not supposed to do according to superstition: they sat calmly under wall clocks, even though it is believed that doing so can cause death by superstition; they slept with their heads facing the door, even though it is believed that this means being carried out through that exact door feet first soon; between Christmas and New Year's, they hung laundry out, which Elsbeth warned was equivalent to suicide or assisting murder according to superstition. They didn't get scared when the owl called at night or when a horse sweated heavily in its stable or when a dog howled at night with its head lowered."
6,"Die Zugfahrt dauerte fünfzehn Minuten, einen Zwischenhalt gab es nicht. Seit unserer ersten Zugfahrt spielten wir immer dasselbe: Wir stellten uns mit dem Rücken zu den Fenstern an die gegenüberliegenden Zugtüren, Martin machte die Augen zu, ich sah aus dem Fenster der Zugtür, die Martin im Rücken hatte. In der ersten Klasse hatte ich Martin aufgezählt, was ich während der Fahrt sah, und Martin versuchte, alles auswendig zu lernen. Das gelang sehr gut, sodass ich im zweiten Schuljahr nichts mehr aufzählte und Martin, mit dem Rücken zum Fenster und geschlossenen Augen, fast alles aufsagen konnte, was ich durch das beschlagene Zugfenster gerade sah: ""Drahtfabrik"", sagte er, genau in dem Moment, als wir an der Drahtfabrik vorbeifuhren. ""Jetzt Feld. Weide. Das Gehöft vom verrückten Hassel. Wiese. Wald. Wald. Hochsitz eins. Feld. Wald. Wiese. Weide, Weide. Reifenfabrik. Dorf. Weide. Feld. Hochsitz zwei. Waldstück. Hof. Feld. Wald. Hochsitz drei. Dorf.""","The train ride lasted fifteen minutes, with no stops in between. Since our first train ride, we always played the same game: we stood with our backs to the windows at the opposing train doors, Martin closed his eyes, and I looked out the window of the train door that Martin had behind him. In first grade, I would list everything I saw during the journey and Martin would try to memorize it all. He was very successful at this, so by second grade I no longer listed anything and Martin could recite almost everything I saw through the fogged-up window when he had his back turned and his eyes closed: ""Wire factory,"" he said just as we passed by it. ""Now field. Meadow. The crazy Hassel's farmstead. Field. Forest. Forest again."
7,"""Was soll es denn sonst gewesen sein"", sagte Selma, und dass man ein Okapi ja nur schwerlich mit einem anderen Tier verwechseln könne. ""Doch"", sagte ich, es könne ja auch ein verwachsenes Rind gewesen sein, eine falsch zusammengesetzte Giraffe, eine Laune der Natur, und die Streifen und das Rostrote, das könne man doch alles nicht so genau erkennen in der Nacht, da sei schließlich alles sehr verschwommen. ""Das ist doch Quatsch"", sagte Selma und rieb sich die Stirn, ""das ist doch leider Quatsch, Luise"". Sie legte eine Scheibe Käse auf das Brot, klappte es zusammen und legte es in meine Butterbrotdose. ""Weißt du, wann genau du das geträumt hast""? ""Gegen drei Uhr"", sagte Selma. Sie war hochgeschreckt, nachdem das Bild vom Okapi sich zurückgezogen hatte, aufrecht im Bett sitzend war sie aufgewacht und hatte auf ihr Nachthemd gestarrt, in dem sie eben noch im Traum auf der Uhlheck gestanden hatte, und dann auf den Wecker. Drei Uhr. ""Wir sollten das wahrscheinlich nicht so ernst nehmen"", sagte Selma, aber sie sagte es wie ein Fernsehkommissar, der ein anonymes Schreiben nicht so ernst nimmt.","""What else could it have been?"" said Selma. ""After all, it's not easy to mistake an okapi for any other animal."" ""Well,"" I said, ""it could have been a deformed cow, a misassembled giraffe, a freak of nature. And in the darkness of night, the stripes and rust color aren't so easily discernible—everything is quite blurry then."" ""That's nonsense,"" Selma said, rubbing her forehead. ""Unfortunately, that's nonsense, Luise."" She placed a slice of cheese on the bread, folded it together and put it in my lunchbox. ""Do you know exactly when you had that dream?"" ""Around three o'clock,"" Selma said. Startled awake after the image of the okapi had disappeared, she sat up straight in bed and stared at her nightgown—the same one she had been wearing while standing on Uhlheck Hill in her dream—and then at the alarm clock: three o'clock."
8,"""Was ist denn?"", fragte ich. ""Nichts"", flötete Selma, öffnete den Kühlschrank, holte ein Paket Schnittkäse und eine Leberwurst heraus und schwenkte beides durch die Luft. ""Was darf’s denn heute aufs Schulbrot sein?"", flötete sie. ""Mäuselchen"", flötete sie noch hinterher, und Flöten und Mäuselchen waren nun wirklich alarmierend. ""Käse, bitte"", sagte ich, ""was hast du denn""? ""Nichts"", flötete Selma, ""hab ich doch gesagt"". Sie strich Butter auf eine Scheibe Brot, und weil sie immer noch herumschlackerte, schubste sie dabei den Käse mit dem Handgelenk von der Anrichte. Selma hielt jetzt still und schaute hinab auf die Käsepackung, als sei sie etwas Kostbares, das in tausend Teile zersprungen war.","""What's wrong?"", I asked. ""Nothing"", Selma squeaked, opened the refrigerator, took out a package of sliced cheese and liverwurst, and swung them through the air. ""What would you like on your sandwich today?"", she squeaked. ""Mäuselchen,"" she squeaked again, and both the squeaking and ""Mäuselchen"" were truly alarming. ""Cheese, please,"" I said, ""what do you have?"" ""Nothing,"" Selma squeaked, ""I already told you."" She spread butter on a slice of bread, and because she was still jiggling around, she nudged the cheese off the counter with her wrist. Selma stopped now and looked down at the pack of cheese as if it were something precious that had shattered into thousand pieces."
9,"Selma hatte in ihrem Leben dreimal von einem Okapi geträumt, und jedes Mal war danach jemand gestorben, deshalb waren wir überzeugt, dass der Traum von einem Okapi und der Tod unbedingt miteinander verbunden waren. Unser Verstand funktioniert so. Er kann innerhalb kürzester Zeit dafür sorgen, dass die einander abwegigsten Dinge fest zusammengehören. Kaffeekannen und Schnürsenkel beispielsweise, oder Pfandflaschen und Tannenbäume.","Selma had dreamed of an okapi three times in her life, and each time, someone had died afterwards. Therefore, we were convinced that the dream of an okapi and death were inevitably connected. Our mind works that way. It can quickly make sure that the most divergent things belong together. Coffee pots and shoelaces, for example, or deposit bottles and fir trees."
10,"Wenn ich unten bei Selma schlief, erzählte sie mir am Bettrand Geschichten mit guten Enden. Als ich kleiner war, hatte ich nach den Geschichten immer ihr Handgelenk umfasst, meinen Daumen auf ihren Puls gelegt und mir vorgestellt, dass die ganze Welt alles im Rhythmus von Selmas Herzschlag tat. Ich stellte mir vor, wie der Optiker Linsen schliff, Martin ein Gewicht stemmte, Elsbeth ihre Hecke schnitt, wie der Einzelhändler Safttüten einräumte, meine Mutter Tannenzweige aufeinanderschichtete, mein Vater Rezepte stempelte, und alle taten das genau in Selmas Herzrhythmus. Darüber war ich immer verlässlich eingeschlafen, aber jetzt, mit zehn Jahren, fand Selma, sei ich zu alt dafür.","When I slept downstairs with Selma, she would tell me stories with happy endings at the edge of the bed. When I was younger, after the stories I would always hold her wrist and place my thumb on her pulse, imagining that the whole world moved in rhythm with Selma's heartbeat. I imagined the optician grinding lenses, Martin lifting weights, Elsbeth trimming hedges, the grocer stocking juice cartons, my mother stacking spruce branches one on top of another, my father stamping prescriptions—all doing it exactly in time with Selma's heartbeat. This thought always helped me fall asleep reliably. But now, at ten years old, Selma thought I was too old for it."
