id,source,translation
1,"Alles zu vergessen, ist gewiss schlimm. Noch schlimmer ist, nichts zu vergessen, wird doch jedes Wissen erst durch Vergessen erzeugt. Wenn alles unterschiedslos gespeichert ist, wie auf den elektrische Energie verbrauchenden Datenspeichern, verliert es seine Bedeutung und wird zu einer ungeordneten Ansammlung unbrauchbarer Information.",すべてを忘れることは確かに悪いことです。もっと悪いのは、何も忘れないことで、すべての知識は忘却によって初めて生まれるからです。情報が差別なく蓄積される場合、電力を消費するデータストレージのように、その意味を失い、役立たない情報の無秩序な集積に変わってしまいます。
2,"Ein Gedächtnis, das alles bewahrte, bewahrte im Grunde nichts. Jene Kalifornierin, die sich ohne Mnemotechnik jeden einzelnen Tag seit dem 5. Februar 1980 vergegenwärtigen kann, ist gefangen im Echoraum ihrer fortwährend auf sie einstürzenden Erinnerungen — eine Wiedergängerin jenes attischen Feldherrn Themistokles, der jeden einzelnen Bürger seiner Heimatstadt mit Namen zu nennen wusste und der dem Mnemoniker Simonides ausrichten ließ, eher begehre er die Kunst des Vergessens als die des Gedächtnisses zu erlernen: ""Auch was ich nicht in der Erinnerung behalten will, das behalte ich; was ich jedoch vergessen will, das kann ich nicht vergessen"". Eine Vergessenskunst ist aber ein Ding der Unmöglichkeit, weil alle Zeichen Anwesenheiten darstellen, selbst wenn sie auf Abwesenheiten verweisen. Beinahe jeden, den im Römischen Reich der Bann der damnatio memoriae traf, behaupten die Enzyklopädien mit Namen zu kennen.",当初、すべてを記憶するものは、基本的に何も記憶していなかった。メモテクニックなしで、1980年2月5日以来の毎日を自覚するカリフォルニア州出身の女性は、彼女に押し寄せる思い出のエコー空間に閉じ込められています。それはまさにあのアッティカ人将軍テミストクレスが古代ギリシャでした。 彼は故郷市民一人一人の名前を知っており、「忘却よりむしろ記憶術を学びたい」という言葉をネモニストシモニデスに伝えました。「覚えておきたくないことも覚えておくが、でも忘れたいことは忘れられない」しかし、忘却術というものは不可能です。 すべてのサインは存在を表しており，それが欠如を指示しても同様です。 ローマ帝国でdamnatio memoriae（記憶抹殺） の宣告にさらされる人々全員が百科事典作家ら言われて名前まで知っています。
3,"Der Freitod erscheint vielleicht als die radikalste Maßnahme, über die Ungewissheit der Zukunft zu triumphieren, freilich zum Preis einer verkürzten Existenz. Es wird berichtet, dass zu den Geschenken jener indischen Gesandtschaft, die Augustus einst auf der Insel Samos empfing, nicht nur ein Tiger und ein armloser Jüngling, der seine Füße wie Hände zu benutzen wusste, gehörten, sondern auch ein Mann namens Zarmaros aus der Kaste der Brahmanen, der sein Leben selbst zu beenden gedachte, gerade weil es so verlaufen sei wie gewünscht. Um sicherzustellen, dass ihm nicht doch noch etwas Unvorhergesehenes zustieß, sprang er in Athen lachend, nackt und gesalbt ins Feuer, verbrannte zweifellos qualvoll bei lebendigem Leib und ging mit der Inszenierung seines selbstbestimmten Todes in die Geschichte ein, wenn auch nur als kuriose Anekdote in einem Band jener einst achtzig Bücher umfassenden Römischen Geschichte des Cassius Dio, dessen Inhalt zufällig überliefert wurde. Letztlich ist alles, was noch da ist, schlichtweg das, was übrig geblieben ist.",自殺は、未来の不確実性に打ち勝つための最も過激な手段として思われるかもしれませんが、その代償は短い存在です。アウグストゥスがかつてサモス島で受け入れたインドの使節団の贈り物には、虎や手足のない若者だけでなく、ブラーマンという名前の男性も含まれていたと伝えられています。彼は生涯を自分で終わらせることを考えましたが、それは思い通りに進んでしまったからこそです。彼が予期せぬ出来事に巻き込まれる可能性があることを確認するために、彼はアテネで笑いながら裸体で薫りを成す火中に身を投じました。彼は明らかに生きたまま苦痛を味わって焼死し、自己決定的な死の演出で歴史上名を馳せました。ただしキュリオソシティー的エピソードとして記録されただけです。カッシウス・ディオのローマ史全80巻中1巻だけ偶然伝承されました。最終的に残されているすべては、単純に残ったものです。
4,"Am Leben zu sein bedeutet, Verluste zu erfahren. Die Frage, was wohl werden wird, dürfte kaum jünger sein als die Menschheit selbst, besteht doch eine so unabdingbare wie beunruhigende Eigenschaft der Zukunft darin, dass sie sich der Vorhersehbarkeit entzieht und damit auch Zeitpunkt und Umstände des Todes im Dunkeln lässt. Wer kennt nicht den Abwehrzauber des süßbittren Vorausleidens, den fatalen Drang, das Befürchtete durch gedankliche Vorwegnahme verhindern zu wollen? Man ahnt die Verheerungen voraus, imaginiert mögliche Katastrophen und wähnt sich so vor bösen Überraschungen gefeit. In der Antike versprachen die Träume Trost, sagten die Griechen ihnen doch nach, sie verhießen, Orakeln gleich, das Kommende und nähmen somit der Zukunft zwar nicht das Unabänderliche, wohl aber den Schrecken des Unerwarteten. Nicht wenige nehmen sich aus Angst vor dem Tod das Leben.",生きていることは、損失を経験することを意味します。何が起こるか、という疑問は人類そのものよりもずっと古くから存在しているでしょう。なぜなら未来には予測不可能性があり、死の時期や状況さえも暗闇に包まれてしまうからです。誰もが甘く苦い先行体験の防衛術を知っています。恐れられることを思考的に予測しようとする運命的な衝動です。荒廃を予感し、あり得る災害を想像し、不幸な驚きから身を守ろうとします。古代では夢が慰めでした。ギリシャ人は夢が言ったように将来性を約束しました。それらは神託のようであり、未来を予見しており、必ずしも変えられなくても突然起こる恐怖心だけは和らげてくれました。死から逃げたい気持ちや恐怖心から多くの人々が命を奪っています
5,"Vielfältig sind die Strategien, Vergangenes festzuhalten und dem Vergessen Einhalt zu gebieten. Traut man der Überlieferung, steht am Anfang unserer Geschichtsschreibung eine Reihe vernichtender Kriege zwischen Persern und Griechen und am Beginn der heute beinahe vergessenen Gedächtniskunst ein Unglück mit vielen Toten: Es war in Thessalien, wo im frühen vorchristlichen 5. Jahrhundert ein einstürzendes Haus eine ganze Festtagsgesellschaft unter sich begrub und es dem einzigen Uberlebenden, dem Dichter Simonides von Keos, dank seines geschulten Gedächtnisses gelang, das zerstörte Gebäude im Geiste erneut zu betreten und die Sitzordnung der Gäste aufzurufen, woraufhin sich die von den Trümmern entstellten Leichen identifizieren ließen. Es gehört zu den zahlreichen Paradoxien, die dem Entweder-oder von Tod und Leben innewohnen, dass, indem der Verstorbene als etwas unwiederbringlich Verlorenes benannt wird, sich die Trauer über seinen Verlust zugleich verdoppelt und halbiert, wohingegen das im Unklaren liegende Schicksal eines Vermissten oder Verschollenen die Angehörigen in einem diffusen Alptraum aus banger Hoffnung und verwehrter Trauer gefangenhält, der sowohl Aufarbeitung als auch Weiterleben verhindert.",過去を記憶に留め、忘れ去ることを防ぐための戦略は多岐にわたります。伝承が真実なら、我々の歴史の最初にはペルシャ人とギリシャ人の間で破壊的な戦争があり、今日ではほとんど忘れられた記憶術の始まりには多くの犠牲者を出す事故がありました。紀元前5世紀初頭、テッサリア地方で、崩壊した家が祭りをしている人々全員を下敷きにしてしまいました。ただ一人助かった詩人シモニデス・フォン・ケオスは訓練された記憶力によって精神的に再び破壊された建物に入り、客席配置を呼び起こしました。すると残骸で形容しがたく変わっている遺体も正体が判明しました。「亡くなった者」という不可逆的な喪失と共に悲しみが増幅し半減するこの葛藤は生死の二択の中で存在します。一方で行方不明や消息不明者の未知なる運命は、家族を希望と悲嘆が入り交じる曖昧な悪夢に囚われさせます。そのため、処理も生活もできずにいます。
6,"Die Zäsur des Todes ist der Ausgangspunkt von Erbe und Erinnerung und die Totenklage die Quelle jeder Kultur, mit der man die nun klaffende Leerstelle, die plötzliche Stille mit Gesängen, Gebeten und Geschichten füllt, in denen das Abwesende noch einmal verlebendigt wird. Wie eine Hohlform lässt die Erfahrung des Verlusts die Umrisse dessen, was zu beklagen ist, hervortreten, und nicht selten verwandelt es sich im verklärenden Licht der Trauer zu einem Objekt der Begierde, oder wie es ein Heidelberger Professor für Zoologie im Vorwort eines Bändchens der Neuen Brehm-Bücherei formuliert: ""Es scheint zu den rational kaum fassbaren Eigenschaften des westlichen Menschen zu gehören, dass er Verlorenes höher bewertet als noch Bestehendes, anders ist die merkwürdige Faszination nicht zu erklären, die seither vom Beutelwolf ausgeht.""",死の切れ目は、遺産と記憶の出発点であり、喪の嘆きはあいだちぬけた空虚な場所を歌や祈り、物語で埋める文化の源泉であります。これらによって不在が再び生かされるのです。喪失の経験は形作られるものを浮かび上がらせます。しばしば崇高な光景へと変わり、慕い求める対象に変わります。ニュー・ブラム文庫（Neue Brehm-Bücherei）一冊における序文でハイデルベルク大学の動物学教授が述べていたように、「西洋人がなんとも合理的ではない性質をもつことではないかと思いますが、彼らは存在してすさまじく決定されたものよりも失われたものを高く評価する傾向があるようです。その奇妙な魅力こそビーグル狼から発せられています」と表現しています。
7,"Unstrittig ist, dass der Tod und das mit ihm einhergehende Problem, wie mit der plötzlichen Abwesenheit eines Menschen bei gleichzeitiger Anwesenheit seiner Hinterlassenschaften, vom Leichnam bis zum herrenlosen Hab und Gut, umzugehen ist, im Laufe der Zeit Antworten gefordert und Handlungen provoziert hat, deren Bedeutung ihren bloßen Zweck übersteigen und unsere frühen Ahnen aus der Sphäre des Animalischen in die des Menschlichen treten ließ. Die sterblichen Reste von Artgenossen nicht einfach den natürlichen Zersetzungprozessen zu überantworten, gilt gemeinhin als eine Eigenart des Menschen, obwohl sich vergleichbares Verhalten auch bei anderen höheren Tieren beobachten lässt: So versammeln sich Elefanten beispielsweise um ein sterbendes Herdenmitglied, berühren es stundenlang mit dem Rüssel, trompeten dabei aufgebracht und versuchen oft noch, den leblosen Körper wieder aufzurichten, ehe sie den Leichnam schließlich mit Erde und Zweigen bedecken. Auch werden jene Sterbe-Orte von ihnen noch Jahre später regelmäßig aufgesucht, wozu es zweifellos eines guten Gedächtnisses, womöglich sogar gewisser Jenseitsvorstellungen bedarf, die wir uns nicht weniger phantastisch als die unsrigen und ebenso unverifizierbar vorstellen dürfen.",確かに、死とそれに伴う問題、つまり、人が突然いなくなっても遺されたものが存在する状況にどう対処するか、遺体から持参品や無主物までの問題は、時間の経過と共にさまざまな回答を求めてきており、その意味は単なる目的を超えている。我々の初期の祖先を動物的な領域から人間的な領域へ導く引き金とも言える行為が生じました。同種の残骸を単純に自然分解プロセスに委ねず取り扱うことは一般的に人間特有だとされていますが、他の高次生物でも同様の行動が見られることもあります。例えば象は死んでいく群れメンバーの周囲に集まり長時間鼻でそれに触れたり怒ったような声を出したりししばしば無力化した身体を再度起こそうとします。そして最終的に土や枝で死体を覆います。また彼らはこの場所すら数年後も定期的こそ訪れます。これら行動が成立するため必要不可欠ですよねー良い記憶、さらにはある種の来世観までをこめたものです。これらが私たち自身と同じく幻想的でかつ同様に検証不可能なものであるということは疑いようもありません。
8,"Erst jetzt, da ich die Arbeit an diesem Buch, in dem die vielfältigen Phänomene der Zersetzung und Zerstörung eine tragende Rolle spielen, fast beendet habe, sehe ich ein, dass es nur eine der unzähligen Arten darstellt, mit dem Tod umzugehen, die im Grunde nicht unbeholfener oder fürsorglicher ist als jene von Herodot bezeugte Sitte der Kallatier, die ihre verstorbenen Eltern aufzuessen pflegten und voller Entsetzen waren, als sie von jenem Brauch der Griechen hörten, die ihrigen zu verbrennen. Denn darüber, ob derjenige dem Leben näher ist, der sich seine Sterblichkeit unaufhörlich vor Augen führt, oder jener, dem es gelingt, den Tod zu verdrängen, gibt es so widerstreitende Ansichten wie über die Frage, ob die Vorstellung grauenerregender sei, dass alles ein Ende haben wird, oder die, dass es keines geben könnte.",この本の執筆作業がほぼ終わり、分解と破壊の多様な現象が重要な役割を果たすものであることに気付きました。これは死に向き合うための数多くの方法の一つであり、ヘロドトスが記録したカラティア人たちが亡くなった両親を食べる習慣を持っていて、ギリシャ人が自分たちの死者を焼くという風習に驚いていました。不朽まれでは、自己の死に接することで命に近い存在だと考えるか、死を忌避することに成功するかどうかは異なる意見があります。また、すべて終わりを迎えることよりも終わりが訪れない可能性があること方針恐怖心を抱く考え方よりも恐ろしいイメージであるかどうかも同様です。
9,"Natürlich hatte ich schon davor andere bemerkenswerte Begräbnisstätten besucht: die Toteninsel San Michele etwa, wie sie mit hohen, roten Backsteinmauern aus dem blaugrünen Wasser der Lagune von Venedig emporragt gleich einer uneinnehmbaren Festung, oder das grelle Jahrmarktstreiben des Hollywood Forever Cemetery am alljährlich von der mexikanischen Bevölkerung begangenen Día de los Muertos mit den orange-gelb geschmückten Gräbern und den von der fortgeschrittenen Verwesung auf ewig zum Grinsen verdammten Totenschädeln aus bunt gefärbtem Zucker und Pappmaché. Doch keine hat mich so berührt wie der Friedhof jener Fischersiedlung, in dessen eigentümlichem Grundriss — einer Art Kompromiss aus Kreis und Quadrat ich nichts anderes als ein Sinnbild der ungeheuerlichen Utopie zu erkennen glaubte, die ich dort verwirklicht sah: mit dem Tod vor Augen zu leben. Lange Zeit war ich überzeugt, an diesem Ort, dessen dänischer Name ""kleine Insel"" oder ""vom Wasser umgeben"" bedeutet, sei man dem Leben näher, gerade weil seine Bewohner die Toten wortwörtlich in ihre Mitte geholt hatten, anstatt sie wie sonst in unseren Breitengraden üblich — aus dem Innersten der Gemeinden vor die Stadttore zu verbannen, auch wenn der urbane Raum sich die Gräberstätten durch sein ungehemmtes Anwachsen oft nur wenig später wieder einverleibt hat.",もちろん、それ以前にも私は他の注目すべき墓地を訪れたことがあります。たとえば、ベニスのラグーナの青緑色の水から高い赤いレンガの壁で立ち上がるサン・ミケーレ島（死者の島）や、毎年メキシコ人によって祝われるディア・デ・ロス・ムエルトス（死者の日）におけるハリウッドフォーエバーセメタリーで行われる派手な遊園地騒ぎ。そこではオレンジ色や黄色で飾られた墓石や、カラフルな人形用紙粘土製によって永遠に笑みを浮かべざまめかされた腐敗した頭蓋骨などが見られます。しかし、どれも私をここで感じたような深く感動させはしませんでした。漁村のその墓地だけが私をそうさせました。その風変わりな配置図 - 円と四角形という意外性から私は思想的理念、つまり死あって生み抜くうえて恐怖すぎて実現不可能だろう理想国家像 の 隠喩と理解しました。長らく私はこの場所、その名が「島」または「水に囲まれる」というデンマーク語の意味を持つことから、生死の境に近い存在を感じていたし、この場所の住人が文字通り死者たちを中心に迎え入れたことで、私たち緯度経度では一般的には教会埋葬地から都市門以外 へ追放するかインテグレートするかだけですから、街全体がすぐさま 吸収するけどもそれでも墓所自体 より時期早く立候補しても黴殖しかけてる民間スペースでは広せょう化さえ管理されない言って問題注文 immigrant_engineering_evidence 態勢自体 束縛されない どん時期再提案 [points of way] 点也何然課料行通わら愈々一化無用悔やん週先否将来措加政治白要求殺届者玉飛捨篤実伝質意従計氏旧応朝
10,"An einem Augusttag vor einigen Jahren besuchte ich eine Stadt im Norden. Sie liegt an einer der letzten Ausbuchtungen eines Meeresarmes, der seit einer vorvergangenen, glazialen Periode weit ins Landesinnere hineinreicht und in dessen brackigem Wasser sich im Frühjahr Heringe, im Sommer Aale, im Herbst Dorsche und im Winter Karpfen, Hechte und Brassen finden, so dass dort der Beruf des Fischers bis heute ausgeübt wird. Diese Männer bewohnen mit ihren Familien seit Jahrhunderten ein nicht anders als malerisch zu nennendes Viertel, das aus kaum mehr als zwei mit Kopfstein gepflasterten Straßen, einem Trockenplatz für die Netze und einer nur noch von zwei alten, adligen Damen bewohnten Klosteranlage besteht. Kurzum, es handelt sich um einen jener scheinbar aus der Zeit gefallenen Orte, in denen sich allzu leicht der Versuchung erliegen lässt, eine ebenso vage wie verlockende Vergangenheit für lebendig zu halten. Doch nicht die blühenden Rosenstöcke und hohen Malven vor den niedrigen, weiß gekalkten Häusern, nicht deren bunt bemalte Holztüren oder die schmalen, zumeist direkt hinunter zum steinigen Ufer führenden Gänge zwischen den Gebäuden sind mir in besonderer Erinnerung geblieben, sondern der merkwürdige Umstand, dass ich im Zentrum der Siedlung keinen Marktplatz, sondern einen Friedhof vorfand, von jungen, sommergrünen Linden beschattet und von einem gusseisernen Zaun eingefasst, dass also ebendort, wo gewöhnlich Ware gegen Geld getauscht wurde, die Toten unter der Erde das taten, was man aus einem unausrottbaren Wunschglauben heraus gerne ""ruhen"" nennt. Mein Erstaunen, das ich zuerst für Unbehagen hielt, war groß und wuchs noch, als man mich auf das Haus einer Frau aufmerksam machte, die beim Kochen von ihrer Küche aus auf das Grab ihres früh verstorbenen Sohnes blicken konnte, und mir klar wurde, dass die jahrhundertealte Tradition der hier für den Bestattungsritus zuständigen Totengilde dazu geführt hatte, die schon Gestorbenen und die noch Lebenden ein und derselben Familie so nah beinander zu belassen, wie ich es bisher nur von den Bewohnern einiger pazifischer Inseln kannte.",数年前の8月のある日、私は北部の街を訪れました。この街は海の腕が最後に張り出した場所に位置しており、氷河期以前から陸地まで広く延びる潮路によって形成された塩水溜まりで、春にはニシン、夏にはウナギ、秋にはタラ、冬には鯉やスズキなどが見つかるため、今日でも漁業が営まれています。これらの人々とその家族は何世紀もの間、「絵画的」としか形容しようがない地域に住んでおり、舗装された石畳の道路2本と網を干すための乾燥場、2人だけが暮らす修道院跡からなるようなエリアです。要するに、時間から外れてしまったかのような場所であり、「揺らぐ」過去を生き生きと保持し続ける誘惑にいささか甘えやすい場所です。しかし私が特別な思い出として残っているものは高く伸びたマロウモドキや良く咲いているバラではなく、低く白く塗られた建物前面部にあるカラフルな絵が描かれた木製のドアや、建物間を狭い通路が降りて行くように直接岩の浜辺に通じていることではなく、むしろ町の中心部に広場ではなく墓地があったという奇妙な事実です。それは若々しい葉を持つライデンで覆われ、鋳鉄製のフェンスで囲まれており、「休んでいる」という言葉として根深い願望信仰から来るものだけれども、ここでは実際上地下に横たわっている死者達がその行動を取っていました。最初は不快感だと思った驚きは大きかったし、さらに私は故人祭礼セットメンバーの人々から、「生前者や未亡人同士やすぐ近所同士」と見学するよう案内され来てみました。そしてこの数世紀も続く伝統的な埋葬方法が生死を超え要員家族の身元記録保持リスト同列内で近接されただけである。
