id,source,translation
1,"""Tak co, líbí se ti něco?"" zeptal se Frodo, když viděl, jak na obrázky koukám. ""Všechno,"" přikývla jsem. Moje obrázky vedle těch jeho vypadaly jako úplný mazanice. Až jsem se před ním styděla. ""Tenhle nejvíc,"" ukázala jsem na zasněženou krajinu. ""Tak si ho vezmi, jestli chceš,"" mrkl na mě Frodo, ""teda pokud mi taky jeden svůj dáš."" ""Když moje nejsou tak pěkný,"" zavrtěla jsem hlavou a nemohla jsem spustit oči z Frodovy krajiny.","- ""Więc co, podoba Ci się coś?"" zapytał Frodo, kiedy zobaczył, jak patrzę na obrazy. ""Wszystko"" - skinąłem głową. Moje obrazy w porównaniu do jego wyglądają jak zupełny bałagan. Nawet się przed nim zawstydziłem. ""To najbardziej,"" pokazałem na ośnieżony krajobraz. ""Weź go, jeśli chcesz,"" Frodo puścił do mnie oko, ""oczywiście, jeśli dasz mi też jeden ze swoich."" ""Kiedy moje nie są takie ładne"", pokręciłem głową i nie mogłem oderwać oczu od krajobrazu Frodo."
2,"Do tý doby mě nenapadlo, že by učitel mohl taky malovat. Teda nikdy žádná učitelka na výtvarku nám neukázala žádnej obrázek, kterej dělala. Jen jsem přikývla a Frodo sáhl na skříň, kde měl takovou roli a v ní několik výkresů. Když je vytáhl, zavoněly z toho nějaký barvy, myslím, že to byly opravdový malířský. Na několika obrázcích byly různý postavy, nebo třeba jen člověk jako by si obtiskl páteř na papír, potom takový krásný domečky a několik takovejch neurčitejch krajin. Ty se mi líbily nejvíc, protože na nich vlastně skoro nic nebylo, třeba jen jako zasněžená krajina, kde trošičku vylízala ze sněhu hlína a kousek hráze u rybníka, ale přitom to bylo úplně nejlepší.","Do tej pory nie przyszło mi do głowy, że nauczyciel także może malować. Nigdy żadna nauczycielka od plastyki nie pokazała nam jakiegokolwiek obrazu, który by stworzyła. Pokiwałam tylko głową i Frodo sięgnął po rolkę z szeregami rysunków. Kiedy je wyjął, poczułam zapach farb, myślę, że to były prawdziwe malarskie farby. Na kilku obrazach były różne postaci lub chociażby człowiek, który jakby odcisnął kręgoszczaka na papierze; piękne domki i kilka nieokreślonych krajobrazów. Te podobały mi się najbardziej - bo właściwie nic tam nie było: Staraśnieżyta wiejska scena wnios_kb jednoznacznych tla i spopieczeń u ryba wato w tym jest ja nawAscie miałem NawAsnie najlepsze"
3,"Sedl si ke stolku vedle mě a otevřel desky, který jsem mu dala, a začal si prohlížet obrázky jeden po druhým. Na některý se díval docela dlouho, úplně je zkoumal, takže mi bylo jasný, že musí vidět všechny chyby, co na nich jsou. A taky že poznal, kdy už se mi na tom obrázku nechtělo dělat a jen jsem to tak doplácala barvama. Potom vzal ten výkres s vránama a řekl, že ten se mu líbí nejvíc. A usmíval se a vypadal ještě víc jako Frodo. Všimla jsem si, že má takový krásně dlouhý prsty s kulatejma nehtama.","Usiadł przy stoliku obok mnie, otworzył te deski, które mu dałam, i zaczął oglądać obrazy jeden po drugim. Na niektóre patrzył naprawdę długo, dokładnie je analizując, więc było mi jasne, że musi dostrzegać wszystkie błędy na nich. Również zauważył pewnie momenty, kiedy już mi się nie chciało pracować nad tym obrazem i tylko go domalowywałem kolorami. Potem wziął ten rysunek z krukami i powiedział, że to mu się najbardziej podoba. I uśmiechał się i wyglądała jeszcze bardziej jak Frodo. Zauważyłem też ,że miał pięknie długie palce z okrągłe paznokcie."
4,"Po čtvrtý hodině jsem počkala, až všichni odejdou na oběd, protože holky by mohlo napadnout, že půjdou za Frodem se mnou, a já jsem s ním chtěla být sama. Jenže když jsem došla ke kabinetu a chtěla zaťukat na dveře, příšerně mi tlouklo srdce a měla jsem hroznej strach, i když nevím z čeho. Trochu jsem si vytáhla tričko pod pažema a čichla si, jestli nejsem cejtit potem, protože jsem se v matice úplně zpotila strachem.","Po czwartej godzinie zaczekałam, aż wszyscy pójdą na lunch, ponieważ dziewczyny mogłyby wpadać na pomysł, że pójdą za Frodem ze mną, a ja chciałam być z nim sama. Ale kiedy doszłam do gabinetu i chciałam zapukać do drzwi, serce mi strasznie biło i miałam okropny strach, choć nie wiem czego się bałam. Podciągnęłam trochę koszulkę pod pachami i powąchałam ją, bo bało mnie, że śmierdzę potem – cała się spociłem ze strachu w mat-infie."
5,"Tak jsem nakonec desky otevřela a začala výkresy vyrovnávat na lavici. Na hodně z nich byly různý zátiší a potom obrázky toho, co vidím z okna pokoje, protože to mě hodně baví. A taky ty vrány, který jsem zkoušela dělat temperou a pak jsem do toho ještě rozmazala suchej pastel. Děcka úplně koukaly, protože vlastně si mejch obrázků ve škole nikdy moc nevšímaly, až teď. Jasně že jsem vybrala ty nejhezčí, a nepovedený matlanice jsem nechala doma. Dokonce Marek Roseckej pořád žadonil, ať mu jeden dám, ale já řekla, že nemůžu. I když ve skutečnosti jsem spíš nechtěla, protože jsem je měla všechny pro Froda.","Na koniec jednak otworzyłam deski i zaczęłam układać rysunki na ławce. Większość to były różne martwe natury oraz obrazki tego, co widzę z okna pokoju, bo bardzo lubię to rysować. A także te kruki, które próbowałam malować temperą a potem rozmazałam po nich suchy pastel. Dzieci były wręcz oszołomione, ponieważ nigdy wcześniej nie zwracały większej uwagi na moje rysunki w szkole do teraz. Oczywiście wybrałam te najładniejsze, nieudane bazgroły zostawiłam w domu. Nawet Marek Rosecký ciągle błagałem, żebym mu jeden dała, ale powiedziałam że nie mogę. Chociaż prawda jest taka , że raczej nie chciałem , bo wszystkie miałem dla Froda."
6,"Hned jak zazvonilo, běžela jsem do šatny, ale naštěstí tam obrázky byly. Rychle jsem desky vzala a odnesla je do třídy, i když teda holky na mě čuměly, co jako táhnu, jestli jsou to fakt ty výkresy pro Froda. Sice mně vadilo, že minulej tejden slyšely, jak mně Frodo říkal, abych mu je přinesla, ale na druhou stranu se mi líbilo, že se před nima můžu trochu pochlubit.","Gdy zadzwonił dzwonek, od razu pobiegłam do szafek, ale na szczęście obrazki tam były. Szybko wzięłam tablice i zaniosłam je do klasy, nawet jeśli dziewczyny patrzyły na mnie, zastanawiając się co to za rzeczy przynoszę i czy to naprawdę te rysunki dla Froda. Trochę mi przeszkadzało że tydzień temu słyszały jak Frodo mi mówił żeby mu je przynieść, ale z drugiej strony podobało mi się, że mogę się trochę pochwalić przed nimi."
7,"Dneska jsem šla do školy o dost dřív, protože jsem nechtěla, aby děcka ve škole viděly, že nesu desky s výkresama. Strčila jsem si je v šatně za skříňky a říkala si, že nepůjdu na oběd a vyndám je, až budu v šatně sama. Jenže potom mě v matice napadlo, že třeba bude uklízečka umývat podlahy a všimne si, že tam jsou za skříňkou nějaký desky, a někam to odnese nebo vyhodí. Celou matiku mě polívalo strašný horko, jak jsem se bála, že se to stane. A nadávala jsem si, že jsem pitomá.","Dziś poszłam do szkoły dużo wcześniej, bo nie chciałam, żeby dzieciaki w szkole zobaczyły, że niosę tablice z rysunkami. Włożyłam je za szafki w szatni i powiedziałam sobie, że nie pójdę na obiad i wyjmę je, kiedy będę sama w szatni. Ale potem wpadłam na to podczas matematyki, że może sprzątaczka będzie myć podłogę i zauważy te tablice za szafkami i zabierze je gdzieś albo wyrzuci. Podczas całej matematyki miałam straszliwe potwory ze strachu przed tym, co się stanie. I obwiniałam się za to, jak byłam głupia."
8,"Radši jsem zhasla lampičku a v duchu si pořád představovala, jak si můj obrázek dlouho prohlížel a pochválil mě před celou třídou. A napadlo mě, že třeba jsem pro něj výjimečná, jiná než ostatní holky. Zachumlala jsem se do peřiny a snila o tom, jak mu ukážu svoje obrázky a jemu se budou líbit. A pak spolu začneme kamarádit, i když on je o hodně starší, a budeme si povídat o různejch věcech, hlavně o kreslení, a ostatní holky mně budou závidět.","Wolałam więc zgasić lampkę i w duchu sobie wyobrażałam, jak on ogląda mój obrazek i chwali mnie przed całą klasą. I przyszło mi na myśl, że może jestem dla niego wyjątkowa, inna niż pozostałe dziewczyny. Otuliłam się kołdrą i śniła o tym, jak pokażę mu swoje obrazki i będą mu się podobać. A potem zaczniemy się przyjaźnić, mimo że on jest dużo starszy, i będziemy rozmawiać na różne tematy, głównie o rysowaniu, a reszta dziewczyn będzie mi zazdrościła."
9,"""Já ho asi miluju. A on mě určitě taky,"" mlela pořád dokola, až jsem jí taky chtěla něco říct. Napadlo mě, že se jí pochlubím, že se Frodovi líbily moje obrázky, jenže pak mi to přišlo pitomý. Taky proto, že by to určitě vykecala mamce, a mamka by řekla, že je to pitomost.","— Chyba go kocham. A on mnie na pewno też — powtarzała bezustannie, aż i ja zechciałam jej coś powiedzieć. Przyszło mi do głowy, że mogę się jej pochwalić, że Frodowi podobały się moje obrazki, ale potem uznałam to za głupie. Również dlatego, że na pewno by to wygadała matce, a matka powiedziałaby, że jest to bzdura."
10,"""Je to fakt dobrý,"" řekl mi Frodo, když se na můj výkres koukal. A skoro to vypadalo, že je z toho obrázku překvapenej. Pak se ptal, jestli maluju i doma, tak jsem odpověděla, že jo. Nejradši bych mu řekla i to, že chci být malířkou, ale mamka pořád opakuje, že je to blbost, že člověk musí dělat něco pořádnýho, jako třeba ona dělá knihovnici v knihovně, tak jsem raději mlčela, aby si nemyslel, že mám blbý nápady. Chvíli na výkres ještě koukal a otáčel ho ze všech stran a pak šel dál a koukal na obrázek Lindy, která nakreslila takový docela pěkný jabko.","""To naprawdę dobre"" - powiedział mi Frodo, kiedy patrzył na mój rysunek. I prawie wyglądało na to, że jest zaskoczony tym obrazem. Potem zapytał, czy maluję też w domu, więc odpowiedziałam, że tak. Najchętniej powiedziałabym mu też, że chcę zostać malarką, ale mama ciągle powtarza, że to głupota i człowiek musi robić coś sensownego jak ona pracując jako bibliotekarka w bibliotece. Więc wolałam milczeć aby nie sądził , że mam głupie pomysły. Jeszcze przez chwilę patrzył na rysunek obracając go ze wszystkich stron a potem poszedł dalej i spojrzała na obraz Lindy , która namalowala całkiem ładne jabłko ."
