id,source,translation
1,ミホとサツキは地元で頻繁に会っているせいか、そっくりな表情と喋り方をしている。,"Miho and Satsuki frequently meet in the local area, which seems to have led them to have similar expressions and ways of speaking."
2,特にお菓子の食べ方が似ていて、二人ともネイルを施した手でクッキーを小さく割りながら口に運んでいる。,"Both of them eat sweets in a similar way, breaking cookies into small pieces with manicured nails and putting them in their mouths."
3,前からそうだったろうか、と思いだそうとするが、記憶が曖昧だ。,"I try to recall if it had been like that from the start, but my memory is vague."
4,前に会ったときの二人の小さな癖や仕草は、もうどこかへ流れ出て行ってしまったのかもしれないとも思う。,The small quirks and gestures of the two of us from when we met before might have already washed away somewhere.
5,ミホは、今では結婚して地元に中古の一戸建てを買っていて、そこに友達がよく集まっている。,"Miho, who is now married, has bought a second-hand detached house in her hometown, where her friends often gather."
6,明日もアルバイトなので億劫に思う時もあるが、コンビニ以外の世界との唯一の接点であり、同い年の「普通の三十代女性」と交流する貴重な機会なので、ミホの誘いにはなるべく応じるようにしている。,"I have part-time work again tomorrow, so there are times when I feel reluctant. However, it is the only contact I have with the world outside of convenience stores and a valuable opportunity to interact with women of my age group, so I try to accept Miho's invitations as much as possible."
7,今日も、ミホと、まだ小さい子供を連れたユカリ、結婚しているが子供はまだのサツキと私、というメンバーで、ミホの家にケーキを持ち寄ってお茶をしていた。,"Today as well, with Miho, Yukari who had her small child with her, Setsuki who is married but doesn't have children yet, and myself, we gathered at Miho's house bringing a cake and had tea."
8,そのとき、私は、初めて、世界の部品になることができたのだった。,"At that moment, for the first time, I was able to be a part of the world."
9,私は、今、自分が生まれたと思った。,I now felt as if I had been born.
10,世界の正常な部品としての私が、この日、確かに誕生したのだった。,"On this day, a truly normal part of the world was born in me."
11,オープンまでの二週間、二人組になったり、社員を相手にしながら、架空の客に向かって、ひたすら練習が続いた。,"For the two weeks leading up to the opening, we formed pairs, practiced earnestly facing imaginary customers, and interacted with our colleagues."
12,「お客様」の目を見て微笑んで一礼すること、生理用品は紙袋に入れること、温かい物は冷たい物と分けて入れること、ファーストフードを頼まれたら手をアルコールで消毒すること。,"Making eye contact with the customer, smiling, and bowing, putting sanitary products in a paper bag, separating warm items from cold items, disinfecting hands with alcohol if asked to handle fast food."
13,お金に慣れるためにとレジの中には本物のお金が入っていたが、レシートには「トレーニング」と大きく印字されていたし、相手は同じ制服を着たアルバイト仲間だし、なんとなくお買いものごっこをしているようだった。,"In order to get accustomed to handling money, there was real money in the cash register, but on the receipt, ""Training"" was printed prominently. The person on the other side was a part-time job colleague in the same uniform, so it felt like we were just playing at shopping."
14,二つ年下の妹は、私と違って、「普通」の子どもだった、かといって私を敬遠するわけでもなく、むしろ慕ってくれていた。,"My younger sister, two years younger than me, was a ""normal"" child unlike me. Not that she avoided me or anything, rather she adored me."
15,妹が私と異なり普通のことで母に叱られているとき、母に私は近づいて「どうして怒っているの？」と理由を尋ねた。,"When my sister was being scolded by our mother for something normal unlike me, I approached my mother and asked, ""Why are you angry?"" to find out the reason."
16,私が母に質問したせいでお説教が終わると、庇かばわれたと思うのか、妹はいつも私に「ありがとう」と言った。,"After the sermon ended, because of my questioning, my sister always said ""thank you"" to me as if she felt protected."
17,お菓子や玩具にあまり興味がなかった私は、それらを妹にあげることも多かった。,"I, who wasn't very interested in sweets or toys, often gave them to my younger sister."
18,そのため、妹はいつも私についてまわっていた。,"Because of that, my younger sister was always following me around."
19,「お父さん、焼き鳥好きだから、今日、これを焼いて食べよう」 良く聞こえなかったのだろうかと、はっきりとした発音で繰り返すと、母はぎょっとし、隣にいた他の子のお母さんも驚いたのか、目と鼻の穴と口が一斉にがばりと開いた。,"""Dad, since you like yakitori, let's grill and eat this today."" Perhaps she didn't hear well, so I repeated it clearly. My mother was startled, and the other mother next to us seemed surprised too - her eyes, nose holes, and mouth all opened wide at once."""
