id,source,translation
1,Беспредельный морской шум не прекращался ни на минуту.,The ceaseless noise of the boundless sea did not stop for a minute.
2,"Он набегал длинными волнами, то усиливаясь, то затихая.","It surged in long waves, sometimes increasing, sometimes subsiding."
3,"И ветер то начинал шуметь в голых деревьях, то замолкал, так же как и я прислушиваясь к течению ночи.","The wind would start rustling in the bare trees, then fall silent, just as I did while listening to the flow of the night."
4,"Но он не уходил, он был здесь.","""But he did not leave, he was here."""
5,Я это знал по запаху мокрой гальки и по едва внятному трепету одинокого платанового листа.,I knew it by the smell of wet gravel and the barely audible tremor of a lone plane tree leaf.
6,"Я заметил еще днем этот упрямый сизый лист, но сейчас, ночью, он казался мне маленьким живым существом, моим единственным бодрствующим другом.","I noticed this stubborn gray leaf even during the day, but now, at night, it seemed to me like a small living creature, my only wakeful friend."
7,"Изредка из тьмы, из города, доносились ружейные выстрелы.","Occasionally gunshots could be heard coming from the darkness, from the city."
8,После каждого выстрела долго лаяли собаки.,"After each shot, the dogs barked for a long time."
9,Потом далеко в море мелькнул тусклый огонь и погас.,Then a dim light flickered far out at sea and then disappeared.
10,"Он заставлял смотреть на эти вещи пристальнее и дольше, чем мы это делаем обычно, и открывать в них много не замеченных ранее качеств.","He made us look at these things more closely and longer than we usually do, and to discover in them many qualities that had gone unnoticed before."
11,"Так, в ноздреватом желтом камне было много накрепко впаянных в него маленьких морских ракушек, на кустах дрока оставалось еще несколько цветов, они сидели на прямых твердых стеблях, как промокшие и сморщенные золотые бабочки, и терпеливо дожидались солнца.","In the yellow nostril-like stone, there were many small seashells firmly embedded in it, on the stalks of heather a few flowers still remained, they sat on straight, sturdy stems like damp and wrinkled golden butterflies, patiently waiting for the sun."
12,"Но оно очень редко проступало в тумане размытым белым пятном и не давало ни теплоты, ни тени.",But it very rarely emerged in the fog as a blurred white spot and did not give either warmth or shade.
13,"Под единственным старым платаном с лимонными пятнами на стволе валялись листья, как бы вырезанные из тусклого зеленого бархата.","Under the single old plane tree with lemon spots on its trunk, leaves were lying as if cut out of faded green velvet."
14,"По чугунной калитке вереницей бежали муравьи, сносили в свои подземные житницы последние запасы на зиму, а под якорной цепью жила маленькая робкая жаба.","Ants were running in a line across the iron gate, carrying the last supplies for winter into their underground dwellings, while beneath an anchor chain lived a small timid frog."
15,Ночью на другом берегу реки кто-то начал махать фонарем и протяжно кричать.,"At night on the other side of the river, someone started waving a lantern and shouting loudly."
16,Я вышел с дядей,I went out with my uncle
17,Илько на берег.,Ilko is on the shore.
18,Река ревела.,The river roared.
19,Вода шла через греблю холодным водопадом.,The water flowed through the dam like a cold waterfall.
