id,source,target,n2m
1,Diego Cocca wird neuer Nationaltrainer von Mexiko Im Sommer 2026 richtet Mexiko gemeinsam mit den USA und Kanada die WM mit dann erstmals 48 Mannschaften aus.,"Diego Cocca will be the new national coach of Mexico. In the summer of 2026, Mexico, together with the USA and Canada, will host the World Cup with 48 teams for the first time.",1-2
6,"Geesthacht: Neue Beetschilder sollen zum Nachpflanzen animieren Franko Stein (FD Umwelt, links) und Friedhelm Ringe (Nabu) stellen die Pflanzenschilder in den Beeten der Fußgängerzone auf.","Geesthacht: New plant signs should encourage replanting. Franko Stein (FD Environment, left) and Friedhelm Ringe (Nabu) are putting up the plant signs in the flower beds of the pedestrian zone.",1-2
18,In der ersten Januarwoche war bereits Saisonstart bei der Wildhasel Jüngeren Datums sind Sträucher wie Winterduftheckenkirsche und Winterschneeball in den Beeten der Fußgängerzone.,"In the first week of January, the wild hazel already had its season start. Shrubs of more recent origin such as winter honeysuckle and winter snowball are found in the flower beds of the pedestrian zone.",1-2
19,"Sie stecken jetzt seit einem Jahr in der Erde der Kübel an der Bergedorer Straße, zeigen blätterlos gerade die ersten zarten Blüten in Weiß und Rosa und sind jüngst mit weiteren Schildern bedacht worden.","They have been planted in the planters on Bergedorer Straße for a year now and are currently displaying their first delicate white and pink flowers without leaves. Recently, additional signs have been placed next to them.",1-2
27,"Die Älteste von ihnen ist Ernestine Stauchner, sie feierte kürzlich ihren 102. Geburtstag.","The oldest of them is Ernestine Stauchner, she recently celebrated her 102nd birthday.",2-1
48,"Analog im Dialog Die Grenzen des Digitalen Mit fortschreitender Digitalisierung wächst bei so manchen wieder die Lust auf analog Die Rasanz, mit der unser Alltag digital wurde, ließ uns kaum Zeit, Regeln für den Umgang damit aufzustellen und unsere Kommunikationsund Arbeitsweisen daran anzupassen, meint DNN-Kolumnistin Claudia Muntschick.","Analog in dialogue The limits of the digital. With advancing digitalization, the desire for analogue grows again in some people. The rapid pace at which our everyday life became digital left us with little time to establish rules for dealing with it and to adapt our communication and work methods accordingly, says DNN columnist Claudia Muntschick.",1-4
57,14 Tage für eine neue Regierung In Moldau (auch: Moldawien) hat die Präsidentin Maia Sandu den ehemaligen Innenminister Dorin Recean mit der Regierungsbildung beauftragt.,"14 days for a new government. In Moldova (also: Moldavia), President Maia Sandu has entrusted former Minister of Interior Dorin Recean with forming the government.",1-2
68,Das waren die Kostüme der Promis 2023 wird wieder ordentlich gefeiert in Veitshöchheim.,"These were the costumes of the celebrities. In 2023, there will be proper celebrations again in Veitshöchheim.",1-2
70,"Landesvater Markus Söder ging nicht etwa als Moses, was sein Kostüm vermuten lässt.","State father Markus Söder did not go as Moses, as his costume suggests.",1-3
76,"Landtagspräsidentin Ilse Aigner suchte sich niemand geringeres als ""Mama Bavaria"" als Vorbild für ihr Kostüm.","Landtag President Ilse Aigner chose none other than ""Mama Bavaria"" as her role model for her costume.",1-2
100,Oberhof: Kühn Achter im WM-Sprint Bö setzte seine beeindruckende Serie trotz schwieriger Bedingungen fort und gewann auch das sechste Sprintrennen der Saison.,Oberhof: Kühn eighth in World Championship sprint. Bö continued his impressive streak despite difficult conditions and also won the sixth sprint race of the season.,1-2
119,"""Die starke Demokratie unserer beiden Nationen wurde auf die Probe gestellt"", sagte Biden am Freitag im Weißen Haus in Washington. ""Wir müssen weiterhin für die Demokratie eintreten, für die demokratischen Werte, die den Kern unserer Stärke ausmachen"".","""The strong democracy of our two nations has been put to the test,"" Biden said on Friday at the White House in Washington. ""We must continue to stand up for democracy, for the democratic values that are at the core of our strength.""",1-2
128,"""Seine Welt begann und endete mit Fake News, morgens, nachmittags und abends"", sagte Lula. ""Kommt mir bekannt vor"", entgegnete Biden eine offensichtliche Anspielung auf seinen Amtsvorgänger Trump.","""His world began and ended with fake news, morning, afternoon, and evening,"" said Lula. ""Sounds familiar to me,"" Biden replied an obvious allusion to his predecessor Trump.",1-2
136,"Aber darum geht es nicht, sondern: Auf Platz 1 bis 5 (!) steht Frau Wagenknecht, dann folgt Frau Schwarzer.","But that's not what it's about, but rather: In positions 1 to 5 (!) is Mrs. Wagenknecht, then follows Mrs. Schwarzer.",1-2
142,Harald Glööckler reicht Scheidung von seinem Mann Dieter Schroth ein Designer Harald Glööckler (57) und sein Mann Dieter Schroth (74) haben sich getrennt.,Harald Glööckler files for divorce from his husband Dieter Schroth. Designer Harald Glööckler (57) and his husband Dieter Schroth (74) have separated.,1-4
146,"Glööckler und sein Lebenspartner Schroth waren 35 Jahre zusammen, Trennungsgerüchte gab es schon seit etwa einem Jahr.","Glööckler and his life partner Schroth were together for 35 years, rumors of separation have been circulating for about a year.",1-2
149,"SS-Massakers in Oradour-sur-Glane: Letzter Überlebender tot In dem zerstörten Dorf nordwestlich von Limoges, dessen Ruinen erhalten blieben, wurde 1999 ein Gedenkzentrum eingerichtet.","SS massacres in Oradour-sur-Glane: Last survivor dead In the destroyed village northwest of Limoges, whose ruins were preserved, a memorial center was established in 1999.",1-3
150,Frankreichs Präsident Emmanuel Macron hatte Hébras vor einem Jahr mit dem nationalen Verdienstorden ausgezeichnet.,France's President Emmanuel Macron awarded Hébras with the National Order of Merit a year ago.,1-2
154,"Eine Kurvenlage für 14 Häuser: In Homeien kennt jeder jeden LZ-Serie Nordlippische Weiler: In Homeien leben nicht selten drei, vier Generationen unter einem Dach.","A curve position for 14 houses: In Homeien, everyone knows everyone. LZ series North Lippe hamlets: In Homeien, it is not uncommon for three or four generations to live under one roof.",1-4
157,"Deutsche-Bank-Chef Christian Sewing hält weitere Zinserhöhungen im Kampf gegen die hohe Teuerungsrate für ""absolut"" notwendig.","Deutsche Bank CEO Christian Sewing considers further interest rate hikes in the fight against high inflationary rates to be ""absolutely"" necessary.",1-2
167,"""Die Folgen einer dauerhaft hohen Inflation sind wesentlich gravierender als die höherer Finanzierungskosten für einige Länder"", sagte Sewing. ""Natürlich müssen wir das im Blick behalten, aber ein hoher Schuldenstand darf die EZB nicht davon abhalten, konsequent zu handeln"".","""The consequences of persistently high inflation are much more serious than higher financing costs for some countries,"" Sewing said. ""Of course, we have to keep an eye on that, but a high level of debt must not prevent the ECB from acting consistently.""",1-2
190,"Angesichts der vielen offenen Aufgaben etwa beim Ausbau der Stromtrassen beneide er die Bundesregierung und die beteiligten Unternehmen aber nicht, sagte Hartung. ""Als Konsument dieser Energien brauche ich den Ausbau unbedingt und er soll so grün sein, wie es geht"".","Given the many outstanding tasks, such as expanding the power grid, Hartung said he does not envy the federal government and the involved companies. ""As a consumer of these energies, I definitely need this expansion and it should be as green as possible.""",1-2
211,Hunderttausende wollen gegen Rentenreform demonstrieren Paris Auch am Samstag wollen die Franzosen wieder gegen die geplante Rentenreform auf die Straße gehen.,"Hundreds of thousands want to demonstrate against pension reform. Paris Even on Saturday, the French want to take to the streets again to protest against the planned pension reform.",1-3
222,Macron: Drohendes Defizit in Rentenkasse Macron begründet die Reform mit einem drohenden Defizit in der Rentenkasse.,Macron: Looming deficit in pension fund. Macron justifies the reform with a looming deficit in the pension fund.,1-2
237,Ruhiges Wetter erwartet in Hochlagen viel Sonne Ein mächtiges Hochdruckgebiet liegt über Mitteleuropa und bestimmt das Wetter in Deutschland.,Quiet weather expected lots of sun in high elevations A powerful high-pressure system is located over Central Europe and determines the weather in Germany.,1-2
239,Offenbach In Deutschland wird mindestens bis zu Wochenmitte ruhiges Hochdruckwetter erwartet.,"Offenbach In Germany, quiet high pressure weather is expected at least until midweek.",1-2
241,"""Zwar verlagert sich dieses Hoch im Laufe der nächsten Woche ein wenig nach Osten. Es bestimmt aber weiterhin das Wetter in Deutschland"".","""Although this high will shift slightly to the east over the course of next week, it will continue to dominate the weather in Germany.""",2-1
250,"Am Alpenrand, in den Hochlagen der Mittelgebirge und in Teilen von Nordrhein-Westfalen werde ganztags Sonne erwartet, andernorts müsse sie sich erst durch die Hochnebeldecke kämpfen.","On the edge of the Alps, in the high elevations of the low mountain ranges, and in parts of North Rhine-Westphalia, sunshine is expected all day long. Elsewhere, it will have to fight its way through the high fog layer.",1-2
259,"Méribel ""Ich bin traurig, weil ich nicht die Leistung gebracht habe, die ich kann"", sagte die Italienerin im ZDF, nachdem sie an einem Tor eingefädelt hatte und ausgeschieden war.","Méribel ""I am sad because I did not deliver the performance that I am capable of,"" said the Italian woman on ZDF, after she had taken a tumble at a goal and was eliminated.",1-2
272,Mädchen in Berlin vermisst: Wer hat Viktoriya gesehen?,Girl missing in Berlin: Who has seen Viktoriya?,1-2
281,"Personenbeschreibung: schlanke Gestalt braune Augen schwarze, lange Haare mit Pferdeschwanz bekleidet mit einer langen, schwarzen Jacke; dunkler Hose; rosa Stiefeletten und bunt gestreifter Schal trägt einen Rucksack Hinweise nimmt die Kriminalpolizei der Polizeidirektion 1 (Nord) unter der Rufnummer (030) 4664 171 100 oder jede andere Polizeidienststelle entgegen.","Physical description: slim figure brown eyes black, long hair in a ponytail wearing a long, black jacket; dark pants; pink ankle boots and a colorful striped scarf wears a backpack Information is accepted by the criminal police of the police directorate 1 (north) at the telephone number (030) 4664 171 100 or any other police station.",2-1
282,Selenskyj und Minister gegen Russlands Olympia-Teilnahme Kiew.,Selenskyj and ministers against Russia's Olympic participation. Kyiv.,1-2
285,"""Wir fordern den Ausschluss russischer und belarussischer Sportler von allen internationalen Wettbewerben, einschließlich der Olympischen Spiele, solange der Krieg in der Ukraine andauert"", sagte Ministerin Jurgita Šiugždinienė. Die Video-Beratung hatte auf Initiative von Großbritannien stattgefunden.","""We demand the exclusion of Russian and Belarusian athletes from all international competitions, including the Olympic Games, as long as the war in Ukraine continues,"" Minister Jurgita Šiugždinienė said. The video consultation had taken place at the initiative of Great Britain.",1-2
294,"Die Ukraine sieht Belarus ebenfalls als Kriegspartei, weil das Land den russischen Truppen Militärbasen für Angriffe zur Verfügung stellt.",Ukraine also sees Belarus as a belligerent party because the country provides military bases for attacks by Russian troops.,1-2
309,"IOC-Präsident Thomas Bach hatte jüngst erklärt, ein Ausschluss ""wegen eines Passes oder des Geburtsorts"" verstoße gegen das Diskriminierungsverbot.","IOC President Thomas Bach recently stated that an exclusion ""based on a passport or place of birth"" would violate the prohibition of discrimination.",1-2
313,USA sehen Moskaus Panzerbestand stark dezimiert,USA sees Moscow's tank inventory significantly decimated.,1-2
322,Die USA haben ebenfalls ein Bataillon aus 31 Kampfpanzer vom Typ Abrams zugesagt. Ihre Lieferung dauert jedoch aller Voraussicht nach wesentlich länger.,"The United States has also pledged a battalion of 31 Abrams combat tanks; however, their delivery is expected to take significantly longer.",2-1
323,Russland will Nachlegen Als Reaktion auf die westlichen Militärhilfen stellte Ex-Kremlchef Dmitri Medwedew den Bau und die Modernisierung von Tausenden Panzern in Aussicht.,"Russia wants to follow up In response to Western military aid, former Kremlin leader Dmitry Medvedev promised the construction and modernization of thousands of tanks.",1-2
328,"Wirbel um Postenbesetzung bei Heer Denn der Posten, den künftig der frühere Direktor des Heeresgeschichtlichen Museums (HGM) Christian Ortner bekleiden wird, war nicht ausgeschrieben.","Controversy surrounding appointment in the army. Because the position that Christian Ortner, former director of the Military History Museum (HGM), will assume in the future was not advertised.",1-2
330,Verteidigungsministerin Klaudia Tanner (ÖVP) verteidigt das Vorgehen.,Defense Minister Klaudia Tanner (ÖVP) defends the procedure.,1-2
343,Karneval: Erste Narren gehen vor Kosten in die Knie Thüringens Karnevalshochburg Wasungen will anders als die Landeshauptstadt am traditionellen Faschingsumzug festhalten.,"Carnival: First fools buckle under costs. Thuringia's carnival stronghold Wasungen wants to stick to the traditional carnival parade, unlike the state capital.",1-3
