id,source,target,n2m
1,Celui qui est sous ma joue est un manuscrit d'amour : c'est l'histoire d'un mec qui rencontre une fille mais il est marié et elle a un copain...,私の頬の下にあるのは、恋愛小説の原稿。 男と女が出会い、男は結婚していて、女には彼氏がいるという物語。。。,1-2
14,"On dirait : "" Il est mort comme il a vécu, parmi les livres, en lisant ! "" et, en vérité, je serais mort en rêvant à rien.",生きているときそのままに、本に囲まれ、本を読みながら、彼は死んだ! と人は言うだろうし、実際、私は夢見ながら死ぬことはないだろう。,1-2
27,Entrez. Elle entre.,どうぞ 入ってくる。,2-1
29,"J'ai aussitôt une bouffée de nostalgie, la nostalgie du temps où la maison était encore si petite que je reconnaissais toutes les filles par leurs mollets dans les couloirs.",にわかに懐かしさが湧き上がってくる。 社がまだ小さく、廊下を歩く脚を見ればどの娘かわかった頃の郷愁。,1-2
39,"Vous savez, nous les stagiaires, on abat tellement de boulot qu'on a intérêt à être polyvalents. Vous voulez une augmentation ?",だって、私たち研修生はたくさんの仕事をこなして、多様な能力を身につけることが本分ですから 給料を上げてもらいたいのかね?,2-1
40,"Non, je ne gagne rien. Elle est assez décoiffée, me semble-t-il, trouée au jean, colorée du reste.",いいえ、まだ無給です 私が見るところ、彼女の髪はかなり乱れていて、穴の開いたジーンズをはき、表情は生き生きとしている。,2-1
45,Métiers du livre la machine à fabriquer mille Gaston Gallimard par an pour mieux les broyer ensuite ?,今流行りの本作り専攻だろうか? ぶれるのを承知で、年に何千ものガストン・ガリマール（文芸出版社ガリマール書店の創業者）を生み出すマシン。,1-2
50,"Obligatoire. Et qu'est-ce que vous faites dans mon bureau, si ce n'est pas indiscret ?",必修なんです では、社長室まで何をしに来たのかね、不躾とは言わないが 会長のムニエさんに言われて。。。,2-1
51,"C'est monsieur Meunier, le grand patron, qui m'a dit de... Le grand patron ? Meunier ? Vous ne le connaissez pas ?",会長? ムニエ? ご存じないんですか?,1-3
52,"Trop bien. Non, gestion d'entreprises culturelles. Vraiment ? Et vous voulez gérer l'édition ?",知りすぎているくらいだ いいえ、文化企業経営専攻です え、そうなの?きみは出版社を経営したいのか?,4-1
53,"Je vous souhaite bonne chance. Je préférerais organiser des concerts. Asseyez-vous. Il faut que j'y aille, c'est vendredi.",それなら幸運を祈るよ できれば、コンサートの企画をやりたいんです ま、おかけなさい 帰らなければならないんですけど、金曜日ですから。,4-1
54,Il est tard. Cinq minutes.,時間も遅いし 五分でいい。,2-1
56,"Oui, c'est bien, la musique. Longtemps j'ai croisé les pieds dessus pour un peu de détente, d'élévation, pour un peu plus de sang au cerveau, maintenant, il m'arrive de plus en plus souvent d'y poser la tête, surtout le soir, surtout le vendredi soir.",ええ、音楽はいいですよ 長いこと、私は少しでもリラックスし、気分を高め、脳にできるだけ多くの血液を送り込もうとして、交差させた両足を机の端に上げるのを習慣にしてきたのだが、今では、とくに夜、それも金曜の夜は、そこに顔を伏せることが多くなっている。,2-1
57,"Je croise les bras sur le manuscrit ouvert et je pose ma tête dessus, le front sur l'avant-bras et la joue sur le texte frais.",広げた原稿の上に両腕を重ね、顔を載せるのである。 額は前腕に、頬は書き上がったばかりの原稿に押しあてる。,1-2
63,"J'écoute mon cœur, mon vieux cœur du vendredi, mon vieux cœur dans le silence de la maison.",私は自分の心臓の音に耳をすます。 金曜日の、私の老いた心臓、静まり返った社内に響く心臓の音。,1-2
64,"À cette heure, tout le monde est parti, je reste seul à bord, rincé, parce que je n'ai pas le courage de dresser la tour des manuscrits que je dois emporter pour le week-end.",この時刻、みな出払い、私だけが居残って途方に暮れている。 週末に持ち帰らざるをえない原稿をより分ける勇気がないからだ。,1-2
68,"Et qu'est-ce que c'est, ça ?",いったい何かね、 これは?,1-2
70,Il m'a dit qu'il avait mis tous vos manuscrits dedans pour le week-end et que ça vous ferait moins lourd.,週末に読む原稿をここに全部入れておいたって言ってました。 このほうがかさばらないからって。,1-2
