id,source,target,n2m
3,"Брелоки и перстень на мизинце плохо вязались с письмом ради куска хлеба, да и по лицу Камышева пробежала чуть заметная, уловимая опытным глазом тучка, которую можно видеть на лицах только редко лгущих людей.",小指に縫い合わせた指輪と懐中が、少し不自然に、稍重症的に見えた。 そして、カムышェフの顔には、経験豊かな目でしか見えない、些かの不安定な表情があった。,1-2
4,Какой сюжет вашей повести? спросил я.,あなたの物語はどんなストーリー? と尋ねた。,1-2
6,Как бы вам сказать? Сюжет не новый...,ある意味、新しいわけではありません。。。,2-1
8,"Да вы прочтете, увидите... ""Из записок судебного следователя""...",ですが、読んでみて、見て下さい裁判官の手記。。。,2-1
13,,そして、彼は私に対して、彼の話を聞いてくれるよう頼んだ。,0-1
14,"И если вы, минуя достоинства, напечатаете мою повесть, то сделаете мне больше, чем одолжение... Вы поможете мне...",あなたが、私の物語を印刷してくれると、私に大きなお返しをしてくれることができます。,2-1
19,"Желающий попасть в начинающие сел и продолжал, глядя на пол своими умоляющими глазами:",,1-0
21,"Я вам откровенно скажу, г. редактор: написал я свою повесть не для авторской славы и не для звуков сладких...",私は編集長さんに素直に話します。 作者の名声や甘い言葉には興味がありません。,1-2
25,Я теперь решительно никаких не имею занятий.,,1-0
29,Я отниму у вас одну только минуту! продолжал мой герой извиняющимся голосом.,私に1分だけお願いします! 私のヒーローは謙虚な声で続けた。,1-2
33,"Перед вами стоит желающий попасть в начинающие, несмотря на свои под сорок. Но лучше поздно, чем никогда.",書き手としての夢を追いかけるために、四十代ですが、遅くとも良いですね。,2-1
36,"Извините, ради бога! начал он мягким, сочным баритоном.",すみません、神よ!と始まり、彼は軟らかいバリトンで話し始めた。,2-1
39,"Но видите ли, в чем дело, г. редактор: я завтра уезжаю в Одессу по одному очень важному делу...",と。 ですが、この件は大切なことで、私は明日オデッサに行く必要があります。,1-2
43,"Говорят, что мягкие волосы служат признаком мягкой, нежной, ""шёлковой"" души...",,1-0
48,"За дверную ручку или за шляпу он берется, как за бабочку: нежно, осторожно, слегка касаясь пальцами.",彼は、猫を持つようにドアの握りや帽子を取り揃える。 gentlemanとしての優雅さを示す。,1-2
50,"Глядя на него, забываешь, что он могуч, как Голиаф, что одной рукой может поднять он то, чего не поднять пяти редакционным Андреям. Глядя на его легкие движения, не верится, что он силен и тяжел.",彼が持つ力があまりにも強く，5人も編集者アンドレイでも持ち上げられないも含むこと可有能だから錠剤常見表情料信じていますサービス問題すぎます中具合思考ため安心してくださいそれ程お金通じて手段機能具合参訳内丹心が実際には強く重いことが信じられない。,2-1
65,"Его большое мускулистое лицо осталось навсегда в моей памяти. На этом лице вы увидите настоящий греческий нос с горбинкой, тонкие губы и хорошие голубые глаза, в которых светятся доброта и еще что-то, чему трудно подобрать подходящее название. Это ""что-то"" можно подметить в глазах маленьких животных, когда они тоскуют или когда им больно. Что-то умоляющее, детское, безропотно терпящее...",彼の大きな筋肉質の顔は、本当のギリシャの鼻、細い唇、そして優しい青色の眼を持っています。,4-1
73,"В один из апрельских полудней 1880 года в мой кабинет вошел сторож Андрей и таинственно доложил мне, что в редакцию явился какой-то господин и убедительно просит свидания с редактором.",1880年4月のある日、私のオフィスに警備員のアンドレイが訪れ、謎めいたように私に報告した。 編集長に会いたいという、ある紳士が訪れたのです。,1-2
76,"Скажи, что редактор принимает только по субботам.",編集長は土曜日にのみ会います。 その日には自由にないとのことです。 私は言った。,1-3
77,"Он и третьего дня приходил, вас спрашивал.",彼が三日目に来たのですか? 私は尋ねた。,1-2
78,"Говорит, что дело большое. Просит и чуть не плачет.",大事なことがあり、彼は涙を流しています。,2-1
80,Прикажете принять?,私は考えた。 彼を受け入れるように,1-2
