id,source,target,n2m
1,"Alles zu vergessen, ist gewiss schlimm. Noch schlimmer ist, nichts zu vergessen, wird doch jedes Wissen erst durch Vergessen erzeugt. Wenn alles unterschiedslos gespeichert ist, wie auf den elektrische Energie verbrauchenden Datenspeichern, verliert es seine Bedeutung und wird zu einer ungeordneten Ansammlung unbrauchbarer Information. Ein Gedächtnis, das alles bewahrte, bewahrte im Grunde nichts.","全てを忘れることは、確かに悪いです。 日常のことは、忘れることで、実際には知識を生成するのです。 全ての情報が同じように保存されている場合、その意味となることが失われ、不組織的な情報の塊となってしまう。 一つの記憶、すべてを保存したけれど、基本的には何も保存していない。 そのカリフォルニア人、5歳からの日々を個別に覚えているのは、 mnemonics を使わないです。 ""1980年2月、自分たちの思い出の中で幾度となく落という過去の記憶に閉ざされた状態で、アテナイの将軍テミストクレスが、彼の故郷の各個市民の名前を暗唱し、記憶術の達人シモニデスに語りかけた私は、忘却の技術を学びたいと思うのです。",4-1
2,"Jene Kalifornierin, die sich ohne Mnemotechnik jeden einzelnen Tag seit dem 5. Februar 1980 vergegenwärtigen kann, ist gefangen im Echoraum ihrer fortwährend auf sie einstürzenden Erinnerungen eine Wiedergängerin jenes attischen Feldherrn Themistokles, der jeden einzelnen Bürger seiner Heimatstadt mit Namen zu nennen wusste und der dem Mnemoniker Simonides ausrichten ließ, eher begehre er die Kunst des Vergessens als die des Gedächtnisses zu erlernen: ""Auch was ich nicht in der Erinnerung behalten will, das behalte ich; was ich jedoch vergessen will, das kann ich nicht vergessen.""",それよりも、記憶の技術を学びたいと思わないと述べた。,2-1
3,"Eine Vergessenskunst ist aber ein Ding der Unmöglichkeit, weil alle Zeichen Anwesenheiten darstellen, selbst wenn sie auf Abwesenheiten verweisen. Beinahe jeden, den im Römischen Reich der Bann der damnatio memoriae traf, behaupten die Enzyklopädien mit Namen zu kennen. Der Freitod erscheint vielleicht als die radikalste Maßnahme, über die Ungewissheit der Zukunft zu triumphieren, freilich zum Preis einer verkürzten Existenz.",""" あることを忘れる技術は不可能です、なぜならすべての記号は存在を表しているからです、彼らが不在を指している場合でさえも。 ローマ帝国の禁忌の対象となった者の名前を、百科事典は多く主張しています。 自殺は、将来の不確実性に対する最も極的な手段として現れるかもしれません。 その代償として、短い生存期間を持つことになります。",3-2
4,"Es wird berichtet, dass zu den Geschenken jener indischen Gesandtschaft, die Augustus einst auf der Insel Samos empfing, nicht nur ein Tiger und ein armloser Jüngling, der seine Füße wie Hände zu benutzen wusste, gehörten, sondern auch ein Mann namens Zarmaros aus der Kaste der Brahmanen, der sein Leben selbst zu beenden gedachte, gerade weil es so verlaufen sei wie gewünscht.",Augustusがかつてサモス島で受けたインドの使節団の贈り物には、ただのトラと、手の代わりに足を使うことができる青年だけでなく、 Brahmanenのカーストに属するZarmarosという人物も含まれていたとされています。 彼は、その生き方が望んでいたように進んでいたため、自分の命を終えることを考えていたということです。,1-2
5,"Um sicherzustellen, dass ihm nicht doch noch etwas Unvorhergesehenes zustieß, sprang er in Athen lachend, nackt und gesalbt ins Feuer, verbrannte zweifellos qualvoll bei lebendigem Leib und ging mit der Inszenierung seines selbstbestimmten Todes in die Geschichte ein, wenn auch nur als kuriose Anekdote in einem Band jener einst achtzig Bücher umfassenden Römischen Geschichte des Cassius Dio, dessen Inhalt zufällig überliefert wurde.",彼は、 Athens で笑いながら、裸で、油を塗って火に飛び込み、痛ましい方法で生きたまま焼かれて、自分自身の死を演出した。 彼の行為は、 Cassius Dio の80巻のローマ史の中の一つの奇怪なエピソードとして残り、偶然にも保存された。,1-2
8,"Die Frage, was wohl werden wird, dürfte kaum jünger sein als die Menschheit selbst, besteht doch eine so unabdingbare wie beunruhigende Eigenschaft der Zukunft darin, dass sie sich der Vorhersehbarkeit entzieht und damit auch Zeitpunkt und Umstände des Todes im Dunkeln lässt.",将来のことは、人類よりも若いことはありませんでしょう。 なぜなら、将来には、予測不可能であるという不安定な特徴があり、それによって死の時期や状況が不明確になります。,1-2
9,"Wer kennt nicht den Abwehrzauber des süßbittren Vorausleidens, den fatalen Drang, das Befürchtete durch gedankliche Vorwegnahme verhindern zu wollen?",皆さんは、甘い前拒絶の防御魔法を知っていますか? その致命的な衝動を、思考的に先に起こることで、恐れられる出来事を防ごうとする気持ちを。,1-2
10,"Man ahnt die Verheerungen voraus, imaginiert mögliche Katastrophen und wähnt sich so vor bösen Überraschungen gefeit.",その人は、将来の災害を予感しています。 可能な災害のシナリオを想像し、それによって自分自身を悪い驚きから守りたいと考えています。,1-2
19,"Unstrittig ist, dass der Tod und das mit ihm einhergehende Problem, wie mit der plötzlichen Abwesenheit eines Menschen bei gleichzeitiger Anwesenheit seiner Hinterlassenschaften, vom Leichnam bis zum herrenlosen Hab und Gut, umzugehen ist, im Laufe der Zeit Antworten gefordert und Handlungen provoziert hat, deren Bedeutung ihren bloßen Zweck übersteigen und unsere frühen Ahnen aus der Sphäre des Animalischen in die des Menschlichen treten ließ.",確かに、死と、人の突然の不在と共にその所有物が残る問題は、過去の時間の中で答えを求めることを促し、そのための行動を引き起こした。 それらの意味は、単なる目的を超えて、我々の祖先を動物的な領域から人間的な領域に移行させた。,1-2
20,"Die sterblichen Reste von Artgenossen nicht einfach den natürlichen Zersetzungprozessen zu überantworten, gilt gemeinhin als eine Eigenart des Menschen, obwohl sich vergleichbares Verhalten auch bei anderen höheren Tieren beobachten lässt:",人類が、自然の分解プロセスによって生物の死体を単に任せることを一般的には、人間独特の特徴と考えられています。 しかし、他の高等動物でも同様の行動が観察されることがあります。,1-2
