id,source,target,n2m
5,"""Käse, bitte"", sagte ich, ""was hast du denn?"" ""Nichts"", flötete Selma, ""hab ich doch gesagt.""",Poproszę z serem. Ale co ci jest? Nic zaszczebiotała znów Selma. Przecież mówiłam.,1-4
12,"""Was soll es denn sonst gewesen sein"", sagte Selma, und dass man ein Okapi ja nur schwerlich mit einem anderen Tier verwechseln könne.",A cóż by innego? odparła Selma. Trudno przecież pomylić okapi z innym zwierzęciem.,1-2
13,"""Doch"", sagte ich, es könne ja auch ein verwachsenes Rind gewesen sein, eine falsch zusammengesetzte Giraffe, eine Laune der Natur, und die Streifen und das Rostrote, das könne man doch alles nicht so genau erkennen in der Nacht, da sei schließlich alles sehr verschwommen.","Ale to mogła być przecież jakaś przerośnięta krowa albo żyrafa złożona z niewłaściwych kawałków, taki kaprys natury, a co do pasów i rudego odcienia, to przecież w nocy nie da się zobaczyć wszystkiego aż tak dokładnie. Po ciemku wszystko całkiem się rozmywa.",1-2
14,"""Das ist doch Quatsch"", sagte Selma und rieb sich die Stirn, ""das ist doch leider Quatsch, Luise.""","Co za bzdura fuknęła Selma i potarła sobie czoło. To niestety kompletna bzdura, Luizo.",1-2
24,"Das gelang sehr gut, sodass ich im zweiten Schuljahr nichts mehr aufzählte und Martin, mit dem Rücken zum Fenster und geschlossenen Augen, fast alles aufsagen konnte, was ich durch das beschlagene Zugfenster gerade sah: ""Drahtfabrik"", sagte er, genau in dem Moment, als wir an der Drahtfabrik vorbeifuhren.","Szło to całkiem nieźle i w drugiej klasie nic już nie musiałam podpowiadać, a Martin, stojąc z zamkniętymi oczami tyłem do okna, umiał wymienić prawie wszystko to, co akurat widziałam przez zaparowane okno pociągu. Fabryka drutu powiedział dokładnie w momencie, kiedy mijaliśmy fabrykę drutu.",1-2
28,Wald. Wald. Hochsitz eins.,Las. Las. Ambona pierwsza.,3-1
29,Feld. Wald. Wiese.,Pole. Las. Pastwisko.,3-1
31,Reifenfabrik. Dorf. Weide.,Fabryka opon. Wieś. Łąka.,2-1
34,Waldstück. Hof.,Zagajnik. Zagroda.,2-1
36,Wald. Hochsitz drei.,Las. Ambona trzecia.,2-1
41,"""Selbstverständlich"", würde Bauer Häubel sagen, ""treten Sie doch ein"", und der Tod würde eintreten.","""Oczywiście powiedziałby rolnik Häubel proszę, niechże pani wejdzie"". Na co śmierć przestąpiłaby próg.",1-2
50,"Sie schaute lange auf den Hund. Dann sah sie meinen Vater an, als sei er ein Geschenkideengeschäft.","Długo przypatrywała się psu, a potem spojrzała na ojca, jakby był sklepikiem z pamiątkami.",2-1
51,"""Klappe halten"", sagte der Optiker noch einmal lauter und ging schneller, ""Selma findet nur sehr selten etwas bedrohlich oder unansehnlich.""","Morda w kubeł! powtórzył głośniej Optyk i przyspieszył kroku. Selma bardzo rzadko uważa, że coś jest groźne lub nieapetyczne.",1-2
55,"""Besonnenheit war das"", sagten die Stimmen, ""Angst ist ja manchmal doch ein guter Ratgeber"", sagten sie und summten die Titelmelodie der Vorabendserie.",To z roztropności skontrowały głosy. Strach jest niekiedy dobrym doradcą dodały i zanuciły melodię z amerykańskiego serialu.,1-2
58,"Auch das Schwimmen hatten Selma und der Optiker uns beigebracht, sie hatten im Nichtschwimmerbecken gestanden, beide bis zum Bauchnabel im Wasser, Selma trug eine große violette Rüschen-Badehaube, die aussah wie eine Hortensie und die sie sich von Elsbeth geliehen hatte, damit Rudi Carrells Frisur nichts geschah.","Selma i Optyk nauczyli nas także pływać. Stali oboje w brodziku po pępek w wodzie, Selma miała na głowie duży fioletowy czepek z koronkami, który przypominał hortensję, pożyczyła go od Elsbeth, żeby uchronić fryzurę Rudiego Carrella.",1-2
