id,source,translation
1,"Police arrest 15 after violent protest outside
",Polizei nimmt 15 Personen nach gewalttätigen Protesten im Freien fest
2,"UK refugee hotel
",Hotel für Flüchtlinge in Großbritannien
3,"The incident comes after increase in numbers of refugees and asylum seekers crossing the Channel to the UK in boats.
","Der Vorfall erfolgt nach einem Anstieg der Zahlen von Flüchtlingen und Asylsuchenden, die den Ärmelkanal in Booten zur UK überqueren."
4,"Police have arrested 15 people after an anti-refugee demonstration outside a hotel used to house asylum seekers turned violent near the English city of Liverpool.
","Die Polizei hat 15 Personen nach einer gewalttätigen Anti-Flüchtlingsdemonstration außerhalb eines Hotels festgenommen, das zur Unterbringung von Asylbewerbern in der Nähe der englischen Stadt Liverpool genutzt wird."
5,"The Merseyside Police department said a police officer and two civilians sustained minor injuries during the disturbance on Friday night in Knowsley.
","Die Polizeiabteilung Merseyside gab an, dass ein Polizist und zwei Zivilisten am Freitagabend während einer Störung in Knowsley leichte Verletzungen erlitten haben."
6,"The police force said some protesters threw objects and set a police van on fire.
","Die Polizei gab an, dass einige Demonstranten Gegenstände warfen und einen Polizeiwagen in Brand setzten."
7,"The people arrested, who ranged in age from 13 to 54, were detained ""following violent disorder.""
","Die festgenommenen Personen, deren Alter zwischen 13 und 54 Jahren lag, wurden ""nach gewalttätigen Ausschreitungen"" in Gewahrsam genommen."
8,"Merseyside police commissioner Emily Spurrell told Radio City, ""It was incredibly dangerous and there were a couple of injuries amongst the police officers.""
","Die Polizeikommissarin von Merseyside, Emily Spurrell, sagte gegenüber Radio City: ""Es war unglaublich gefährlich und es gab ein paar Verletzungen unter den Polizeibeamten."""
9,"The Home Office has been using the hotel to temporarily house asylum seekers since last year, according to local media.
","Das Innenministerium nutzt das Hotel seit letztem Jahr als vorübergehende Unterkunft für Asylsuchende, laut lokalen Medienberichten."
10,"George Howarth, who represents Knowsley in the UK Parliament, said the violence on Friday night did not reflect the community.
","George Howarth, der Knowsley im britischen Parlament vertritt, sagte, dass die Gewalt am Freitagabend nicht die Gemeinschaft widerspiegelt."
11,"""The people of Knowsley are not bigots and are welcoming to people escaping from some of the most dangerous places in the world in search of a place of safety,"" he said.
","""Die Menschen in Knowsley sind keine Fanatiker und heißen Menschen willkommen, die aus einigen der gefährlichsten Orte der Welt fliehen, um einen sicheren Ort zu suchen"", sagte er."
12,"""Those demonstrating against refugees at this protest tonight do not represent this community.""
","Diejenigen, die bei dieser Protestaktion heute Abend gegen Flüchtlinge demonstrieren, repräsentieren nicht diese Gemeinschaft."
13,"The protest took place amid heightened tensions as growing numbers of refugees and migrants cross the Channel in small boats.
","Der Protest fand unter verschärften Spannungen statt, da immer mehr Flüchtlinge und Migranten den Kanal in kleinen Booten überqueren."
14,"More than 45,000 people reached the UK by that route in 2022, and most applied for asylum.
","Mehr als 45.000 Menschen erreichten das Vereinigte Königreich auf diesem Weg im Jahr 2022, und die meisten stellten einen Asylantrag."
15,"The system for considering asylum applications has slowed to a crawl because of political turmoil and bureaucratic delays, leaving many asylum seekers stuck in hotels or other temporary accommodations.
","Das System zur Prüfung von Asylanträgen ist aufgrund politischer Unruhen und bürokratischer Verzögerungen nahezu zum Stillstand gekommen, wodurch viele Asylsuchende in Hotels oder anderen provisorischen Unterkünften feststecken."
16,"The Channel crossings have become a political issue, with the Conservative government promising to ""stop the boats"" and pursuing a plan to send such asylum seekers to Rwanda.
","Die Überquerungen des Ärmelkanals sind zu einem politischen Thema geworden, da die konservative Regierung verspricht, ""die Boote zu stoppen"" und einen Plan verfolgt, solche Asylsuchende nach Ruanda zu schicken."
17,"Opponents have accused the government of demonising desperate people fleeing war and poverty.
","Gegner haben der Regierung vorgeworfen, verzweifelte Menschen, die vor Krieg und Armut fliehen, zu dämonisieren."
18,"President's Cup: Candystripes defeat
",Präsidentenpokal: Candystripes besiegen
19,"Rovers in season opener at Brandywell
",Rovers im Saisonauftakt bei Brandywell
20,"Derry midfielder Adam
",Derry-Mittelfeldspieler Adam
21,"Reilly closes down Lee Grace at the Brandywell
",Reilly schließt Lee Grace in der Brandywell ab
22,"Derry City emerged victorious in the President's Cup as they ran out 2-0 winners over Shamrock Rovers.
","Derry City ging als Sieger aus dem President's Cup hervor, da sie mit 2:0 gegen Shamrock Rovers gewannen."
23,"The FAI Cup holders defeated last season's league winners at the Brandywell thanks to first-half goals from Will Patching and Michael Duffy.
",Die FAI Cup-Sieger besiegten die Ligagewinner der letzten Saison im Brandywell dank Toren in der ersten Halbzeit von Will Patching und Michael Duffy.
24,"The Hoops pushed to reduced terms in the second half but Ruaidhri Higgins' charges stood firm to win the curtain-raiser.
","Die Hoops drängten in der zweiten Hälfte auf reduzierte Bedingungen, aber Ruaidhri Higgins' Schützlinge hielten stand und gewannen das Auftaktspiel."
25,"Derry travel to St. Patrick's Athletic for the league opener next Friday.
",Derry reist nächsten Freitag zum Ligastart zu St. Patrick's Athletic.
26,"Patching's side-footed volley nudged Derry in front after 23 minutes the midfielder opened the scoring as the Foylesider's ran out 2-1 winners over the eventual champions last February.
","Patching's seitlicher Volley brachte Derry nach 23 Minuten in Führung, nachdem der Mittelfeldspieler die Punktzahl eröffnet hatte, als die Foylesider im letzten Februar mit 2:1 über die letztendlichen Meister gewannen."
27,"The Hoops went on to win the Premier Division by 13 points but Duffy soon had City further ahead with a long-range effort which managed to squirm under keeper Leon Pohls and into the net.
","Die Hoops gingen dazu über, die Premier Division mit 13 Punkten zu gewinnen, aber Duffy brachte City bald mit einem Fernschuss weiter nach vorne, der es schaffte, unter dem Torhüter Leon Pohls hindurch zu schlüpfen und ins Netz zu gehen."
28,"Last season's runners-up were two goals to good at the break.
",Die Zweitplatzierten der letzten Saison lagen in der Pause mit zwei Toren in Führung.
29,"Graham Burke went closest to reducing the arrears in the second period but the Candystripes were comfortable winners a week prior to their quest for national glory.
","Graham Burke kam in der zweiten Hälfte am nächsten dran, den Rückstand zu verringern, aber die Candystripes waren eine Woche vor ihrer Suche nach nationalem Ruhm komfortable Sieger."
30,"City boss Ruaidhri Higgins praised his team after what he said was the ""hardest week of my life"" following the death of his brother Kevin.
","Stadtchef Ruaidhri Higgins lobte sein Team, nachdem er sagte, es sei die ""schwerste Woche meines Lebens"" nach dem Tod seines Bruders Kevin."
31,"""It's a kick in the teeth and there's tough weeks ahead but we'll get on with it in his memory,"" said Higgins.
","""Es ist ein Schlag ins Gesicht und es kommen harte Wochen auf uns zu, aber wir werden in seinem Gedenken weitermachen"", sagte Higgins."
32,"""To beat Shamrock Rovers and deservedly so with a good performance is really pleasing.""
",Shamrock Rovers zu schlagen und das verdientermaßen mit einer guten Leistung ist wirklich erfreulich.
33,"DHS hires law firm to handle possible Alejandro Mayorkas impeachment proceedings
","DHS beauftragt Anwaltskanzlei, um mögliche Amtsenthebungsverfahren gegen Alejandro Mayorkas zu behandeln"
34,"The Department of Homeland Security has hired an outside law firm Debevoise & Plimpton to assist in possible impeachment proceedings for Secretary Alejandro Mayorkas, as he potentially faces charges by House Republicans regarding his handling of the southern border.
","Das Heimatschutzministerium hat die externe Anwaltskanzlei Debevoise & Plimpton beauftragt, bei möglichen Amtsenthebungsverfahren gegen den Sekretär Alejandro Mayorkas zu helfen, da er möglicherweise von den Republikanern im Repräsentantenhaus wegen seiner Handhabung der südlichen Grenze angeklagt wird."
35,"""The Department of Homeland Security has retained outside counsel to help ensure the Department's vital mission is not interrupted by the unprecedented, unjustified, and partisan impeachment efforts by some Members of Congress, who have already taken steps to initiate proceedings,"" a DHS spokesperson said in a statement Friday.
","""Das Ministerium für Innere Sicherheit hat externe Anwälte hinzugezogen, um sicherzustellen, dass die entscheidende Mission des Ministeriums nicht durch die beispiellosen, ungerechtfertigten und parteiischen Amtsenthebungsanstrengungen einiger Mitglieder des Kongresses unterbrochen wird, die bereits Schritte zur Einleitung von Verfahren eingeleitet haben"", sagte ein Sprecher des DHS am Freitag in einer Stellungnahme."
36,"""DHS will continue prioritizing its work to protect our country from terrorism, respond to natural disasters, and secure our borders while responding appropriately to the over 70 Congressional committees and subcommittees that have oversight of DHS.""
","""DHS wird seine Arbeit weiterhin priorisieren, um unser Land vor Terrorismus zu schützen, auf Naturkatastrophen zu reagieren und unsere Grenzen zu sichern, während es angemessen auf die über 70 Kongressausschüsse und Unterausschüsse reagiert, die die Aufsicht über DHS haben."""
37,"A DHS official tells CBS News the department has hired the firm for contracted work for the life of the congressional inquiry.
","Ein Beamter des DHS teilt CBS News mit, dass das Ministerium die Firma für Auftragsarbeiten für die Dauer der parlamentarischen Untersuchung eingestellt hat."
38,"Debevoise was chosen because of its expertise in impeachment and bipartisan experience in working with Congress on oversight.
",Debevoise wurde aufgrund seiner Expertise in Amtsenthebungsverfahren und der überparteilichen Erfahrung in der Zusammenarbeit mit dem Kongress bei der Überwachung ausgewählt.
39,"The Justice Department recently advised that the contract with Debevoise qualifies as an appropriate expenditure for DHS.
","Das Justizministerium hat kürzlich darauf hingewiesen, dass der Vertrag mit Debevoise als angemessene Ausgabe für das DHS gilt."
40,"DHS is trying to ensure that its mission isn't undermined by partisan attacks and that proceedings against Mayorkas are being handled by people with the appropriate expertise.
","Das DHS versucht sicherzustellen, dass seine Mission nicht durch parteiische Angriffe untergraben wird und dass Verfahren gegen Mayorkas von Personen mit der entsprechenden Fachkompetenz bearbeitet werden."
41,"Mayorkas has not commented on this development, but asked about the impeachment inquiry last Thursday, he told reporters, ""We will cooperate with this Congress, just as we did with the last Congress.
","Mayorkas hat sich bisher nicht zu dieser Entwicklung geäußert, aber auf die Frage nach der Amtsenthebungsuntersuchung letzten Donnerstag sagte er Reportern: ""Wir werden mit diesem Kongress zusammenarbeiten, genauso wie wir es mit dem letzten Kongress getan haben."
42,"I think that's our responsibility.""
","Ich denke, das ist unsere Verantwortung."
43,"He conceded that ""it will take time"" to comply with the House's investigation.
","Er räumte ein, dass ""es Zeit brauchen wird"", um mit der Untersuchung des Hauses zu kooperieren."
44,"""I will spend that time as will others and we will also not compromise the time that we spend in fulfilling our mission.""
","""Ich werde diese Zeit verbringen, wie auch andere, und wir werden auch nicht die Zeit beeinträchtigen, die wir damit verbringen, unsere Mission zu erfüllen."""
45,"A DHS senior official confirmed that Mayorkas has not yet met with his new outside counsel.
","Ein hochrangiger Beamter des DHS bestätigte, dass Mayorkas noch nicht mit seinem neuen externen Anwalt getroffen hat."
46,"Only one cabinet member has ever been impeached, Secretary of War William Belknap.
","Nur ein Kabinettsmitglied wurde jemals angeklagt, der Kriegsminister William Belknap."
47,"In 1876, Belknap, who served in President Ulysses S. Grant's administration, was accused of accepting bribes but was ultimately acquitted by the Senate.
","Im Jahr 1876 wurde Belknap, der in der Administration von Präsident Ulysses S. Grant diente, beschuldigt, Bestechungsgelder angenommen zu haben, wurde jedoch letztendlich vom Senat freigesprochen."
48,"Four teens charged in attack of 14-year-old who died of suicide after beating video was posted online
","Vier Jugendliche im Angriff auf 14-Jährigen angeklagt, der Selbstmord beging, nachdem das Video von der Prügelattacke online gestellt wurde."
