id,source,translation,n2m
1,"Tufts of cloud burned black before the sunrise, the horizon littered with the flotsam of old and rusted silhouettes.",紫煙が朝日の前に黒く燃え、地平線には古い、錆びたシルエットの残骸が散乱していた。,1-1
2,They were alone.,彼らは一人でした。,1-1
3,"Chemtrails, the farmer had said to Alec, early on their walk.",「ケムトレイル」、農夫はアレックに早い時間に言っていた。,1-1
4,"Other than this, he had been silent.",それ以外、彼は何も話さなかった。,1-1
5,"Fifty feet away, the field gave way to freshly tilled brown soil, forming mounds everywhere on the uneven earth.",50フィート先、野原は新しく耕された茶色の土壌に変わり、凹凸のある地面上に各所で小山が形成されていました。,1-1
6,Chalky rocks littered the plot in every direction.,白っぽい岩石が敷地全体にばら撒かれていました。,1-1
7,Each step in this place was as muddy and wet as the last.,この場所では一歩一歩が前回と同じように泥だらけで濡れていました。,1-1
8,"Further still, a thin metal fence marked the edge of the land, clots of wool decorating the wire like fairy lights where the sheep had once tried to break through.",さらに遠く、薄い金属製のフェンスが土地の端を示しており、羊たちがかつて突破しようと試みたワイヤーにはウールの塊が装飾のように付着しています。,1-1
9,He swatted another fly away from his face.,彼はまた別の蠅を自分の顔から追い払った。,1-1
10,"No, the farmer said. I'm a vegetarian.",「ない」、農夫は言った。,2-1
11,"Really? My wife tried doing that a few years back, and. No, the farmer said, and the conversation died.",「本当？私の妻は数年前にそれを試みたが、―」「ない」、農夫は言い、会話は終わりました。,3-1
12,"The world was still dark, even if only for a little while.",世界はまだ暗かった、ただし一時的にです。,1-1
13,The sun was almost free.,太陽はまだ自由になるところでした。,1-1
14,The day had almost begun.,その日はまだ始まっていなかった。,1-1
15,"They're selling up to live with family, so she says.",彼らは家族と一緒に暮らすために売りに出している、と彼女は言っている。,1-1
16,"I think I saw them in town a few times, Alec said.",「私は彼らを町で数回見たようなのですか？」エイルが言った。,1-1
17,"They were almost at the water tank, at the smile.",彼らは水タンクのそばにある笑顔に向かっていた。,1-1
18,"Were they the ones who made those wagon wheels? They'd mix sausage meat into a kind of well, kind of cinnamon swirl, I suppose.",「それらが車輪を作ったのは、そのような――おそらくシナモンスワイルのようなものを作っていたのですか？」 私は聞いた。,2-2
19,It's delicious.,「あれは美味しいですね。,1-1
20,Did you ever try one?,あなたは一つ試みたことがありますか？」,1-1
21,"Jean's moving out, the farmer said.",Jeanが引っ越している、農夫は言った。,1-1
22,"Did you know? Who? Jean. The lady who lives down the lane, the farmer said, frowning.",「知っている？」「誰？」「Jean…その下の路に住む女性、農夫は眉を寄せて言った。,4-1
23,"She's moving out, selling up her farm.",彼女は引っ越して、自分の農場を売りに出している。,1-1
24,"Oh yes, Jean. His voice drifted.",」「はい、Jean…」彼の声は漂った。,2-1
25,"I saw the sign. Alec had driven past it on the way here, a farm twice the size of this one, its animals and land and people in far better condition.",彼がその道を辿って来たとき、この農場の二倍の大きさの農場には、動物や土地や人々がずっと良い状態であり、名前を知らなかった。,2-1
26,He had not known the name. He knew few out here.,彼はここで知らない人々が多かった。,2-1
27,"One more reminder that he did not belong, he supposed.",彼にとっては、また一つの不 belongingを思い知らせるものであった。,1-1
28,"He gestured past a large, half-empty water tank around two hundred feet away, its translucent plastic grown stained with time, the smear of a smile where fluid had lapped within.",彼は、二百フィートもある半分以上の水槽に手を合わせた。 時間の経過で曇った透明なプラスチックに、液がうねり込んでいた笑顔の跡があった。,1-2
29,We found them near there.,「彼らはそこにあった」と彼は言った。,1-1
30,His face fell.,彼の顔は垂れ下がった。,1-1
31,Alec checked his watch.,アレックは時計を確認した。,1-1
32,7.06 a.m.,7時6分。,1-1
33,The sun would soon rise.,太陽はまもなく昇る。,1-1
34,"They kept on, the silence drowned out by the buzzing of the flies and the distant hellos of scraggly sheep out there in the semi-darkness.",彼らは先に進み、蠅のブザーと、その距離の不安定な羊たちの遠いこんにちはが闇の中で響いていた。,1-1
35,Alec grimaced.,アレックは咳を込めた。,1-1
36,"He stepped back, tensing before rushing over the ditch. He came down with a thud, right into the thick and gelatinous mud.",彼は荒れ地に戻り、泥の中に墜ち込んだ。,2-1
37,He splattered his black trouser legs and the farmer's jeans.,彼の黒いズボンの脚と農夫のジーンズが汚れた。,1-1
38,"The other man tutted, smiling.",他の男は呵护しながら笑った。,1-1
39,"What have we come to, eh?",「何かこんな状況に至ったのか？」,1-1
40,"Alec brushed at the muck around his ankles, but this only spread it further.",アレックは脚の周りの泥を擦り取ろうとしたが、それでも泥は広がっていった。,1-1
41,His palms grew filthy.,彼の手が汚れた。,1-1
42,The farmer walked on.,農夫は進んだ。,1-1
43,"Alec stared at the mud, and the farmer grinned, his cheeks ruddy beneath his dirty white beard.",アレックは泥を見つめていた。 農夫は笑っていた、髭の下の顔が汚れた白い髭で肉付きでした。,1-2
44,"With that thick wax coat and that gut and that voice, he could have been a lunatic Santa Claus.",その厚い蝋のコートとその腹とその声で、彼は狂ったサンタクロースになりえたのです。,1-1
45,"You won't fall, he said.",「あなたは落ちません」、彼は言った。,1-1
46,"Not afraid of a little dirt, are you, Sergeant Nichols? No. Yes.",「あなた、ニコルズ軍曹、恐れがありませんか？」「いいえ」、はい。,3-1
47,"I just hope you aren't wasting my time. And these flies. Alec swatted one away from his rolled-up sleeve, a great bulbous thing that had nestled on the hairs of his forearm.",「私の時間を無駄にしていると思われるのは嫌です。そして、これらの蠅。。。」アレックは巻き上げた袖に寄り添っていた大きな蠅を叩き追いました。,3-1
48,He was food for this whole place.,彼はこの場所の食料でした。,1-1
49,"Try covering up next time, the farmer said.",「次回、覆うようにしてみてください」、農夫は言った。,1-1
50,Where are they?,彼らはどこにいるのか？」,1-1
51,"Alec asked, shivering.",アレックは寒がりながら聞いた。,1-1
52,It was 6.55 a.m. He'd left his jacket in his patrol car.,その時午前6時55分で、彼のジャケットはパトロールカーに残っていた。,2-1
53,"There weren't any sheep over here, the farmer said, ignoring the question.",「ここに羊はいなかった」、農夫は質問を無視して言った。,1-1
54,"He leapt over the bank, his boots slipping slightly on the incline.",彼は傾斜した土手を飛び越え、ブーツが少し滑った。,1-1
55,They normally love coming over here.,「通常、ここに来るのが好きなのに」,1-1
56,"And now their torches revealed the edge of a bank, right before the crest of a shallow stream that cut through the farmer's reclaimed marshland.",そして、彼らのトーチは、農夫が埋め立てた湿地の境界の端を示していた、浅い流れの傾斜にある小川の端にあった。,1-1
57,"Along its muddy edge and all around, the reeds sang with flies and crickets and buntings.",その泥の縁と周りで、蚊とクリックとブンチングが歌っていた。,1-1
