id,source,target,n2m
1,"Ils embrayaient par comparaison sur la guerre d'avant, la Grande, celle de 14, gagnée, elle, dans le sang et la gloire, une guerre d'hommes que les femmes de la table écoutaient avec respect.","Porównywali tę wojnę do poprzedniej, tej Wielkiej, tej z 1914 roku, którą wygrano w krwi i chwale, męskiej wojny której kobiety przy stole słuchały z szacunkiem.",1-1
2,"Ils parlaient du Chemin des Dames et de Verdun, des gazés, des cloches du 11 novembre 1918.","Mówili o Chemin des Dames i Verdun, o ofiarach gazu bojowego i dzwonach 11 listopada 1918 roku.",1-1
3,Ils nommaient des villages dont pas un enfant parti au front n'était revenu.,Wymieniali nazwy wiosek z których żadne dziecko wysłane na front nie wróciło.,1-1
4,"Ils opposaient les soldats dans la boue des tranchées aux prisonniers de 40, au chaud et à l'abri pendant cinq ans, qui n'avaient même pas reçu de bombes sur la tête.","Przeciwstawiali żołnierzy tkwiących w błocie okopów do jeńców z 40 roku, którzy ciepło i bezpiecznie spędzili pięć lat lecz nawet nie dostali bomb na głowę.",1-1
5,Ils se disputaient l'héroïsme et le malheur.,Kłócili się o heroizm i nieszczęście.,1-1
6,"Mais ils ne parlaient que de ce qu'ils avaient vu, qui pouvait se revivre en mangeant et buvant.","Ale mówili tylko o tym, co widzieli, co mogło być przeżywane na nowo poprzez jedzenie i picie.",1-1
7,Ils n'avaient pas assez de talent ou de conviction pour parler de ce qu'ils savaient mais qu'ils n'avaient pas vu.,"Nie mieli wystarczająco talentu czy przekonania, aby mówić o tym, co wiedzieli, ale czego nie widzieli.",1-1
8,"Donc ni des enfants juifs montant dans des trains pour Auschwitz, ni des morts de faim ramassés au matin dans le ghetto de Varsovie, ni des 10 000 degrés à Hiroshima.","Więc ani o żydowskich dzieciach wsiadających do pociągów do Auschwitz, ani o umierających z głodu zgromadzonych rankiem w getcie warszawskim, ani o 10 000 stopniach w Hiroszimie.",1-1
9,"D'où cette impression que les cours d'histoire, les documentaires et les films, plus tard, ne dissiperaient pas : ni les fours crématoires ni la bombe atomique ne se situaient dans la même époque que le beurre au marché noir, les alertes et les descentes à la cave.","Stąd to poczucie, że lekcje historii, dokumenty i filmy nie rozwikłałyby tego później: ani krematoria, ani bomba atomowa nie były w tej samej epoce co masło na czarnym rynku, alarmy i schodzenie do piwnicy.",1-1
10,"Sous l'immuabilité, les affiches du cirque de l'année dernière avec la photo de Roger Lanzac, les images de première communion distribuées aux camarades, le Club des Chansonniers sur Radio Luxembourg, les jours se remplissaient de désirs nouveaux.","Pod niezmiennym obrazem wisiały plakaty z ubiegłorocznego cyrku ze zdjęciem Rogera Lanzaca, obrazy z pierwszej komunii rozdane kolegom, Klub Piosenkarzy na Radio Luxembourg, dni wypełniały się nowymi pragnieniami.",1-1
11,"Le dimanche après-midi, on s'agglutinait à la vitrine du magasin d'électricité générale devant la télévision.","W niedzielne popołudnie tłumy gromadziły się przy witrynie sklepu z ogólnymi artykułami elektrycznymi, oglądając telewizję.",1-1
12,Des cafés investissaient dans l'achat d'un poste pour attirer la clientèle.,"Kawiarnie inwestowały w zakup telewizora, aby przyciągnąć klientów.",1-1
13,Au flanc des collines serpentaient des pistes de motocross et l'on regardait monter et descendre les engins assourdissants la journée entière.,Na stokach wzgórz wiły się trasy motocrossowe i można było cały dzień patrzeć jak rosnące i malejące maszyny hałaśliwie sunęły wzwyż.,1-1
14,"L'impatience grandissante du commerce avec ses nouveaux mots d'ordre, « initiative », « dynamisme », secouait le train-train des villes.","Rosnąca niecierpliwość handlu ze swoimi nowymi hasłami: ""inicjatywa"", ""dynamizm"", wstrząsała codzienną rutyną miast.",1-1
15,"Entre la fête foraine et la kermesse, la Quinzaine commerciale s'installait comme rite de printemps.","Między targiem a kermessem, Dwa Tygodnie Handlowe zakotwiczało jako rytuał wiosenny.",1-1
16,"Dans les rues du centre, les haut-parleurs beuglaient des incitations à acheter, entrecoupées de chansons d'Annie Cordy et d'Eddie Constantine, pour gagner la Simca ou la salle à manger.","Na ulicach centrum głośniki wrzeszczały zachęty do kupowania przeplatane piosenkami Annie Cordy i Eddie Constantine'a, dla wygrania Simki lub jadalni.",1-1
17,"Sur le podium, place de la Mairie, un animateur local faisait rire avec les blagues de Roger Nicolas et de Jean Richard, rameutait des candidats pour le Crochet ou Quitte ou double, comme à la radio.",Na podium na Place de la Mairie lokalny prowadzący bawił publiczność dowcipami Rogera Nicolasa i Jeana Richarda oraz werbował kandydatów do gier Crochet czy Quitte ou double jak w radiu.,1-1
18,Assise dans un coin du podium trônait sous sa couronne la Reine du Commerce.,Siedząca w rogu podium pod swoją koroną Księżna Handlu.,1-1
19,La marchandise avançait sous les couleurs de la fête.,Towary przesuwały się pod barwami święta.,1-1
20,"Les gens disaient « ça change » ou « il ne faut pas s'encroûter, on s'abrutit à rester chez soi ».","Ludzie mówili ""to się zmienia"" lub ""nie należy odpoczywać, człowiek oszalał siedząc w domu"".",1-1
21,"De main en main passaient des photos brunies au dos taché par tous les doigts qui les avaient tenues dans d'autres repas, mélange de café et de graisse fondu en une couleur indéfinissable.","Z rąk do rąk przechodziły brunatne zdjęcia z tylnej strony poplamione przez wszystkie palce, które w innych posiłkach trzymały je, mieszankę kawy i tłuszczu stopionego w niezdefiniowany kolor.",1-1
22,"Dans les mariés raides et graves, les invités de la noce s'étageant sur plusieurs rangs le long d'un mur, on ne reconnaissait ni ses parents ni personne.","Na sztywnych i poważnych nowożeńcach, gościach ślubu rozlokowanych na kilku rzędach wzdłuż muru, nie rozpoznawano ani rodziców ani nikogo innego.",1-1
23,"Ce n'était pas soi non plus qu'on voyait dans le bébé de sexe indistinct à demi nu sur un coussin mais quelqu'un d'autre, une créature appartenant à un temps muet et inaccessible.","To także nie było własne odbicie, które widziano w niemowlęciu o nieokreślonej płci pół nago na poduszce, ale ktoś inny, stworzenie należące do niemego i niedostępnego czasu.",1-1
24,Récit familial et récit social c'est tout un.,Opowieść rodzinna i społeczna to jedno.,1-1
25,"Les voix des convives délimitaient les espaces de la jeunesse : la campagne et les fermes où, de mémoire perdue, les hommes avaient été commis et les filles servantes, l'usine où tous s'étaient rencontrés, fréquentés et mariés, les petits commerces où avaient accédé les plus ambitieux.","Głosy biesiadników wyznaczały przestrzenie młodości: wieś i gospodarstwa, gdzie według zagubionej pamięci mężczyźni byli zatrudniani, a dziewczęta służyły, fabryka, gdzie wszyscy się spotkali, poznali i pobrali, małe sklepy do których dostęp mieli tylko najbardziej ambitni.",1-1
26,"Elles dessinaient des histoires sans événements personnels autres que les naissances, les mariages et les deuils, sans voyages en dehors du régiment dans une lointaine ville de garnison, des existences occupées par le travail, sa dureté et son usure, les menaces de la boisson.","Tworzyły historie bez innych osobistych wydarzeń niż narodziny, śluby i żałoby, bez podróży poza pułkiem w odległe garnizonowe miasto; istnienia zajęte pracą jej trudnością oraz zużyciem; groźbami alkoholizmu.",1-1
27,"L'école était un arrière-fond mythique, un bref âge d'or dont l'Instituteur avait été le dieu rude avec sa règle en fer pour taper sur les doigts.",Szkoła była mitycznym tłem jak krótki złoty wiek którego nauczyciel był surowym bogiem ze swoją metalową linijką do uderzania po palcach.,1-1
28,La frénésie qui avait suivi la Libération s'estompait.,"Szał, który nastąpił po Wyzwoleniu, zaczął zanikać.",1-1
29,Alors les gens ne pensaient qu'à sortir et le monde était plein de désirs à satisfaire sur-le-champ.,"Ludzie myśleli tylko o wyjściu na zewnątrz, a świat był pełen pragnień do natychmiastowego zaspokojenia.",1-1
30,"Tout ce qui constituait la première fois depuis la guerre provoquait la ruée, les bananes, les billets de la Loterie nationale, le feu d'artifice.","Wszystko co po raz pierwszy odbywało się od czasów wojny powodowało szturm banany, bilety Loterii Narodowej, fajerwerki.",1-1
31,"Par quartiers entiers, de la grand-mère soutenue par ses filles au nourrisson en landau, les gens se précipitaient à la fête foraine, à la retraite aux flambeaux, au cirque Bouglione où ils manquaient être piétinés dans la bousculade.","Całe dzielnice biegły na jarmarki od babci wspieranej przez córki do niemowlęcia w wózku: na rezygnację ze świecami, do cyrku Bouglione gdzie byli bliscy zostaniu stratowanymi w tłoku.",1-1
32,Ils se portaient en foule priante et chantante sur la route pour accueillir la statue de Notre-Dame de Boulogne et la reconduire le lendemain sur des kilomètres.,Zbierali się tłumem modlącym się i śpiewającym na drodze by przywitać statuę Najświętszej Maryi Panny z Boulogne i odprowadzić ją następnego dnia kilometrami dalej.,1-1
33,"Profane ou religieuse, toute occasion leur était bonne d'être au-dehors ensemble, comme s'ils voulaient continuer de vivre collectivement.",Świecki czy religijny pod każdym pretekstem chcieli być razem na dworze jak gdyby chcieli nadal wspólnie żyć.,1-1
34,"Le dimanche soir, les cars revenaient de la mer avec de grands jeunes gens en short qui chantaient à tue-tête, grimpés sur le toit à bagages.",W niedzielne wieczory autobusy wracały znad morza pełne młodych ludzi w szortach śpiewających głośno stojąc na dachu bagażowym.,1-1
35,Les chiens se promenaient en liberté et s'accouplaient au milieu de la rue.,Psy swobodnie spacerowywały i rozmnażały sie teraz nawet pośrodku ulicy.,1-1
36,"Les enfants n'écoutaient pas et se dépêchaient de quitter la table dès qu'ils en avaient reçu la permission, profitant de la bienveillance générale des jours de fête pour se livrer aux jeux interdits, sauter sur les lits et faire de la balançoire la tête en bas.","Dzieci nie słuchały i spieszyły się opuścić stół, jak tylko dostawały na to pozwolenie, korzystając z ogólnej życzliwości świątecznych dni, aby oddać się zabronionym grom, skakać na łóżkach i huśtać się do góry nogami.",1-1
37,Mais ils retenaient tout.,Ale zapamiętywały wszystko.,1-1
38,"À côté du temps fabuleux dont ils n'ordonneraient pas avant longtemps les épisodes, la Débâcle, l'Exode, l'Occupation, le Débarquement, la Victoire ils trouvaient terne celui, sans nom, où ils grandissaient.","Obok fantastycznego czasu którego odcinki, Klęska, Eksodusz, Okupacja, Lądowanie i Zwycięstwo nie posortują jeszcze przez długi czas ten bezimienny okres dorastania wydawał im się blady.",1-1
39,"Ils regrettaient de ne pas avoir été nés, ou à peine, quand il fallait partir en cohorte sur les routes et dormir sur la paille comme des bohémiens.","Żałowali, że nie urodzili się wcześniej lub ledwie zdążyli urodzić się w momencie kiedy trzeba było wyruszyć szeregami na drogi i spać na słomie jak cyganie.",1-1
40,De ce temps non vécu ils garderaient le regret tenace.,Za tym niewykorzystanym czasem będzie im ciągle ciągnęło.,1-1
41,La mémoire des autres leur refilait une nostalgie secrète pour cette époque qu'ils avaient manquée de si peu et l'espérance de la vivre un jour.,Cudze wspomnienia wpajały im tajemną nostalgię za tym okresem który przegapili tak niewiele a jednocześnie nadzieje że będą mogli go kiedyś przeżyć.,1-1
42,Les garçons étaient fiers de partir au régiment et on les trouvait beaux en soldats.,"Chłopcy byli dumni, że mogą dołączyć do regimentu, a wszyscy uważali ich za przystojnych w mundurach.",1-1
43,"Le soir du conseil de révision, ils faisaient la tournée des cafés pour célébrer la gloire d'être reconnus comme de vrais hommes.","W wieczór po zakończeniu przeglądu wojskowego chodzili po kawiarniach, aby świętować chwałę bycia uznawanym za prawdziwych mężczyzn.",1-1
44,"Avant le régiment, ils étaient encore des gamins et ne valaient rien sur le marché du travail et du mariage.",Przed regimentem byli jeszcze dziećmi i nie mieli żadnej wartości na rynku pracy i małżeństwa.,1-1
45,"Après, ils pourraient avoir une femme et des enfants.",Potem mogliby mieć żonę i dzieci.,1-1
46,L'uniforme qu'ils promenaient dans le quartier lors des permissions les enveloppait de beauté patriotique et de sacrifice virtuel.,"Mundur, który pokazywali w dzielnicy podczas urlopów otulał ich patriotyczną pięknością i potencjalnym poświęceniem.",1-1
47,"L'ombre des combattants vainqueurs, des GI, flottait autour d'eux.",Wokół nich unosiło się widmo zwycięskich żołnierzy GI.,1-1
48,"Le drap rêche de la vareuse, effleurée quand on se hissait sur la pointe des pieds pour les embrasser, matérialisait la coupure absolue entre l'univers des hommes et celui des femmes.","Szorstki materiał kurtki wojskowej, którym delikatnie dotykali się podnosząc na palce, aby je pocałować symbolizowała pełną różnicę między światem mężczyzn a kobiet.",1-1
49,À les voir on éprouvait un sentiment d'héroïsme.,Patrząc na nich czuło się poczucie heroizmu.,1-1
50,"Une autre photo, signée du même photographe mais le papier du livret est plus ordinaire et le liseré d'or a disparu —, sans doute vouée à la même distribution familiale, montre une petite fille d'environ quatre ans, sérieuse, presque triste malgré une bonne bouille rebondie sous des cheveux courts, séparés par une raie au milieu et tirés en arrière par des barrettes auxquelles sont attachés des rubans, comme des papillons.","Inne zdjęcie, podpisane przez tego samego fotografa ale papier broszury jest bardziej zwyczajny, a złoty brzeg zniknął bez wątpienia przeznaczone do tej samej dystrybucji rodzinnej, pokazuje małą dziewczynkę w wieku około czterech lat, poważną, prawie smutną mimo pulchnego pyska pod krótkimi włosami rozdzielonymi ścieżką pośrodku i zaciągniętymi do tyłu za pomocą spinek do których są przywiązane wstążki jak motyle.",1-1
51,"La main gauche repose sur la même table sculptée, entièrement visible, de style Louis XVI.","Lewa ręka spoczywa na tym samym rzeźbionym stole, całkowicie widocznym stylu Ludwika XVI.",1-1
52,"Elle apparaît boudinée dans son corsage, sa jupe à bretelles remonte par-devant à cause d'un ventre proéminent, peut-être signe de rachitisme (1944, environ).","Wygląda na tłustą w swoim gorsecie, jej spódnica na szelki jest podniesiona z przodu z powodu wydatnego brzucha być może oznakę krzywicy (ok. 1944).",1-1
53,"Deux autres petites photos à bords dentelés, datant vraisemblablement de la même année, montrent la même enfant, mais plus menue, dans une robe à volants et manches ballon.","Dwie kolejne małe zdjęcia o ząbkowanych krawędziach, prawdopodobnie wykonane w tym samym roku, przedstawiają tę samą dziewczynkę, ale szczuplejszą, w sukience z falbanami i balonowymi rękawami.",1-1
54,"Sur la première, elle se blottit de façon espiègle contre une femme au corps massif, d'un seul tenant dans une robe à larges rayures, les cheveux relevés en gros rouleaux.","Na pierwszym przylgnęła psotnie do masywnej kobiety, ubranej w szeroko prążkowaną sukienkę, której włosy splecione są w grube wałki.",1-1
55,"Sur l'autre, elle lève le poing gauche, le droit est retenu par la main d'un homme, grand, en veste claire et pantalon à pinces, à la posture nonchalante.","Na drugim podnosi lewą pięść, a prawą trzyma dłoń wysokiego mężczyzny, ubranego w jasną marynarkę i spodnie z kantem o nieformalnej postawie.",1-1
56,"Les deux photos ont été prises le même jour devant un muret surmonté d'une bordure de fleurs, dans une cour pavée.",Obie fotografie zostały zrobione tego samego dnia przed niskim murkiem ozdobionym kwiecistym obrzeżem na brukowanym dziedzińcu.,1-1
57,Au-dessus des têtes passe une corde à linge sur laquelle une épingle est restée accrochée.,Nad głowami przebiega sznur do prania na którym zawieszona jest jeszcze jedna klamra.,1-1
