id,source,translation,n2m
1,"Ils embrayaient par comparaison sur la guerre d'avant, la Grande, celle de 14, gagnée, elle, dans le sang et la gloire, une guerre d'hommes que les femmes de la table écoutaient avec respect.","Oni porównywali wojnę przednią, Wielką, tę z 14, wygraną, nią, w krwi i chwale, wojnę mężczyzn, którą kobiety z stołu słuchały z szacunkiem.",1-1
2,"Ils parlaient du Chemin des Dames et de Verdun, des gazés, des cloches du 11 novembre 1918.","Mówili o Szlaku Pamięci i Verdun, o gazach, dzwonkach 11 listopada 1918.",1-1
3,Ils nommaient des villages dont pas un enfant parti au front n'était revenu.,"Wymieniali nazwiska wsi, z której żaden chłopak po wyjechu na front nie wrócił.",1-1
4,"Ils opposaient les soldats dans la boue des tranchées aux prisonniers de 40, au chaud et à l'abri pendant cinq ans, qui n'avaient même pas reçu de bombes sur la tête.","Oporównywali żołnierzy w błocie okopów do jeńców 40, którzy przez pięć lat siedzieli w cieple i bezpieczeństwie, bez bomb na głowach.",1-1
5,Ils se disputaient l'héroïsme et le malheur.,Spierali o bohaterstwo i nieszczęście.,1-1
6,"Mais ils ne parlaient que de ce qu'ils avaient vu, qui pouvait se revivre en mangeant et buvant.","Ale jedynie rozmawiali o tym, co widzieli, co moglo zyzniec poprzez jedzenie i pijanie.",1-1
7,Ils n'avaient pas assez de talent ou de conviction pour parler de ce qu'ils savaient mais qu'ils n'avaient pas vu.,"Nie mieli oni wystarczajacego talentu czy przekonania, aby rozmawiac o tym, co wiedziali, ale nie widzieli.",1-1
8,"Donc ni des enfants juifs montant dans des trains pour Auschwitz, ni des morts de faim ramassés au matin dans le ghetto de Varsovie, ni des 10 000 degrés à Hiroshima.","Dlatego nie było dziesiatu tysiecy zmarlych z glodu w getcie warszawskim, nie było tam dzieci zydowskich wspinalacych sie do pociagow do Auschwitz, a takze nie bylo 10 000 stopni w Hiroshimie.",1-1
9,"D'où cette impression que les cours d'histoire, les documentaires et les films, plus tard, ne dissiperaient pas : ni les fours crématoires ni la bombe atomique ne se situaient dans la même époque que le beurre au marché noir, les alertes et les descentes à la cave.","Stąd ta impressja, ze lekcje historii, dokumenty i filmy nie rozjasniaja: ni piekarnikow, ni bomba atomowa nie byly w tej samej epokie co maslo na czarnym rynku, alarm i schody do piwnicy.",1-1
10,"Sous l'immuabilité, les affiches du cirque de l'année dernière avec la photo de Roger Lanzac, les images de première communion distribuées aux camarades, le Club des Chansonniers sur Radio Luxembourg, les jours se remplissaient de désirs nouveaux.","Pod immunitetą, plakaty z ostatniego roku z Rogerem Lanzacem, zdjęcia z pierwszej komunii rozdawano kolegom, Klub Piosenkarzy na Radio Luksemburgu, dni fillowały się nowymi pragnieniami.",1-1
11,"Le dimanche après-midi, on s'agglutinait à la vitrine du magasin d'électricité générale devant la télévision.","W niedzielę po południu tłumnictwo gromadziło się przed witryną sklepu z elektrycznością, oglądając telewizję.",1-1
12,Des cafés investissaient dans l'achat d'un poste pour attirer la clientèle.,"Kawiarnie inwestowały w zakup punktu, aby przyciągnąć klientelę.",1-1
13,Au flanc des collines serpentaient des pistes de motocross et l'on regardait monter et descendre les engins assourdissants la journée entière.,"Na stokach wężały się trasy motocrossu, a ludzie oglądały je całymi dniami.",1-1
14,"L'impatience grandissante du commerce avec ses nouveaux mots d'ordre, « initiative », « dynamisme », secouait le train-train des villes.","Rozpaczliwy handel z jego nowymi hasłami, ""inicjatywa"", ""dynamizm"", wstrząsał rytmem miast.",1-1
15,"Entre la fête foraine et la kermesse, la Quinzaine commerciale s'installait comme rite de printemps.","Między festynem i kermisą, Tydzień Handlowy zakładał się jak springowy rytuał.",1-1
16,"Dans les rues du centre, les haut-parleurs beuglaient des incitations à acheter, entrecoupées de chansons d'Annie Cordy et d'Eddie Constantine, pour gagner la Simca ou la salle à manger.","Na ulicach centrum, głośniki szumiały z apelami o zakupy, przerywanymi piosenkami Annie Cordy i Eddiego Constantine'a, aby wygrać Simcę lub salon.",1-1
17,"Sur le podium, place de la Mairie, un animateur local faisait rire avec les blagues de Roger Nicolas et de Jean Richard, rameutait des candidats pour le Crochet ou Quitte ou double, comme à la radio.","Na scenie, na placu merostwa,a lokalny animator rozbawiał blondynkami Rogera Nicolasa i Jeana Richarda,zwoływał kandydatów na Crochet lub Quitte ou double,jak w radiu.",1-1
18,Assise dans un coin du podium trônait sous sa couronne la Reine du Commerce.,Zasiadająca na tronie podium królowa Handlu rządziła pod swoim koronkiem.,1-1
19,La marchandise avançait sous les couleurs de la fête.,Towary postępowały pod flagą święta.,1-1
20,"Les gens disaient « ça change » ou « il ne faut pas s'encroûter, on s'abrutit à rester chez soi ».","Ludzie mówili: ""to change""lub ""nie trzeba utkwania,abymśmy się brutalnie starzeć w domu"".",1-1
