id,source,target,n2m
1,"Patrzy na rodzinę, same dziewczynki, matka z dzieckiem przy piersi zsiada właśnie niezgrabnie z fury i furman pogania ją, bo fura zaraz musi wracać po innych na przedmieścia.","He watches a family, all girls, as the mother with a child at her breast clumsily gets off the cart and the driver hurries her, for the cart has to go back to the suburbs to pick up others.",1-1
2,"Spada tobołek, który miała na plecach, i wysypuje się stamtąd trochę zszarzałych szmat i pojedynczy sznurek korali, drobnych, pociemniałych.","A bundle she had on her back falls and a few faded rags and a single string of beads, small and darkened, spill out of it.",1-1
3,"Kobieta zbiera je zawstydzona, jakby właśnie oczom świata odsłoniła swoje najniedostępniejsze sekrety.","The woman hastily gathers them, as if she had just exposed her most intimate secrets to the world.",1-1
4,"Deymowa mija ją i nagle podbiega do niej chłopczyk, może sześcio-, siedmioletni, i patrząc na nią uśmiechniętymi oczami, bardzo z siebie zadowolony, mówi: ""Niech będzie pochwalony Jezus Chrystus!"".","Deym passes her and suddenly a boy, maybe six or seven years old, runs up to her and looking at her with a smiling face, very pleased with himself, says: ""Blessed be Jesus Christ!""",1-1
5,"Ona zaś odpowiada automatycznie, ale i uroczyście: ""Na wieki wieków, amen"".","She automatically, but solemnly, responds: ""For ever and ever, amen.",1-1
6,I już chwyta się za serce i łzy nabiegają jej do oczu.,And she clutches her heart and tears fill her eyes.,1-1
7,"Kuca przy chłopcu, chwyta go za nadgarstki, a ten patrzy jej prosto w oczy pełne łez, dalej uśmiechnięty, mały łobuziak.","She kneels by the boy, grabs him by the wrists, and he looks at her with his eyes full of tears, still smiling, a little rascal.",1-1
8,"Wyrastają przed nimi pierwsze zabudowania, nagle, bez ostrzeżenia.","The first buildings start to appear before them, suddenly, without warning.",1-1
9,"Widać mgła zmienia poczucie odległości, bo zaskoczona tym wydaje się sama Kaśka.","The fog seems to distort the sense of distance, for Kasia seems taken aback by it.",1-1
10,"Nagle skacze, szarpiąc dyszlem, i gdyby nie stanowcza reakcja Roszka i jego bat, wywróciłaby kolaskę.","Suddenly she jumps, tugging at the reins, and if it weren't for Roszek's firm reaction and his whip, she would have overturned the carriage.",1-1
11,"Może Kaśkę wystraszyły iskry, które sypią się z paleniska, albo niepokój koni czekających na swoją kolej do podkuwania...","Perhaps Kasia was scared by the sparks flying from the fire, or the unease of the horses waiting their turn to be shod.",1-1
12,"Wszędzie czuć mdły zapach słodu, przenika każdy towar wystawiony do sprzedaży.",The faint smell of malt pervades everything for sale.,1-1
13,Można się nim najeść jak chlebem.,You could eat it like bread.,1-1
14,"Na przedmieściach Rohatyna, w Babińcach, jest kilka małych browarów, to stamtąd roznosi się na całą okolicę ten sycący zapach.","In the suburbs of Rohatyn, in Babińce, there are a few small breweries, from which the nourishing aroma spreads across the whole area.",1-1
15,"Wiele kramików sprzedaje tu piwo, a lepsze sklepy mają na składzie i gorzałkę, i miód pitny, głównie trójniak.","Many stalls sell beer here, and the better shops have both moonshine and mead in stock, mainly three-grain.",1-1
16,"Skład żydowskiego kupca Wakszula oferuje wino, prawdziwego węgrzyna i prawdziwe reńskie, i takie trochę kwaskowate, które przywożą tu aż z Wołoszczyzny.","The Jewish merchant Wakszul's store offers wine, real Hungarian and real Rhine, and some slightly sour stuff they bring all the way from Transylvania.",1-1
17,"Najwięcej do powiedzenia byłoby o rodzinie Wołowskich, jako że rozrosła się do ogromnych rozmiarów.","The most to be said would be about the Wołowski family, as it had grown to immense proportions.",1-1
18,"Niemal wszystkie gałęzie tego rodu zostały nobilitowane, jedne były herbu Bawół, drugie herbu Na Kaskach.","Almost all the branches of this family had been ennobled, one with the Bawół coat of arms, the other with the Na Kaskach coat of arms.",1-1
19,"Niewątpliwie wielką karierę zrobił Franciszek, syn Izaaka Wołowskiego, tego samego, którego ksiądz Chmielowski nazwał Jeremiaszem.","Undoubtedly, Franciszek, the son of Izaak Wołowski, the same one whom Father Chmielowski had called Jeremiah, had made a great career.",1-1
20,"Urodził się w 1786 roku w Brünn i wychowany w Offenbachu, stał się jednym z najlepszych prawników i znawcą prawa tamtego czasu.","He was born in 1786 in Brünn and raised in Offenbach, and became one of the best lawyers and legal experts of the time.",1-1
21,"Co ciekawe gdy w sejmie pojawił się wniosek o nadanie polskiego obywatelstwa Żydom, Franciszek jako poseł w swojej porywającej przemowie przekonywał, że jeszcze nie czas na taki krok.","Interestingly, when the motion to grant Polish citizenship to Jews was presented to the Sejm, Franciszek, as a member of parliament, argued in his passionate speech that it was not yet the time for such a step.",1-1
22,"Najpierw naród polski musi wywalczyć sobie niepodległość, a potem będzie pora na reformy społeczne.","First the Polish nation must win its independence, and then it will be time for social reforms.",1-1
23,"Wszyscy offenbachscy neofici zostali pochowani na miejskim cmentarzu, który po latach zaczął jednak przeszkadzać planom rozbudowy miasta i został w 1866 roku zlikwidowany.","All of the Offenbach neophytes were buried in the city cemetery, which however began to interfere with the city's expansion plans and was closed down in 1866.",1-1
24,Kości pogrzebanych tam ludzi zebrano i z szacunkiem pochowano w innym miejscu.,The bones of those buried there were collected and respectfully reinterred elsewhere.,1-1
25,"Przy tej okazji została wyjęta z grobu czaszka Jakuba Franka i, opisana starannie jako ""czaszka żydowskiego patryarchy"", znalazła się w rękach historiografa miasta Offenbach.","At this occasion the skull of Jacob Frank was removed from the grave and, carefully described as ""the skull of a Jewish patriarch"", ended up in the hands of an Offenbach historian.",1-1
26,"Wiele lat potem, w nieznanych okolicznościach, trafiła do Berlina, gdzie poddana została szczegółowym pomiarom i badaniom i uznana za przykład żydowskiej niższości rasowej.","Many years later, in unknown circumstances, it arrived in Berlin, where it was subjected to detailed measurements and tests and declared to be an example of Jewish racial inferiority.",1-1
27,"Po wojnie przepadła bez wieści może zniszczona wojenną zawieruchą, rozsypała się w pył, albo leży jeszcze w podziemnych magazynach jakiegoś muzeum.","After the war it disappeared without a trace perhaps destroyed in the war chaos, turned to dust, or still lying in the underground storage of some museum.",1-1
28,Po śmierci Jakuba nastał dla mnie czas wielkiego spokoju.,"After Jakub's death, I experienced a time of great peace.",1-1
29,"Głównym moim zajęciem stało się studiowanie merkawy, do tego doszły jeszcze nasze rozmowy z Jeruchimem Dembowskim, jako że zamieszkaliśmy w jednym pokoju, przez co zbliżyliśmy się do siebie.","My main occupation became studying the merkava, to which were added our conversations with Jeruchim Dembowski, since we were living in the same room, which brought us closer together.",1-1
30,"Jemu, Jeruchimowi, powiedziałem też o Chai Szor że była jedyną kobietą, którą mogłem pokochać i kochałem od tego pięknego momentu, kiedym ją dostał na jedną noc, wtedy gdym przyjechał z wieściami o Jakubie do Rohatyna.","I also told him about Chai Szor that she was the only woman I could love and I had loved her since that beautiful moment when I got her for one night, when I had come to Rohatyn with news of Jakub.",1-1
31,Lecz przede wszystkim kochałem Jakuba.,"But above all, I had loved Jakub.",1-1
32,Byli w Iwaniu od kwietnia.,They had been in Iwan since April.,1-1
33,"Gdyby nie dobrzy iwańscy ludzie, chyba pomarliby z głodu.","If it hadn't been for the kind people of Iwan, they would have probably perished from hunger.",1-1
34,"Iwanie uratowało im życie i zdrowie, Bejla czuje się teraz lepiej i już nie kaszle tak bardzo.","Iwan had saved their lives and health, Bejla felt better now and didn't cough as much.",1-1
35,"Srol wierzy, że kiedy już się ochrzczą, będzie im tak samo dobrze jak chrześcijanom.","Srol believed that once they were baptized, they would be as well off as the Christians.",1-1
36,"Dostaną kawałek ziemi, Bejla będzie miała w ogrodzie warzywa, a on, Srol, będzie tkał kilimy, bo to umie robić dobrze.","They would get a piece of land, Bejla would have vegetables in her garden, and he, Srol, would weave kilims, because he was good at that.",1-1
37,"Na starość, gdy powydaje dziewczynki za mąż, one wezmą ich do siebie.","When they got old and their daughters were married off, they would take them in.",1-1
38,To wszystkie jego marzenia.,Those were all his dreams.,1-1
39,"Patrzcież, dobrodzieju, Kaśka nie chce iść mówi ponuro Roszko, gdy kolaska się zatrzymuje.","""Look, sir, Kaska doesn't want to go,"" Roszko said gloomily as the carriage stopped.",1-1
40,Roszko schodzi z kozła i żegna się kilka razy zamaszyście.,Roszko got down from the cart and made a few grand farewells.,1-1
41,"Potem nachyla się i zagląda w mgłę, jakby patrzył do wody.","Then he bent down and peered into the fog, as if looking into water.",1-1
42,"Spod jego odświętnego czerwonego, acz trochę już wypłowiałego kubraka wychodzi koszula.","From beneath his festive red, though somewhat faded, kubrak emerged a shirt.",1-1
43,"Nie wiem, gdzie jechać mówi.","""I don't know where to go,"" he said.",1-1
44,Jak to nie wiesz?,"""What do you mean you don't know?",1-1
