id,source,translation,n2m
1,Беспредельный морской шум не прекращался ни на минуту.,The relentless noise of the sea didn't cease for a minute.,1-1
2,"Он набегал длинными волнами, то усиливаясь, то затихая.","It rolled in with long waves, sometimes intensifying, sometimes subduing.",1-1
3,"И ветер то начинал шуметь в голых деревьях, то замолкал, так же как и я прислушиваясь к течению ночи.","And the wind would start rustling in the bare trees, then fall silent, just as I did while listening to the flow of night.",1-1
4,"Но он не уходил, он был здесь.",But it wasn't going away; it was here.,1-1
5,Я это знал по запаху мокрой гальки и по едва внятному трепету одинокого платанового листа.,I knew this by the smell of wet pebbles and the barely audible tremor of a solitary sycamore leaf.,1-1
6,"Я заметил еще днем этот упрямый сизый лист, но сейчас, ночью, он казался мне маленьким живым существом, моим единственным бодрствующим другом.","I had noticed this stubborn gray leaf during daytime but now at night it seemed to me like a small living creature, my only wakeful friend.",1-1
7,"Изредка из тьмы, из города, доносились ружейные выстрелы. После каждого выстрела долго лаяли собаки.",Occasionally gunshots were heard from darkness—from city's direction—then dogs would bark for long after each shot fired before falling silent again.,2-1
8,Потом далеко в море мелькнул тусклый огонь и погас.,Then from far out at sea there flickered a dim fire and faded out immediately afterwards.,1-1
9,"Он заставлял смотреть на эти вещи пристальнее и дольше, чем мы это делаем обычно, и открывать в них много не замеченных ранее качеств.","He made us look at these things more closely and for longer than we usually do, revealing many qualities in them that we had not previously noticed.",1-1
10,"Так, в ноздреватом желтом камне было много накрепко впаянных в него маленьких морских ракушек, на кустах дрока оставалось еще несколько цветов, они сидели на прямых твердых стеблях, как промокшие и сморщенные золотые бабочки, и терпеливо дожидались солнца.","In the pitted yellow stone, there were many small seashells firmly embedded within it, on the ragweed bushes a few flowers still remained, sitting on straight firm stems like soaked and shriveled golden butterflies, patiently waiting for the sun.",1-1
11,"Но оно очень редко проступало в тумане размытым белым пятном и не давало ни теплоты, ни тени.","But it very rarely peered through the fog as a blurred white spot, providing neither heat nor shade.",1-1
12,"Под единственным старым платаном с лимонными пятнами на стволе валялись листья, как бы вырезанные из тусклого зеленого бархата.",Underneath the single old plane tree with lemon spots on its trunk lay leaves that seemed to be cut out of dull green velvet.,1-1
13,"По чугунной калитке вереницей бежали муравьи, сносили в свои подземные житницы последние запасы на зиму, а под якорной цепью жила маленькая робкая жаба.",Ants paraded in a line through the cast-iron gate carrying supplies to their underground larders for winter while under an anchor chain lived a small timid frog.,1-1
14,Ночью на другом берегу реки кто-то начал махать фонарем и протяжно кричать.,"At night on the other side of the river, someone started waving a lantern and shouting loudly.",1-1
15,Я вышел с дядей Илько на берег.,I went to the riverside with my Uncle Ilko.,2-1
16,Река ревела.,The river was roaring.,1-1
17,Вода шла через греблю холодным водопадом.,Water rushed over the dam in a cold waterfall.,1-1
18,"Ночь стояла поздняя, глухая, ни единой звезды не было над головой.","The night was late and silent, not a single star above our heads.",1-1
19,"В лицо дуло дикой свежестью разлива, оттаявшей земли.","The wild freshness of the flooded waters, of thawed earth blew in our faces.",1-1
20,"И все время кто-то махал на том берегу фонарем и кричал, но слов за шумом реки нельзя было разобрать.","And all this time someone kept waving a lantern on that far bank and shouting, but their words couldn't be made out over the noise of the river.",1-1
21,"Когда гроб вынесли на крыльцо, я увидел на том берегу реки старую коляску, распряженных и привязанных к ней лошадей и маленькую женщину в черном маму.","When the coffin was carried out onto the porch, I saw on the other side of the river an old carriage, horses unharnessed and tethered to it, and a little woman in black mother.",1-1
22,Она стояла неподвижно на берегу.,She stood motionless on the bank.,1-1
23,"Она видела оттуда, как выносили отца.",From there she watched as they carried out father.,1-1
24,Потом она опустилась на колени и упала головой на песок.,Then she dropped to her knees and fell headlong into the sand.,1-1
25,"Нет, отвечал дед.","""No,"" the grandfather replied.",1-1
26,"Это верно, не виделись.","""That's true, we didn't meet.",1-1
27,Остап начал слепнуть.,Ostap began to go blind.,1-1
28,"Надумал он дойти тогда до Петербурга, чтобы увидеть ту женщину, пока он еще не совсем ослеп.",He decided then to go to Petersburg in order to see that woman before he became totally blind.,1-1
29,"Дошел он до царской столицы и узнал, что она умерла, мабудь, не выдержала разлуки.",He reached the Tsar's capital and found out that she had died perhaps she couldn't stand the separation.,1-1
30,"Нашел Остап на кладбище ее могилу из белого мрамора-камня, глянул, и сердце у него сорвалось на камне лежала его железная роза.","Ostap found her grave on cemetery made of white marble, looked at it, and his heart failed his iron rose lay on the stone.",1-1
31,Завещала та женщина положить розу на ее могилу. Навеки.,That woman had willed for a rose to be placed on her grave forever.,2-1
32,"А Остап начал лирничать и, мабудь, так и помер на шляху или на базаре под возом.",And Ostap started playing the lyre and probably died along the way or in a market under a cart wheel.,1-1
33,Аминь!,"Amen!""",1-1
34,На том берегу подымался по скату заповедный лес графини Браницкой.,"On that bank, Countess Branicka's nature reserve forest was rising up the slope.",1-1
35,Солнце не могло прорваться сквозь мощную зелень этого леса.,The sun couldn't break through the dense greenery of this forest.,1-1
36,Лишь изредка одинокий луч прорезал наискось чащу и открывал перед нами потрясающую силу растительности.,Only occasionally would a solitary ray cut diagonally across the thicket and reveal to us the stunning strength of plant life.,1-1
37,"Как сверкающие пылинки, влетали в этот луч маленькие птицы.","Like sparkling specks, little birds flew into this ray.",1-1
38,"Они с писком гонялись друг за другом и ныряли в листву, будто в зеленую воду.",They chased each other with squeaks and dove into foliage as though it was green water.,1-1
39,"Я набирал в ведро воды из пруда, бросал в эту воду траву и ждал.","I was filling a bucket with water from the pond, adding grass to the water and waiting.",1-1
40,Красные поплавки неподвижно стояли в воде.,Red bobbers stood motionlessly in the water.,1-1
41,"Потом один из них начинал вздрагивать, пускал легкие круги, внезапно нырял или быстро плыл в сторону.","Then one of them would start to shiver, making light circles, suddenly dive or quickly swim aside.",1-1
42,"Отец подсекал, леска натягивалась, ореховое удилище сгибалось в дугу, и в тумане над прудом начиналось бульканье, плеск, возня.","My father would strike, the line got tense, walnut fishing rod bent into an arc and bubbling, splashing noise began over misty pond.",1-1
43,"Вода разбегалась, качая кувшинки, торопливо удирали во все стороны жуки-водомеры, и наконец в загадочной глубине появлялся бьющийся золотой блеск.",Water rippled moving lily pads; whirligig beetles hastily scattered away and finally golden gleams started flickering in mysterious depths.,1-1
44,"Нельзя было разобрать, что это такое, пока отец не выволакивал на примятую траву тяжелого карася.",Until my father dragged onto flattened grass a heavy crucian carp it was impossible to distinguish what it was.,1-1
45,"Он лежал на боку, отдувался и шевелил плавниками.",It laid on its side panting and flapping fins.,1-1
46,От его чешуи шел удивительный запах подводного царства.,Its scales had an amazing scent similar to that of an underwater kingdom.,1-1
47,Яша считал про себя секунды.,Yasha was counting seconds to himself.,1-1
48,"Мы знали, что от Стурдзовского переулка до санатория Ландесмана было семь минут ходьбы.",We knew that from Sturdzovsky Lane to the Landesman sanatorium it was a seven-minute walk.,1-1
49,В санатории за высокой оградой и железными воротами мы всегда чувствовали себя в полной безопасности.,"Inside the sanatorium, behind a high fence and iron gates, we always felt completely safe.",1-1
50,Особенно если не зажигали коптилок.,Especially if we did not light up the smokehouses.,1-1
51,"Когда мы проходили около подворотни, Яша споткнулся.","As we were walking by an alleyway, Yasha stumbled.",1-1
52,"Потом, когда мы вспоминали о происшествии в Стурдзовском переулке, Яша утверждал, что всегда, если хочешь сделать что-нибудь наилучшим образом, то обязательно сорвешься на пустяковине.","Later on, when we remembered the incident in Sturdzovsky Lane, Yasha claimed that whenever you want to do something in an ideal way you're bound to mess up over trivial matters.",1-1
53,"Я же про себя думал, что всему виной была Яшина невыносимая походка. Но я молчал, чтобы не огорчать Яшу.","In my mind though, I believed Yasha's unbearable gait had been at fault for everything—though I kept silent as not to upset him.",2-1
54,Мы крадучись пошли по переулку.,We stealthily went down the alley.,1-1
55,"Я сказал, что надо идти по той стороне, где подворотня, не доходя до нее остановиться, хорошо прислушаться, а затем быстро и беззвучно проскочить мимо подворотни.","I said we should walk on the side where there is an archway. Before we reach it, we should stop and listen carefully, then quickly and silently pass by the archway.",1-2
56,"Расчет, по-моему, был математически точен.",My calculations seemed mathematically accurate to me.,1-1
57,"Если в подворотне есть люди, то они могут нас и не заметить.","If there are people in the archway, they might not notice us at all.",1-1
58,"Если же мы будем идти по противоположной от подворотни стороне, то нас могут заметить еще издали.","On the contrary, if we walk on the side opposite to the archway, they could spot us from afar.",1-1
59,"Я высчитал, что в последнем случае мы будем идти против опасной подворотни, или, вернее, будем на виду у людей, спрятавшихся в подворотне, в пять раз дольше. И, следовательно, будет в пять раз больше шансов, что нас заметят.","I figured that in this case, we would be moving against or more precisely visible for a longer period of time—five times longer really—to those hidden in that menacing archway thus increasing our chances of being noticed five-fold.",2-1
60,"Утром я просыпался от жаркого солнца, бившего в белые стены.",I woke up in the morning from the hot sun beating against the white walls.,1-1
61,Красные и желтые мальвы-монашки покачивались за открытым окном.,Red and yellow hibiscus swayed by the open window.,1-1
62,Вместе с ними заглядывал в комнату цветок настурции; в нем сидела мохнатая пчела.,"Together with them, a nasturtium flower peeked into the room; a fluffy bee nested inside of it.",1-1
63,"Я, замерев, следил, как она сердито пятится и выбирается из тесного цветка.","I watched, motionless, as it irritably backed away and came out of the narrow flower.",1-1
64,"По потолку без конца бежали светлые струи, легкие волны отражения реки.","Light streaks ran endlessly across the ceiling, lightweight waves reflections of the river.",1-1
65,"Река шумела тут же, рядом.","The river roared right there, nearby.",1-1
