id,source,translation,n2m
1,一九九三年的那个冬天，对我来说最重要的事，是我爸爸回来了，就在我妈结婚前的那个星期。,"In the winter of 1993, the most important thing for me was that my father returned, just a week before my mother's wedding.",1-1
2,十二月的一个下午，他到学校来找我。,"One afternoon in December, he came to my school to find me.",1-1
3,我一路飞奔向大门口，隔着铁栏杆远远地看到他站在外面抽烟。,I ran all the way to the gate and saw him standing outside smoking through the iron fence from a distance.,1-1
4,身上穿着一件黑色长风衣，竖起的领子遮住了半张脸。,He was wearing a black long trench coat with his collar up hiding half his face.,1-1
5,不知道为什么，连他的样子也没有看清，就觉得他过得似乎很不好。,"I didn't know why, even though I couldn't see his face clearly, but it seemed as if he wasn't doing very well.",1-1
6,我的心一酸，眼泪掉了出来。,"My heart ached, and tears fell from my eyes.",1-1
7,我没想过我妈妈会有再婚的念头。,I never thought that my mother would consider remarriage.,1-1
8,或许潜意识里，我觉得她应该因为我爸爸的离开而一直痛苦下去，就像我一样。,"Maybe subconsciously, I felt that she should continue to suffer over my father's departure, just like me.",1-1
9,况且，我觉得她缺少那种找到幸福的能力。,"Moreover, I felt she didn't have the ability to find happiness again.",1-1
10,事实也许的确如此，可是幸福有能力找到她。,"This might actually be true, but perhaps happiness has the ability to find her instead.",1-1
11,不是吗，作为一个美人，根本不必那么辛苦，她什么都不用做，只要站在原地就好了。,"Isn't it? As a beautiful woman, she doesn't have to work so hard; she doesn't need to do anything but stand still.",1-2
12,我还记得，那一年的冬天特别长，四月过了一半，迎春花还没有开。,"I still remember, that year winter was particularly long, it was already mid-April, but the winter jasmine flowers had not yet bloomed.",1-1
13,父母离婚的事，令你的情绪很消沉。,Your parents' divorce dampened your mood a lot.,1-1
14,我们好久都没有什么新游戏了，一到傍晚就百无脚赖地坐在死人塔的房顶上。,We hadn't had any new games for a long time and at dusk we would sit idly on top of the tower in the cemetery.,1-1
15,院子里散落的那些身体部件中，又多了几只胳膊。,"Among those scattered body parts in the yard, a few more arms were added.",1-1
16,我们用钩子把它们拨到一起，摆成了一个千手观音。,We used hooks to pull them together and arranged them into a Thousand-Hand Guanyin statue.,1-1
17,我爸爸其实对做生意一窍不通，只是去投奔一个并不相熟的表哥。,"In fact, my father knows nothing about doing business, he just went to join a cousin who he wasn't very familiar with.",1-1
18,我奶奶有个妹妹，早年去了北京，后来在那里结婚生子。,My grandmother had a sister who moved to Beijing when she was young and later got married and had children there.,1-1
19,这个表哥是她家的长子，在整个家族里，一直作为一个异类存在。,"This cousin is her eldest son, and has always been seen as an odd one out in the entire family.",1-1
20,刚才你说每个人都有一个起运的时间，人生好像忽然套上了缰绳。,"You just said that everyone has a time when their fate starts to take hold, as if life is suddenly reined in.",1-1
21,我的应该是在八岁。,It seems mine started at eight years old.,1-1
22,那年秋天，爸爸离开济南，一个人去了北京。,"That autumn, my father left Jinan and went to Beijing alone.",1-1
23,从那以后，我就再也没有家了。,"After that, I no longer had a home.",1-1
24,我并不打算赴约。,I have no intention of keeping the appointment.,1-1
25,不管是因为什么，我想我们都没有再见面的必要了。,"No matter the reason, I don't think we need to see each other again.",1-1
26,我坐在沙发上一支一支地抽烟，天色越来越暗，门突然笃笃地敲响了。,"I sat on the sofa, smoking one cigarette after another, as it grew darker and darker outside, there came a sudden knock at the door.",1-1
27,送 水的男孩扛着水桶站在门囗，说是给西郊的一户人家送水去了。,"The boy who delivers water was standing at my door front with a bucket in tow, saying he had to deliver water to a family in West Suburb.",2-1
28,他戴着一顶脏兮兮的灰色毛线帽子，神情恍惚。,He was wearing a dirty grey woolen hat and looked dazed.,1-1
29,我们的谈话进行得很艰难。,Our conversation was tough.,1-1
30,每次陷入沉默，我都觉得心脏受到压迫，只想快点结束这次见面。,"Each time we fell into silence, I felt my heart being oppressed and just wanted to end this meeting quickly.",1-1
31,你似乎有所察觉，但还在努力寻找话题。,You seemed to notice something but were still trying hard to find a topic of conversation.,1-1
32,茶冷下去，屋子里的白雾已经散尽，你终于起身告辞。,"As the tea got cold, the white fog in the room had dissipated, and you finally stood up to leave.",1-1
33,我刚关上门，感觉松了一囗气，门铃又响了。,"Right after I closed the door and breathed a sigh of relief, the doorbell rang again.",1-1
34,你站在门囗，请我晚些到小白楼来。,You were standing at the doorway asking me to come over to Xiaobai Building later on.,1-1
35,我还没有来得及推辞，你已经走出了楼洞。,"Before I had a chance to refuse, you'd already left through the building's entrance.",1-1
36,我走到厨房关掉炉子。,I walked into the kitchen and turned off the stove.,1-1
37,水已经蒸发了半壶，整个房间弥漫在白雾里。,"Half a pot of water had evaporated, filling the entire room with white mist.",1-1
38,你局促地坐下来，看着我倒茶。,"You sat down uncomfortably, watching me pour tea.",1-1
39,"""你还跟奶奶和姑姑一起住吗？""","""Do you still live with your grandmother and aunt?""",1-1
40,你问。,You asked.,1-1
41,我告诉你，奶奶已经去世了，现在我和姑姑一起生活。,"I told you that my grandmother has passed away, and I now live with my aunt.",1-1
42,"""她一直没成家"" 你问。","""So she never got married?"" You asked again.",1-2
43,"""嗯。""","""Yes,"" I answered.",1-1
44,你嘴巴里呼出的白色哈气，被风撩起的卷曲头发，大衣下摆底下微微颤动的膝盖，这些让我相信眼前的你是真实的存在，并非是先前那个梦的延续。,"The white breath you exhale from your mouth, the curly hair stirred up by the wind, the slightly trembling knees under your coat hemline, all these make me believe that you standing before me are really there and not an extension of a dream I had before.",1-1
45,十八年没见了，认不出来也不奇怪。,It's been eighteen years since we last saw each other; it's no surprise I don't recognize you.,1-1
46,你没有化妆，苍白的脸有一点浮肿，不过总算没有辜负大家的期望，长成了一个美人。,"You are without makeup−a pale face and slightly swollen, but at least you didn't disappoint everyone's expectations and grew into a beautiful woman.",1-1
47,只是那张桃心小脸乌戚戚的，一副在大都市待久了的神情。,It's just that heart-shaped little face of yours looks gloomy as if stayed for too long in a big city.,1-1
48,你问我，你的样子是不是和我想象的不一样。,You asked me if your appearance is different than what I imagined.,1-1
49,我不置可否地笑了笑。,I just responded with an ambiguous smile.,1-1
50,坦白说，我从未想象过你长大之后的样子。,"Honestly speaking, I've never imagined how would look like grown up .",1-1
51,对我而言，和你有关的一切都已经装进档案袋，封上了火漆。 说出来或许会有些伤人吧，不过，我真的没有期待与你再见面。,"To me, everything related to you has already been put in file bags and sealed with wax seal; sad to say perhaps but it might hurt—I really didn't expect to meet you again.",2-1
52,我睁开眼睛。,I opened my eyes.,1-1
53,你站在门囗。,You were standing at the door.,1-1
54,我不知道你已经站了多久，没准连我在梦里大笑都看到了。,"I don't know how long you had been there, you might even have seen me laughing in my dream.",1-1
55,还有醒来的悲伤，最虚弱时刻的样子。,"And the sadness when I woke up, and how I looked at my weakest moment.",1-1
56,程恭，你低声喊出我的名字，声音非常沙哑，似乎已经很久没有开囗讲过话。,"Cheng Gong, you softly called my name, your voice was very hoarse, as if you haven't spoken for a long time.",1-1
57,快要下雪了，天阴得厉害，屋子里黑漆漆的。,It was about to snow; it was severely overcast and dark inside the room.,1-1
58,炉子上的水沸了，咕嚕噜地翻滚着。,The water on the stove boiled and rolled with gurgling sounds.,1-1
59,我仔细地看了你一会儿，确信自己并不认识你。,"I looked at you carefully for a while, sure that I didn't recognize you.",1-1
