id,source,target,n2m
1,Police arrest 15 after violent protest outside,Die Polizei nimmt 15 Personen nach gewalttätigen Protesten im Freien fest.,1-1
2,UK refugee hotel,UK Flüchtlingshotel,1-1
3,The incident comes after increase in numbers of refugees and asylum seekers crossing the Channel to the UK in boats.,"Der Vorfall ereignet sich nach einem Anstieg der Anzahl von Flüchtlingen und Asylsuchenden, die den Ärmelkanal in Booten Richtung Großbritannien überqueren.",1-1
4,Police have arrested 15 people after an anti-refugee demonstration outside a hotel used to house asylum seekers turned violent near the English city of Liverpool.,"Die Polizei hat 15 Personen nach einer gewalttätigen Anti-Flüchtlingsdemonstration vor einem Hotel festgenommen, das zur Unterbringung von Asylbewerbern in der Nähe der englischen Stadt Liverpool genutzt wird.",1-1
5,The Merseyside Police department said a police officer and two civilians sustained minor injuries during the disturbance on Friday night in Knowsley.,"Das Polizeidepartement Merseyside gab bekannt, dass ein Polizist und zwei Zivilisten am Freitagabend in Knowsley leichte Verletzungen während der Störung erlitten haben.",1-1
6,The police force said some protesters threw objects and set a police van on fire.,"Die Polizei sagte, dass einige Demonstranten Gegenstände geworfen und einen Polizeiwagen angezündet haben.",1-1
7,"The people arrested, who ranged in age from 13 to 54, were detained ""following violent disorder.""","Die verhafteten Personen, die im Alter von 13 bis 54 Jahren reichten, wurden wegen ""gewaltsamer Unruhen"" festgenommen.",1-1
8,"Merseyside police commissioner Emily Spurrell told Radio City, ""It was incredibly dangerous and there were a couple of injuries amongst the police officers.""","Merseyside-Polizeikommissarin Emily Spurrell sagte dem Radiosender Radio City: ""Es war unglaublich gefährlich und es gab ein paar Verletzungen unter den Polizeibeamten.",1-1
9,"The Home Office has been using the hotel to temporarily house asylum seekers since last year, according to local media.","Das Innenministerium nutzt das Hotel laut örtlichen Medien seit letztem Jahr, um vorübergehend Asylsuchende unterzubringen.",1-1
10,"George Howarth, who represents Knowsley in the UK Parliament, said the violence on Friday night did not reflect the community.","George Howarth, der Knowsley im britischen Parlament vertritt, sagte, dass die Gewalt am Freitagabend nicht die Gemeinschaft widerspiegelte.",1-1
11,"""The people of Knowsley are not bigots and are welcoming to people escaping from some of the most dangerous places in the world in search of a place of safety,"" he said. ""Those demonstrating against refugees at this protest tonight do not represent this community.""","""Die Menschen von Knowsley sind keine Fanatiker und heißen Menschen, die aus einigen der gefährlichsten Orte der Welt fliehen und einen sicheren Ort suchen, herzlich willkommen"", sagte er. ""Diejenigen, die heute Abend bei diesem Protest gegen Flüchtlinge demonstrieren, repräsentieren nicht diese Gemeinschaft"".",2-1
12,The protest took place amid heightened tensions as growing numbers of refugees and migrants cross the Channel in small boats.,"Der Protest fand unter erhöhten Spannungen statt, da immer mehr Flüchtlinge und Migranten den Ärmelkanal in kleinen Booten überqueren.",1-1
13,"More than 45,000 people reached the UK by that route in 2022, and most applied for asylum.","Im Jahr 2022 erreichten mehr als 45. 000 Menschen auf dieser Route das Vereinigte Königreich, und die meisten stellten einen Asylantrag.",1-1
