id,source,translation,n2m
1,Celui qui est sous ma joue est un manuscrit d'amour : c'est l'histoire d'un mec qui rencontre une fille mais il est marié et elle a un copain.,私の頬にあるのは、愛のための手稿だ。 それは、男が女に出会う物語だが、彼は既婚者で、彼女は彼氏がいる…… という物語である。,1-3
2,J'en ai lu sept pages et je le connais déjà par cœur.,7ページ読んだだけで、もう覚えてしまった。,1-1
3,Rien ne pourra me surprendre.,何も私を驚かせることはない。,1-1
4,"Depuis des lunes, je ne lis plus, je relis.",月日が経つにつれて、もう新しい本を読むことはなくなり、繰り返し読むことになった。,1-1
5,"La même vieille bouillie dont on fait des « nouveautés », des saisons, des rentrées « littéraires », des succès, des bides, des bides.",それは、新しいものを作り出すために使われる古い粥のようなものであり、季節や新学期、文学的な成功や失敗、大失敗などを作り出すものだ。,1-1
6,"Du papier qu'on recycle, des camions qui partent le matin et qui rentrent le soir, bourrés de nouveautés déjà hors d'âge.",リサイクルした紙、朝出かけて夜帰ってくるトラックが、すでに古臭い新商品でいっぱいだ。,1-1
7,Depuis combien d'années ai-je arrêté de sauter de joie à l'idée que j'allais découvrir un chef-d'œuvre et rentrer au bureau le lundi en étant un homme neuf?,どのぐらいの間、私は素晴らしい作品を発見し、月曜日には新しい人間としてオフィスに戻るという喜びを叫んでいただろうか？,1-1
8,Vingt ans? Trente ans? Je n'aime pas tenir ce genre de compte qui sent la mort.,20年？三十歳？死のにおいがするようなこういう計算をするのは好きではない。,3-1
9,"Si je ferme les yeux je vois la lueur jaune uniforme de la lampe de Perzel à travers mes paupières et puis des formes noires l'envahissent, construisant des ruines mouvantes, des dessins de Victor Hugo.",目を閉じれば、私の瞼を透してペルツェルの灯が黄色い均一な光を放ち、それを黒い形が侵していくのが見える。 それは動く廃墟を築き上げ、ヴィクトル・ユーゴーの絵を描いている。,1-2
10,"Mon souffle ralentit, mon cœur se calme un peu, je pourrais m'endormir, mourir.",息が落ち着き、心臓が少しずつ静まる。 眠りに落ちるか、死んでしまうか。,1-2
11,Mourir à l'attache.,縛られて死ぬ。,1-1
12,"On dirait : « Il est mort comme il a vécu, parmi les livres, en lisant! » et, en vérité, je serais mort en rêvant à rien.",「彼は本を読みながら、本の中で生きていたように、本の中で死んだのだ！」と言われている。 本当に私は何も考えずに死んでいただろう。,1-2
13,Il y a bien bien longtemps que je ne lis plus vraiment.,私は本当に本を読むのはもう長いこと前になってしまった。,1-1
14,Est-ce que je sais seulement encore lire ce qui s'appelle lire?,もう、私は読むことさえできるのだろうか――本当に読むということを。,1-1
15,En suis-je seulement capable?,そんなことができるのかしら？,1-1
16,"Si je tourne la tête sur le côté, mon cœur cogne davantage et fait trembler le bois.",頭を横に傾けると、心臓の鼓動がより強くなり、木を震わせるようになる……,1-1
17,La maison est plongée tout entière dans un silence de vieux papier.,家は古い紙のような静けさに包まれていた。,1-1
18,"Comme la neige, les livres mangent les bruits.",雪のように、本は音を食べてしまう。,1-1
19,Mon métier a son odeur et ses étouffements.,私の仕事には、独特の匂いと息苦しさがある。,1-1
20,Je le respire encore mieux dans ce silence.,この静寂の中では、それをもっと深く感じる。,1-1
21,Retourner au bruit du monde est toujours une épreuve.,世間の騒ぎに戻るのはいつも試練である。,1-1
22,Qui peut bien frapper?,誰がこんな時に打ち付けてくるのだろう？,1-1
23,"Je ne reconnais pas cette frappe légère, petite, discrète.",この軽くて小さくて控えめな叩き方は私には知らない。,1-1
24,Petite main.,小さな手。,1-1
25,Entrez. Elle entre.,「入ってください」 彼女は入ってきた。,2-1
26,Je ne l'ai jamais vue.,私はそれを一度も見たことがない。,1-1
27,"J'ai aussitôt une bouffée de nostalgie, la nostalgie du temps où la maison était encore si petite que je reconnaissais toutes les filles par leurs mollets dans les couloirs.",すぐに懐かしい気持ちが湧いてきた。 それは、まだ家が小さくて、廊下で足首だけで女の子を見分けられる時代の想い出だった。,1-2
28,Elle a une bonne tête.,彼女は頭がいい。,1-1
29,"Vu son regard étonné, la mienne doit être un rien froissée.",彼の目が驚いているのを見て、私の目も少し混乱しているのだろう。,1-1
30,"Des marques rouges de la manche de ma veste sur ma joue, sans doute.",私のジャケットの袖が私の頬に残した赤い印跡だろう。,1-1
31,Je vous dérange?,「お邪魔してもよろしいですか？」,1-1
32,"Je survivrai à votre passage, Mademoiselle.",「私は、あなたが去っても生き残るでしょう、ミス。,1-1
33,Qui êtes-vous?,あなたは誰ですか？」,1-1
34,"Ben, je suis la stagiaire!",「そうですね、私はインターンです！」,1-1
35,Dans quel service?,「どの部署ですか？」,1-1
36,"On ne me l'a pas dit. Vous savez, nous les stagiaires, on abat tellement de boulot qu'on a intérêt à être polyvalents.",「そう言われていません。私たちインターンは仕事量が多いので、多芸になるといいよね。」,2-1
37,Vous voulez une augmentation?,「賃金を増やしてほしいのですか？」,1-1
38,"Non, je ne gagne rien.",「いいえ、私は何も得るものではありません。」,1-1
39,"Elle est assez décoiffée, me semble-t-il, trouée au jean, colorée du reste.",彼女はかなり髪型が乱れているように思える。 ジーンズに穴があき、他のところは色が褪せている。,1-2
40,"Elle est petite, elle a le regard noir, elle est sympathique, mais je serais bien en peine de dire si elle est jolie.",彼女は小柄で、黒い瞳をしていて、魅力的だが、美しいかどうかは断定できない。,1-1
41,Je ne sais plus lire ces filles-là non plus.,これらの女の子たちの文字ももう読めないんだ。,1-1
42,Elle est vive.,彼女は鋭い。,1-1
43,Normale Sup? Métiers du livre la machine à fabriquer mille Gaston Gallimard par an pour mieux les broyer ensuite?,ノルマル・スープ？出版業界――一年間で1000冊のガストン・ガリマールを作り出して、それをその後破壊するためのマシン？,2-1
44,Alors qu'est-ce que vous faites ici?,「それなら、あなたはここで何をしているのですか？」,1-1
45,J'aime bien les livres aussi! Et puis il y avait une place.,「私も本が大好きです！そしてそこには広場があった。,2-1
46,On doit faire un stage en entreprise.,企業でインターンシップをする必要があります。,1-1
47,Obligatoire.,必須です。」,1-1
48,"Et qu'est-ce que vous faites dans mon bureau, si ce n'est pas indiscret?",「それで、あなたは何を私の事務室でしているのですか？失礼な質問であれば申し訳ありませんが」,1-1
49,"C'est monsieur Meunier, le grand patron, qui m'a dit de.",「大きな上司のミュニエ氏が、私に……と言っていたのです」,1-1
50,Le grand patron? Meunier?,「最高の責任者？ミュニエ？」,1-1
51,Vous ne le connaissez pas?,「あなたは彼を知らないのですか？」,1-1
52,Trop bien.,「すごくいいわよ。」,1-1
53,"Non, gestion d'entreprises culturelles.",「いいえ、文化事業の管理です。」,1-1
54,Vraiment? Et vous voulez gérer l'édition? Je vous souhaite bonne chance.,「そうなの？それであなたは出版を管理したいのですか？ご成功をお祈りします。」,2-1
55,Je préférerais organiser des concerts.,「私はコンサートを開催することを好みます」,1-1
56,Asseyez-vous.,「お座りください」,1-1
57,"Il faut que j'y aille, c'est vendredi. Il est tard.",「行かなくてはならないんだ、今日は金曜日だからな。もう遅いです。」,2-1
58,Cinq minutes. Vous voulez organiser des concerts?,「5分です。コンサートを企画したいのですか？」,2-1
59,"Oui, c'est bien, la musique.",「はい、音楽はいいですね。」,1-1
60,"Longtemps j'ai croisé les pieds dessus pour un peu de détente, d'élévation, pour un peu plus de sang au cerveau, maintenant, il m'arrive de plus en plus souvent d'y poser la tête, surtout le soir, surtout le vendredi soir.",長い間、少しの休息と高揚感を得るために、足を組んで座っていた。 頭の中に血液が流れるようになるためだ。 今では、夕方、特に金曜日の夜には、そこに頭をのせることがますます多くなってきた。,1-3
61,"Je croise les bras sur le manuscrit ouvert et je pose ma tête dessus, le front sur l'avant-bras et la joue sur le texte frais.",私は開かれた原稿の上に腕を交差させ、頭をその上に乗せた。 前腕の上に額を、新鮮なテキストの上に頬を押し付けた。,1-2
62,Le bois du bureau amplifie les battements de mon cœur.,私の心臓の鼓動が大きく響くような机の木材がある。,1-1
63,Le vieux mobilier Art déco conduit bien les émotions et les fatigues.,古いアール・デコ家具は感情や疲労をよく誘導してくれる。,1-1
64,Ruhlman?,ルールマン？,1-1
65,Leleu?,レルー？,1-1
66,Il en a tant vu.,彼はそれほど多くを見てきた。,1-1
67,"J'écoute mon cœur, mon vieux cœur du vendredi, mon vieux cœur dans le silence de la maison.",私は自分の心を聞いている。 金曜日の古い心、家の静寂の中の古い心を。,1-2
68,"À cette heure, tout le monde est parti, je reste seul à bord, rincé, parce que je n'ai pas le courage de dresser la tour des manuscrits que je dois emporter pour le week-end.",今はみんな出かけてしまった。 私だけが残されている。 週末に持っていく書類を整理しない勇気がないから、疲れ果てている。,1-3
69,Comme chaque vendredi.,毎週金曜日のように。,1-1
