id,source,translation,n2m
1,"Patrzy na rodzinę, same dziewczynki, matka z dzieckiem przy piersi zsiada właśnie niezgrabnie z fury i furman pogania ją, bo fura zaraz musi wracać po innych na przedmieścia.","He looks at the family, all little girls, a mother with a baby on her breast just clumsily getting off the cart and the carter is rushing her because the cart has to go back soon to pick up others in the suburbs.",1-1
2,"Spada tobołek, który miała na plecach, i wysypuje się stamtąd trochę zszarzałych szmat i pojedynczy sznurek korali, drobnych, pociemniałych.","The bag she had on her back drops, and a few grayed rags spill out from it, along with a single string of beads, small and darkened.",1-1
3,"Kobieta zbiera je zawstydzona, jakby właśnie oczom świata odsłoniła swoje najniedostępniejsze sekrety.","The woman collects them, embarrassed as if she had just revealed her most inaccessible secrets to the world.",1-1
4,"Deymowa mija ją i nagle podbiega do niej chłopczyk, może sześcio-, siedmioletni, i patrząc na nią uśmiechniętymi oczami, bardzo z siebie zadowolony, mówi: ""Niech będzie pochwalony Jezus Chrystus!"".","Deymowa passes her and suddenly a boy, perhaps six or seven years old, runs up to her. Looking at her with smiling eyes, very pleased with himself, he says: ""Praised be Jesus Christ!"".",1-2
5,"Ona zaś odpowiada automatycznie, ale i uroczyście: ""Na wieki wieków, amen"".","She responds automatically, yet solemnly: ""Forever and ever, amen.",1-1
6,I już chwyta się za serce i łzy nabiegają jej do oczu.,And already she feels a clutch in her heart and tears well up in her eyes.,1-1
7,"Kuca przy chłopcu, chwyta go za nadgarstki, a ten patrzy jej prosto w oczy pełne łez, dalej uśmiechnięty, mały łobuziak.","She leans towards the boy, grabs his wrists, and he looks straight into her tear-filled eyes, still smiling, the little rascal.",1-1
8,"Wyrastają przed nimi pierwsze zabudowania, nagle, bez ostrzeżenia.","The first buildings appear before them abruptly, without warning.",1-1
9,"Widać mgła zmienia poczucie odległości, bo zaskoczona tym wydaje się sama Kaśka.","You can see the fog changes the sense of distance, because even Kaśka herself seems surprised by this.",1-1
10,"Nagle skacze, szarpiąc dyszlem, i gdyby nie stanowcza reakcja Roszka i jego bat, wywróciłaby kolaskę.","Suddenly it jumps, jerking the shaft, and if not for the decisive reaction of Roszka and his whip, it would have overturned the carriage.",1-1
11,"Może Kaśkę wystraszyły iskry, które sypią się z paleniska, albo niepokój koni czekających na swoją kolej do podkuwania...","Perhaps the sparks flying from the hearth frightened Kasia, or the unease of horses waiting for their turn to be shod.",1-1
12,"Wszędzie czuć mdły zapach słodu, przenika każdy towar wystawiony do sprzedaży.","Everywhere is filled with the sickly smell of malt, penetrating every product laid out for sale.",1-1
13,Można się nim najeść jak chlebem.,You can eat it like bread.,1-1
14,"Na przedmieściach Rohatyna, w Babińcach, jest kilka małych browarów, to stamtąd roznosi się na całą okolicę ten sycący zapach.","In the suburbs of Rohatyn, in Babinci, there are a few small breweries, it's from there that this satisfying smell spreads throughout the whole area.",1-1
15,"Wiele kramików sprzedaje tu piwo, a lepsze sklepy mają na składzie i gorzałkę, i miód pitny, głównie trójniak.","Many stalls here sell beer, and better shops have both spirits and mead in stock, mainly trojniak.",1-1
16,"Skład żydowskiego kupca Wakszula oferuje wino, prawdziwego węgrzyna i prawdziwe reńskie, i takie trochę kwaskowate, które przywożą tu aż z Wołoszczyzny.","The store of the Jewish merchant Wakszul offers wine, real Hungarian and authentic Rhine, and a slightly sour kind that they bring all the way from Wallachia.",1-1
17,"Najwięcej do powiedzenia byłoby o rodzinie Wołowskich, jako że rozrosła się do ogromnych rozmiarów.","There would be the most to say about the Wołowski family, as it has grown to enormous sizes.",1-1
18,"Niemal wszystkie gałęzie tego rodu zostały nobilitowane, jedne były herbu Bawół, drugie herbu Na Kaskach.","Almost all branches of this family were ennobled, some had the Bawół coat of arms, others had the Na Kaskach coat of arms.",1-1
19,"Niewątpliwie wielką karierę zrobił Franciszek, syn Izaaka Wołowskiego, tego samego, którego ksiądz Chmielowski nazwał Jeremiaszem.","Undoubtedly, Franciszek, the son of Izaak Wołowski, the same person whom Father Chmielowski called Jeremiah, made a great career.",1-1
20,"Urodził się w 1786 roku w Brünn i wychowany w Offenbachu, stał się jednym z najlepszych prawników i znawcą prawa tamtego czasu.","He was born in 1786 in Brünn and raised in Offenbach, he became one of the best lawyers and a law expert of his time.",1-1
