id,source,translation,alignments
0,"«Лжешь»! – подумал я. Брелоки и перстень на мизинце плохо вязались с письмом ради куска хлеба, да и по лицу Камышева пробежала чуть заметная, уловимая опытным глазом тучка, которую можно видеть на лицах только редко лгущих людей. – Какой сюжет вашей повести? – спросил я. – Сюжет… Как бы вам сказать? Сюжет не новый… Любовь, убийство… Да вы прочтете, увидите… «Из записок судебного следователя»…",「嘘をついた！」と思った私。小指に縫い合わせた指輪と懐中が、少し不自然に、稍重症的に見えた。そして、カムышェフの顔には、経験豊かな目でしか見えない、些かの不安定な表情があった。「あなたの物語はどんなストーリー？」と尋ねた。「ストーリー…ある意味、新しいわけではありません…愛と殺人…ですが、読んでみて、見て下さい」「裁判官の手記」…,0-0 3-3 5-4 7-5 8-6 9-7 12-16 13-17 18-8 21-23 24-32 28-27 33-35 37-42 38-37 43-59 44-22 46-57 47-51 50-54 51-45 53-47 54-48 56-58 60-50 63-63 68-41 70-33 72-64 74-65 75-61 78-66 80-68 87-73 97-77 98-79 102-76 103-82 104-83 107-86 110-88 111-89 116-95 117-96 118-92 119-93 122-97 123-98
1,"Камышев вскинул на меня своими добрыми глазами и тихо засмеялся. – Надоедная служба… Служил-служил, махнул рукой и бросил. Занятий у меня теперь нет, есть почти нечего… И если вы, минуя достоинства, напечатаете мою повесть, то сделаете мне больше, чем одолжение… Вы поможете мне… Газета не богадельня, не странно-приимный дом… Я это знаю, но… уж вы будьте так добры…",カムシェフは私に対して、彼の優しい眼差しで微笑みを浮かべた。「職務が苦しい…私は長い間働いて、手を振りました。今は仕事がありません、大したことはありません…」そして、彼は私に対して、彼の話を聞いてくれるよう頼んだ。「あなたが、私の物語を印刷してくれると、私に大きなお返しをしてくれることができます。新聞は貧困院ではありません、異常な宿ではありません…私はこれを知っていますが、あなたがたがそれでもいいです。」,0-1 2-4 7-6 8-9 9-10 12-5 14-15 15-14 17-20 23-22 24-26 30-31 33-32 35-34 36-35 41-27 42-36 43-38 44-39 49-43 50-45 52-59 59-60 61-64 63-65 64-61 65-62 67-67 69-75 71-68 72-70 84-81 85-82 86-80 89-83 90-87 95-85 96-86 97-88 98-89 99-90 100-91 101-93 105-94 107-99 109-98
2,"– Очень рад… Чем могу быть полезен? Желающий попасть в начинающие сел и продолжал, глядя на пол своими умоляющими глазами: – Я притащил к вам маленькую повесть, которую мне хотелось бы напечатать в вашей газете. Я вам откровенно скажу, г. редактор: написал я свою повесть не для авторской славы и не для звуков сладких… Для этих хороших вещей я уже постарел. Вступаю же на путь авторский просто из меркантильных побуждений… Заработать хочется… Я теперь решительно никаких не имею занятий. Был, знаете ли, судебным следователем в С-м уезде, прослужил пять с лишком лет, но ни капитала не нажил, ни невинности не сохранил…",「とても嬢しいです…どのように役立てることができますか？」「私はあなたたちの新聞に掲載していただきたい小さな物語を持って来ました。私は編集長さんに素直に話します。作者の名声や甘い言葉には興味がありません。私はすでに年を取り、これらの素晴らしいことには興味がありません。ただ、私は単なる商業的な動機で作家の道を選びました。働きたいと思います。以前、S県の裁判官で五年以上勤務しましたが、財産を築けず、無実を保てなかったのです。」,0-0 1-1 3-5 4-6 5-9 7-7 8-11 30-13 34-23 36-14 37-20 39-36 41-21 45-44 49-18 52-16 54-24 57-30 58-31 59-32 66-61 72-69 73-65 75-68 80-53 81-83 83-86 84-52 89-48 92-78 95-33 98-71 101-62 112-76 115-47 120-57 129-84 135-81 139-82 145-87 150-91 157-97 162-101 163-103
3,"«Как, однако, он много говорит!» – подумал я, протягивая руку к перу и тем давая знать, что мне некогда. (Уж больно надоели мне тогда посетители!) – Я отниму у вас одну только минуту! – продолжал мой герой извиняющимся голосом. – Но прежде всего позвольте представиться… Кандидат прав Иван Петрович Камышев, бывший судебный следователь… К пишущим людям не имею чести принадлежать, но, тем не менее, явился к вам с чисто писательскими целями. Перед вами стоит желающий попасть в начинающие, несмотря на свои под сорок. Но лучше поздно, чем никогда.",«ああ、多く話すんですね」と私は考えた、手を差し出して、それでもらい知らせることにした。（あの時の訪問者たちは私にとっては多すぎた！）「私に1分だけお願いします！」私のヒーローは謙虚な声で続けた。「まずは名乗りを述べさせてください… Ivan Petrovich Kameshevと申します、元の судебный следовательです。文学的な人々には属しませんが、今回はあなた方に来ることになりました。書き手としての夢を追いかけるために、四十代ですが、遅くとも良いですね。」,0-0 4-3 6-4 7-5 8-42 10-10 11-9 12-11 14-13 15-14 16-15 17-12 25-20 28-29 32-23 38-33 40-25 42-34 44-36 50-38 52-39 55-53 56-43 57-46 58-48 62-51 63-52 68-56 71-62 72-60 74-63 75-77 77-64 78-65 79-66 80-67 81-68 82-69 83-73 84-74 88-78 90-80 93-97 95-85 96-88 100-87 101-103 102-90 103-89 108-109 109-94 112-92 115-83 120-96 135-106 139-112 140-110
4,"Войдя ко мне в кабинет, он сконфузился. Его нежную, чуткую натуру, вероятно, шокировал мой нахмуренный, недовольный вид. – Извините, ради бога! – начал он мягким, сочным баритоном. – Я врываюсь к вам не в урочное время и заставляю вас делать для меня исключение. Вы так заняты! Но видите ли, в чем дело, г. редактор: я завтра уезжаю в Одессу по одному очень важному делу… Имей я возможность отложить эту поездку до субботы, то, верьте, я не просил бы вас делать для меня исключение. Я преклоняюсь перед правилами, потому что люблю порядок…",私のカビネットに入って来た時、彼は困惑していた。彼の優しい、敏感な性格は、私の厳しく不満な表情にショックを受けたのであろう。「すみません、神よ！」と始まり、彼は軟らかいバリトンで話し始めた。「私はあなたにとって不都合な時間に来てしまい、あなたにとっての例外を作らせてしまう。あなたは本当に忙しいですね！」と。「ですが、この件は大切なことで、私は明日オデッサに行く必要があります。もし土曜日まで延期することができると思えば、私はあなたにこのような例外を頼まないです。私はルールを大切に思っているので、それが大好きです。」,1-6 5-4 6-8 7-9 12-11 13-12 14-13 15-14 17-15 18-17 23-20 24-34 28-21 34-25 36-27 37-28 40-36 42-38 43-39 46-42 48-55 49-46 51-22 52-53 55-49 56-50 58-52 61-57 67-58 68-60 72-62 73-63 79-68 81-70 82-71 83-75 84-76 87-78 89-83 99-40 101-91 102-92 103-97 109-96 112-77 113-88 122-103 123-111 126-102 130-108 137-116 139-114 141-110 145-112 147-118 148-119 154-120 158-127
5,"Каштановые волосы и борода густы и мягки, как шёлк. Говорят, что мягкие волосы служат признаком мягкой, нежной, «шёлковой» души… Преступники и злые, упрямые характеры имеют, в большинстве случаев, жесткие волосы. Правда это или нет – читатель опять-таки увидит далее… Ни выражение лица, ни борода – ничто так не мягко и не нежно в господине с кокардой, как движения его большого, тяжелого тела. В этих движениях сквозят воспитанность, легкость, грация и даже – простите за выражение – некоторая женственность. Не много нужно усилий моему герою, чтобы согнуть подкову или сплющить в кулаке коробку из-под сардинок, а между тем ни одно его движение не выдает в нем физически сильного. За дверную ручку или за шляпу он берется, как за бабочку: нежно, осторожно, слегка касаясь пальцами. Шаги его бесшумны, рукопожатия слабы. Глядя на него, забываешь, что он могуч, как Голиаф, что одной рукой может поднять он то, чего не поднять пяти редакционным Андреям. Глядя на его легкие движения, не верится, что он силен и тяжел. Спенсер мог бы назвать его образцом грации.",カシタンの髪と髭は、絹のように柔らかく、軽い。悪党や頑固な性格は、大抵は硬い髪を持っているということがある。本当かどうかは、以下の読者が判断することになる…顔の表情や髭には、優しさや優しさ、「絹」のような魂がある。彼の大きな、重い体を動かす動きには、教養、輕さ、優雅さ、そして――ある意味で――女性的なものが感じられる。彼の英雄的な姿勢には、多くの努力が必要ではない。彼は、猫を持つようにドアの握りや帽子を取り揃える。gentlemanとしての優雅さを示す。彼の動きは、静かで，軽い手触りである。彼が持つ力があまりにも強く，5人も編集者アンドレイでも持ち上げられないも含むこと可有能だから錠剤常見表情料信じていますサービス問題すぎます中具合思考ため安心してくださいそれ程お金通じて手段機能具合参訳内丹心が実際には強く重いことが信じられない。スペンサーは彼をGRACEの例にしたかったであろう。,0-1 3-4 4-5 5-6 12-17 13-18 14-16 17-10 19-19 23-28 27-33 28-34 29-35 32-32 39-65 43-67 46-20 49-22 57-26 62-30 64-57 68-38 69-39 71-41 73-43 74-45 75-46 81-44 82-50 86-51 93-100 112-73 113-74 114-75 115-106 116-77 117-103 120-140 121-141 124-128 126-59 128-89 129-134 130-91 136-94 147-98 149-135 150-153 153-112 165-172 168-166 170-171 177-120 178-123 182-184 191-139 194-136 198-207 199-218 205-121 206-149 212-205 213-154 245-224 250-229 262-231 296-223 306-225 307-226 308-227 317-238
6,"От всего лица так и веет простотой, широкой, простецкой натурой, правдой… Если не ложь, что лицо есть зеркало души, то в первый день свидания с господином с кокардой я мог бы дать честное слово, что он не умеет лгать. Я мог бы даже держать пари. Проиграл бы я пари или нет – читатель увидит далее.",顔面は、簡単で、広い、素朴な自然で、真実…もし顔が魂の鏡であるとしたら、私は最初のお会いで、コカルダのお方に対して、彼が嘘をつかないと誓うことができます。私は果たして賭けることもできます。賭けに負けるかどうかは、読者が後で判断することになります。,2-2 6-3 7-5 10-8 12-9 15-12 20-16 22-18 23-19 30-20 31-25 33-24 35-22 36-28 39-30 42-60 46-42 48-34 49-35 51-51 52-49 54-56 55-47 56-44 60-41 66-63 67-50 77-62 82-64 84-66 85-67 86-68 87-71 88-72 89-69 90-74
7,"Он, как я уже сказал, высок, широкоплеч и плотен, как хорошая рабочая лошадь. Всё его тело дышит здоровьем и силой. Лицо розовое, руки велики, грудь широкая, мускулистая, волосы густы, как у здорового мальчика. Ему под сорок. Одет он со вкусом и по последней моде в новенький, недавно сшитый триковый костюм. На груди большая золотая цепь с брелоками, на мизинце мелькает крошечными яркими звездочками бриллиантовый перстень. Но, что главнее всего и что так немаловажно для всякого мало-мальски порядочного героя романа или повести, – он чрезвычайно красив. Я не женщина и не художник. Мало я смыслю в мужской красоте, но господин с кокардой своею наружностью произвел на меня впечатление. Его большое мускулистое лицо осталось навсегда в моей памяти. На этом лице вы увидите настоящий греческий нос с горбинкой, тонкие губы и хорошие голубые глаза, в которых светятся доброта и еще что-то, чему трудно подобрать подходящее название. Это «что-то» можно подметить в глазах маленьких животных, когда они тоскуют или когда им больно. Что-то умоляющее, детское, безропотно терпящее… У хитрых и очень умных людей не бывает таких глаз.",彼は、私が既に言ったように、高く、広い肩を持ち、力強い体をしています。全体的に健康で、力強い男性の体を感じます。顔はローズ色で、手は大きく、胸は広く、筋肉質で、髪は健康な少年のように密集しています。彼には四十代の年齢があります。彼は、新しい三つの組み合わせたコストームを着用しています。胸には大きな金のチェーンがあり、小指には輝きの小さな星型の指輪が光ります。しかし、最も重要なことは、彼が非常に美しいということです。私は女性ではないし、芸術家でもありません。男性の美しさにはあまり理解がありませんが、彼の印象的な外見は私の記憶に残りました。彼の大きな筋肉質の顔は、本当のギリシャの鼻、細い唇、そして優しい青色の眼を持っています。この顔は、私にとっては、本当の男の顔です。,0-1 1-2 3-3 4-4 5-5 6-7 7-8 9-9 10-10 24-19 25-20 27-29 30-34 31-22 34-25 35-32 36-33 38-35 39-37 41-40 42-42 43-43 44-44 45-46 46-45 47-47 48-48 49-49 52-52 54-53 56-57 58-54 60-56 61-28 62-60 67-68 69-82 70-69 80-71 91-88 92-89 93-83 94-85 95-84 96-86 100-101 102-103 107-91 114-106 121-99 132-107 133-108 134-109 136-111 144-186 152-143 162-116 163-117 165-120 166-122 167-121 170-125 175-179 177-189 178-190 182-140 183-139 193-134 200-153 201-154 202-155 204-157 205-158 206-150 208-149 209-147 210-148 211-152 213-181 218-161 219-163 220-164 221-165 222-166 227-167 228-168 229-169 233-173 234-174 236-170 314-193
8,"Я вздохнул, положил перо и принялся ждать господина с кокардой. Начинающие писатели и вообще люди, не посвященные в редакционные тайны, приходящие при слове «редакция» в священный трепет, заставляют ждать себя немалое время. Они, после редакторского «проси», долго кашляют, долго сморкаются, медленно отворяют дверь, еще медленнее входят и этим отнимают немало времени. Господин же с кокардой не заставил ждать себя. Не успела за Андреем затвориться дверь, как я увидел в своем кабинете высокого широкоплечего мужчину, державшего в одной руке бумажный сверток, а в другой – фуражку с кокардой. Человек, так добивавшийся свидания со мной, играет в моей повести очень видную роль, Необходимо описать его наружность.",私は呼吸をして、羽根を置いて、お迎えのために待ちました。新人の作家や、編集の秘密に触れることのない人々が、「編集」という言葉を聞いて神聖なる恐れを感じると、長い時間待たされます。彼らは、編集者の「お願いします」という一言で、長い時間咳を込め、顔を歪め、ドアを遅々と開けて、それでも時間を費やします。しかし、コカルダのお方は待たせることなく来ました。アンドレイがドアを閉めるのに成らないうちに、私のキャビネットに高く広い男性が現れ、一方の手には紙の巻物を持ち、他方にはコカルダの付いたフラジーを持っていました。私の物語で非常に重要な役割を果たすこの人物を、「外見的」つまり皮相的リテラル的表面上で描写した意味内容因子その他必要最低限基本素材情報等資料データ項目要節取捉組摘握捉し収拾把握留保掌理知識化為必須です。,0-0 1-1 2-3 3-7 4-13 6-6 10-12 17-14 21-17 23-18 25-26 26-19 27-25 33-21 34-22 35-36 45-30 48-34 52-40 54-45 59-42 60-46 61-47 62-49 64-50 66-52 70-59 71-61 78-69 79-72 80-74 82-80 83-81 84-70 90-94 97-78 98-82 102-85 104-87 105-106 110-95 121-108 128-71 129-115 133-116 139-121 140-123 141-125 144-138 147-128 148-130 151-131 152-124 157-133 160-144 161-156 164-164 167-160 168-170 173-147 174-145 176-146 177-148 179-149 180-150 184-175 187-159 188-187 189-213
9,"В один из апрельских полудней 1880 года в мой кабинет вошел сторож Андрей и таинственно доложил мне, что в редакцию явился какой-то господин и убедительно просит свидания с редактором. – Должно быть, чиновник-с, – добавил Андрей, – с кокардой… – Попроси его прийти в другое время, – сказал я. – Сегодня я занят. Скажи, что редактор принимает только по субботам. – Он и третьего дня приходил, вас спрашивал. Говорит, что дело большое. Просит и чуть не плачет. В субботу, говорит, ему несвободно… Прикажете принять?",「1880年4月のある日、私のオフィスに警備員のアンドレイが訪れ、謎めいたように私に報告した。「編集長に会いたいという、ある紳士が訪れたのです。彼にはコカルダがあります。」アンドレイは付け加えた。「私は今日は忙しいです。編集長は土曜日にのみ会います。その日には自由にないとのことです。」私は言った。「彼が三日目に来たのですか？」私は尋ねた。「大事なことがあり、彼は涙を流しています。土曜日には自由になりません。」私は考えた。「彼を受け入れるように」,1-6 3-4 4-5 9-2 10-3 11-11 12-9 13-10 15-20 16-15 18-18 19-21 20-22 22-25 24-28 25-29 26-26 29-33 32-43 33-44 37-41 47-31 49-46 58-53 61-56 65-49 69-61 73-47 75-71 78-83 80-85 81-84 84-63 85-62 86-64 87-75 92-67 94-72 101-105 106-92 108-104 110-109 117-101 125-106 127-110 129-111 141-121 142-95
