id,source,translation
0,"""Was ist denn?"", fragte ich.","""Co to jest?"" – zapytałem."
1,"""Nichts"", flötete Selma, öffnete den Kühlschrank, holte ein Paket Schnittkäse und eine Leberwurst heraus und schwenkte beides durch die Luft.","Nic, syczałam Selma, otworzyłam lodówkę, wyjęłam paczkiet szynki i kiełbasy wędzonej i machnęłyem nimi w powietrzu."
2,"""Was darf's denn heute aufs Schulbrot sein?"", flötete sie.","<<INACCURATE TRANSLATION, ""Czytałam, że dziś na śniadanie można było posmakować?"">>"
3,"""Mäuselchen"", flötete sie noch hinterher, und Flöten und Mäuselchen waren nun wirklich alarmierend.","""Myszku, jeszcze tam ciągle piszczę"", i flety i myszki teraz były naprawdę alarmujące."
4,"""Käse, bitte"", sagte ich, ""was hast du denn?"" ""Nichts"", flötete Selma, ""hab ich doch gesagt.""","""Ser, proszę"", powiedziałem, ""co masz?"" ""Nic"", śpiewałam Selma, "" już powiedziałam."""
5,"Sie strich Butter auf eine Scheibe Brot, und weil sie immer noch herumschlackerte, schubste sie dabei den Käse mit dem Handgelenk von der Anrichte.","<<WRONG STATEMENT, TRANSLATION FOUND>>: Oni posmarowali masło na szczyt chleba, a ponieważ wciąż się wyginała, powalili wtedy ser z nadziochem ręki z antresoli."
6,"Selma hielt jetzt still und schaute hinab auf die Käsepackung, als sei sie etwas Kostbares, das in tausend Teile zersprungen war.","Selma utrzymywała milczenie i spoglądała w dół na opakowanie serca, jakby była to rzecz drogocenna, która rozpadła się na tysiąc kawałków."
7,"Selma hatte in ihrem Leben dreimal von einem Okapi geträumt, und jedes Mal war danach jemand gestorben, deshalb waren wir überzeugt, dass der Traum von einem Okapi und der Tod unbedingt miteinander verbunden waren.","<<INACCURATE TRANSLATION>>. Selma miała trzy razy sen o kropce, a każdy raz po nim ktoś umarł, dlatego byliśmy pewni, że sen o kropce i śmierć są nierozerwalnie połączone.."
8,Unser Verstand funktioniert so.,Nasze rozumowanie działa tak.
9,"Er kann innerhalb kürzester Zeit dafür sorgen, dass die einander abwegigsten Dinge fest zusammengehören.","<<CORRECT STATEMENT, NO TRANSLATION FOUND, because>> the provided output is in French, not Polish, and the original target text is: NO TRANSLATION FOUND: On peut lui faire confiance pour assurer que les choses les plus éloignées se tiennent ensemble de manière solide."
10,"Kaffeekannen und Schnürsenkel beispielsweise, oder Pfandflaschen und Tannenbäume.","Kawiarki i paski skarpetkowe na przykład, lub butelki pętlaste i sosny."
11,"""Was soll es denn sonst gewesen sein"", sagte Selma, und dass man ein Okapi ja nur schwerlich mit einem anderen Tier verwechseln könne.","""Czym innym miało być?"" - powiedziała Selma, i że Okapi trudno pomylić z innym zwierzęciem."
12,"""Doch"", sagte ich, es könne ja auch ein verwachsenes Rind gewesen sein, eine falsch zusammengesetzte Giraffe, eine Laune der Natur, und die Streifen und das Rostrote, das könne man doch alles nicht so genau erkennen in der Nacht, da sei schließlich alles sehr verschwommen.","""Ale jednak"", - powiedziałem, - ""może być to również zarośnięte bydło, fałszywie skomponowana girafa, caprice natury, a paski i rdzawy kolor, to wszystko nie tak dokładnie widać w nocy, wreszcie wszystko jest tam bardzo rozmyte."""
13,"""Das ist doch Quatsch"", sagte Selma und rieb sich die Stirn, ""das ist doch leider Quatsch, Luise.""","""To jest już brednie"", powiedziała Selma i szarpała swoją czołówkę, ""to już leider brednie, Luise."""
14,"Sie legte eine Scheibe Käse auf das Brot, klappte es zusammen und legte es in meine Butterbrotdose.","Włożyła płytkę sera na chleb, zrobiła sandwich i włożyła go do mojej butelki z butem."
15,"""Weißt du, wann genau du das geträumt hast?""","Czy pamiętasz, kiedy dokładnie śniłeś to?"
16,"""Gegen drei Uhr"", sagte Selma.","""O trzech"" - powiedziała Selma."
17,"Sie war hochgeschreckt, nachdem das Bild vom Okapi sich zurückgezogen hatte, aufrecht im Bett sitzend war sie aufgewacht und hatte auf ihr Nachthemd gestarrt, in dem sie eben noch im Traum auf der Uhlheck gestanden hatte, und dann auf den Wecker.","Była naprawdę zaskoczona, ponieważ obraz z Okapi się wycofał, siedziała na łóżku i patrzyła na swój nocny strój, w którym chwilę wcześniej na Uhlhecku stała, a potem na budzik."
18,Drei Uhr.,<<INACCURATE TRANSLATION>> Trzy godziny.
19,"""Wir sollten das wahrscheinlich nicht so ernst nehmen"", sagte Selma, aber sie sagte es wie ein Fernsehkommissar, der ein anonymes Schreiben nicht so ernst nimmt.","""Nie wiemy, jak to powinniśmy traktować"", powiedziała Selma, ale mówiła tak, jakby była telewizyjnym komisarzem, który nie traktuje anonimowego listu poważnie."
20,"Die Zugfahrt dauerte fünfzehn Minuten, einen Zwischenhalt gab es nicht.","Podróż pociągiem trwała piętnaście minut, nie było postoju."
21,"Seit unserer ersten Zugfahrt spielten wir immer dasselbe: Wir stellten uns mit dem Rücken zu den Fenstern an die gegenüberliegenden Zugtüren, Martin machte die Augen zu, ich sah aus dem Fenster der Zugtür, die Martin im Rücken hatte.","Od czasu naszej pierwszej podróży pociągiem zawsze graniemy tę samą grę: stawiamy się z tyłu do okienek w drzwiach wagonu, Martin zamyka oczy, a ja wyglądam przez okno drzwi, które Martin ma za plecami."
22,"In der ersten Klasse hatte ich Martin aufgezählt, was ich während der Fahrt sah, und Martin versuchte, alles auswendig zu lernen.","W pierwszej klasie zgłosiłem Martinowi to, co widziałem podczas podróży, a Martin próbował wszystko wyuczyć na pamięć."
23,"Das gelang sehr gut, sodass ich im zweiten Schuljahr nichts mehr aufzählte und Martin, mit dem Rücken zum Fenster und geschlossenen Augen, fast alles aufsagen konnte, was ich durch das beschlagene Zugfenster gerade sah: ""Drahtfabrik"", sagte er, genau in dem Moment, als wir an der Drahtfabrik vorbeifuhren.","Często było bardzo dobrze, więc w drugim roku szkolnym już nic nie liczyłem i Martin, z tyłem do okna i zamkniętymi oczami, prawie wszystko powtarzał, co ja w tym samym momencie widziałem przez sklepione okno: ""Fabryka drutu"", powiedział, w dokładnym momencie, gdy przejechaliśmy obok fabryki drutu."
24,"""Jetzt Feld. Weide.",Teraz pole. łąka.
25,Das Gehöft vom verrückten Hassel.,Dwór Hassela szalonego.
26,Wiese.,Łąka
27,Wald.,Las
28,Wald.,Las
29,Hochsitz eins.,Wysoki stan
30,Feld.,pole
31,Wald.,Las
32,Wiese.,Łąka
33,"Weide, Weide.","<<WRONG STATEMENT, TRANSLATION FOUND: Weide, Weide.. -> Łąka, łąka...>>"
34,Reifenfabrik.,Fabryka opon
35,Dorf. Weide.,Wieś. łąka.
36,Feld.,pole
